D_clean,D_fake,D_noisy
-229.130859375,-264.2438659667969,-354.2076110839844
-340.08905029296875,-327.98602294921875,-535.0861206054688
-268.79119873046875,-270.94317626953125,-934.0969848632812
-259.8504333496094,-302.70794677734375,-1151.57861328125
-210.11781311035156,-227.34571838378906,-306.74322509765625
-384.86895751953125,-364.1806335449219,-509.2270202636719
-153.83340454101562,-124.1424789428711,-592.3295288085938
-336.4544677734375,-318.70733642578125,-1464.493408203125
-361.47576904296875,-367.3951110839844,-422.79656982421875
-279.294921875,-311.68292236328125,-403.30755615234375
-216.75698852539062,-235.27389526367188,-533.0355224609375
-248.73939514160156,-271.28680419921875,-1183.4005126953125
-224.0438995361328,-215.16387939453125,-291.72711181640625
-505.54107666015625,-388.9319152832031,-677.47265625
-429.85076904296875,-344.41668701171875,-843.0991821289062
-472.234130859375,-450.294189453125,-1171.165283203125
-412.43792724609375,-365.54949951171875,-519.8794555664062
-344.327392578125,-356.98028564453125,-581.829833984375
-390.0631103515625,-351.781982421875,-588.8674926757812
-217.33775329589844,-247.3905792236328,-895.0894165039062
-220.2705841064453,-228.85989379882812,-309.5216979980469
-350.9854431152344,-339.8341064453125,-649.648681640625
-321.161865234375,-328.25860595703125,-749.1903686523438
-193.3335723876953,-261.82073974609375,-795.2283325195312
-200.10536193847656,-187.79930114746094,-325.95428466796875
-214.68411254882812,-217.71243286132812,-450.63116455078125
-396.80859375,-365.6826171875,-925.1012573242188
-152.228759765625,-153.3712158203125,-927.782470703125
-328.2673645019531,-340.39947509765625,-472.1729736328125
-194.35084533691406,-196.1107635498047,-373.4620361328125
-261.8601989746094,-269.2085876464844,-752.6821899414062
-185.19960021972656,-202.73948669433594,-1201.10595703125
-353.1961669921875,-350.624755859375,-475.5440673828125
-225.83004760742188,-251.1396942138672,-412.8370056152344
-283.81939697265625,-317.06219482421875,-836.0703125
-405.24700927734375,-460.825927734375,-1253.0595703125
-350.9296875,-334.65594482421875,-400.39971923828125
-238.7576446533203,-261.1403503417969,-329.93560791015625
-219.710693359375,-235.18272399902344,-709.280517578125
-291.93231201171875,-286.7266845703125,-1439.738525390625
-339.7784729003906,-298.4290771484375,-389.24560546875
-448.260009765625,-422.90338134765625,-611.1820068359375
-458.50067138671875,-495.22113037109375,-719.6177368164062
-241.39002990722656,-264.5441589355469,-1280.426025390625
-298.7379455566406,-372.9391784667969,-404.32684326171875
-470.7205810546875,-439.0023193359375,-775.1718139648438
-464.23883056640625,-373.07379150390625,-932.9823608398438
-196.2730255126953,-203.8114013671875,-1154.4559326171875
-208.13058471679688,-205.06358337402344,-301.5984802246094
-237.3455810546875,-245.92063903808594,-480.59124755859375
-378.92034912109375,-404.36444091796875,-635.7183227539062
-398.1248474121094,-339.7031555175781,-1306.25048828125
-181.30873107910156,-196.8502655029297,-243.10035705566406
-305.834228515625,-322.60577392578125,-530.3031616210938
-550.3214721679688,-522.308349609375,-1074.7486572265625
-223.68267822265625,-225.07781982421875,-1345.65576171875
-386.52490234375,-252.6140594482422,-460.84454345703125
-265.3135070800781,-265.5923156738281,-403.82806396484375
-231.50450134277344,-249.8726043701172,-722.2694702148438
-169.10487365722656,-178.9105224609375,-987.2446899414062
-321.764892578125,-378.4200439453125,-375.64825439453125
-384.92962646484375,-317.4767150878906,-548.2274780273438
-214.51271057128906,-230.4830780029297,-603.46044921875
-459.78704833984375,-478.9557800292969,-1174.588623046875
-170.90811157226562,-179.30606079101562,-243.1569366455078
-291.01507568359375,-281.762451171875,-471.7505187988281
-187.10977172851562,-171.9777374267578,-745.9603271484375
-563.4308471679688,-535.3994750976562,-1442.34423828125
-295.455810546875,-328.101318359375,-404.6892395019531
-244.4026336669922,-245.6741180419922,-570.1184692382812
-221.9781951904297,-251.90921020507812,-745.8038940429688
-273.76690673828125,-297.46514892578125,-1136.4898681640625
-242.14523315429688,-285.37701416015625,-362.9274597167969
-164.8527374267578,-225.74635314941406,-369.6304016113281
-398.89654541015625,-376.91925048828125,-669.81884765625
-273.2301940917969,-235.2216033935547,-1021.1758422851562
-360.6644287109375,-314.92919921875,-436.9653625488281
-191.8788299560547,-185.3087615966797,-331.8280029296875
-311.87591552734375,-267.6064758300781,-639.1412963867188
-163.2891082763672,-193.4772491455078,-787.3709716796875
-245.0673370361328,-285.0003967285156,-351.8757019042969
-189.36659240722656,-213.80679321289062,-376.09149169921875
-233.5297088623047,-239.0877227783203,-742.2344360351562
-200.1726531982422,-186.37261962890625,-914.4627075195312
-253.6031036376953,-222.1279296875,-375.46832275390625
-217.09913635253906,-179.16928100585938,-549.5423583984375
-354.88616943359375,-277.34197998046875,-1003.8993530273438
-421.97509765625,-294.58447265625,-1192.1307373046875
-204.2061004638672,-197.2974395751953,-299.2171325683594
-330.32452392578125,-320.8896484375,-535.3668212890625
-368.0547180175781,-282.41021728515625,-708.5133666992188
-304.9367980957031,-271.1291809082031,-1235.753173828125
-462.2630615234375,-330.40057373046875,-547.9694213867188
-324.04541015625,-355.5386047363281,-483.53033447265625
-208.42465209960938,-261.17022705078125,-659.406005859375
-298.4830627441406,-301.93927001953125,-1026.3671875
-278.8981018066406,-267.6261901855469,-405.8737487792969
-360.71002197265625,-349.3515319824219,-580.6500244140625
-295.4713134765625,-319.3248291015625,-687.2147216796875
-297.388916015625,-354.7548828125,-615.2407836914062
-286.6974792480469,-293.3406677246094,-361.0950012207031
-318.5419921875,-387.0214538574219,-471.6708984375
-133.8611602783203,-144.74578857421875,-403.4425354003906
-495.1893310546875,-326.60565185546875,-1055.9036865234375
-548.453369140625,-466.32647705078125,-619.1243286132812
-254.2833709716797,-243.19052124023438,-690.4611206054688
-342.9305419921875,-329.5751953125,-910.9431762695312
-388.15118408203125,-335.48687744140625,-1412.830810546875
-169.31565856933594,-172.20571899414062,-250.93582153320312
-391.51312255859375,-376.0133972167969,-597.2743530273438
-278.4615783691406,-365.2850341796875,-658.3660278320312
-351.63568115234375,-326.57940673828125,-1194.73291015625
-219.64459228515625,-233.88516235351562,-307.931396484375
-321.3306884765625,-328.75628662109375,-586.5230102539062
-208.18601989746094,-205.7703399658203,-601.2473754882812
-328.3149108886719,-318.70001220703125,-1559.00732421875
-238.3638153076172,-268.775390625,-316.97906494140625
-319.5543518066406,-316.43389892578125,-396.11785888671875
-246.8452911376953,-258.5311279296875,-597.1922607421875
-272.7900695800781,-277.8941345214844,-1144.984130859375
-310.61322021484375,-312.34722900390625,-402.2758483886719
-346.228759765625,-398.15545654296875,-515.8789672851562
-203.88758850097656,-211.49391174316406,-635.8607788085938
-352.6393127441406,-308.74542236328125,-1034.334228515625
-236.3727264404297,-221.9149169921875,-390.0748291015625
-365.27117919921875,-355.8680725097656,-659.6014404296875
-426.3865966796875,-330.748291015625,-911.5842895507812
-222.01666259765625,-244.30857849121094,-1204.89306640625
-213.7056427001953,-238.3841552734375,-340.29486083984375
-579.7064819335938,-408.626708984375,-785.24072265625
-375.282470703125,-419.7234802246094,-713.85302734375
-236.99746704101562,-241.2257537841797,-1051.3170166015625
-178.6905059814453,-197.8925323486328,-287.8421936035156
-293.28863525390625,-279.188720703125,-525.5598754882812
-420.34637451171875,-429.34808349609375,-825.9559936523438
-355.5220947265625,-379.442626953125,-1269.455322265625
-229.05372619628906,-220.2033233642578,-311.1754150390625
-450.9578857421875,-369.75189208984375,-730.8106689453125
-182.2963104248047,-214.58865356445312,-495.6688232421875
-228.2049102783203,-249.1339874267578,-878.1295776367188
-340.1976318359375,-310.9836730957031,-409.9107971191406
-327.66632080078125,-301.0841369628906,-475.7116394042969
-260.1206359863281,-307.6466064453125,-634.7538452148438
-259.681396484375,-334.0582275390625,-921.369873046875
-310.57623291015625,-328.53863525390625,-442.470947265625
-207.34779357910156,-194.7943878173828,-474.732666015625
-366.56402587890625,-427.03778076171875,-976.77490234375
-210.7957000732422,-206.83509826660156,-1325.5732421875
-230.5112762451172,-216.0448760986328,-410.0538330078125
-244.44642639160156,-254.10043334960938,-559.6564331054688
-182.5939483642578,-189.27540588378906,-597.3692016601562
-169.1933135986328,-183.7584991455078,-1095.6885986328125
-234.14974975585938,-262.92657470703125,-356.7940673828125
-250.89759826660156,-256.87451171875,-507.5292663574219
-193.5868682861328,-226.5828094482422,-577.8583374023438
-301.34136962890625,-331.81341552734375,-958.5104370117188
-209.22386169433594,-206.18572998046875,-310.61181640625
-289.4615173339844,-292.9041442871094,-604.6600952148438
-406.3305969238281,-341.6058654785156,-779.4786987304688
-256.5109558105469,-240.5608367919922,-662.1224365234375
-344.47894287109375,-338.3729248046875,-408.50164794921875
-426.0291748046875,-439.9318542480469,-595.5835571289062
-183.75518798828125,-189.13694763183594,-477.1805419921875
-177.51280212402344,-225.79820251464844,-1079.3321533203125
-286.6071472167969,-283.9697265625,-386.37249755859375
-310.14874267578125,-301.1859130859375,-472.3427734375
-211.6998748779297,-185.9531707763672,-859.6821899414062
-228.80630493164062,-249.39552307128906,-1214.2352294921875
-297.5771484375,-290.687255859375,-395.1966247558594
-362.38983154296875,-346.19024658203125,-563.6958618164062
-324.83905029296875,-307.0892333984375,-629.1768188476562
-213.04144287109375,-241.72909545898438,-1308.58251953125
-363.59368896484375,-318.2406921386719,-501.96026611328125
-200.1536102294922,-232.94317626953125,-542.3255615234375
-482.0330810546875,-474.79254150390625,-1028.798583984375
-224.46450805664062,-244.73257446289062,-1006.9712524414062
-135.5756378173828,-133.10382080078125,-191.5780029296875
-440.0201416015625,-395.8980712890625,-712.8975219726562
-154.6046600341797,-173.9041290283203,-540.3922729492188
-193.6207275390625,-199.7579803466797,-892.2588500976562
-315.1348876953125,-310.3561706542969,-447.66802978515625
-296.55010986328125,-292.2464599609375,-439.1494140625
-273.34326171875,-283.86492919921875,-815.0547485351562
-308.30499267578125,-316.6640625,-1120.703857421875
-221.0267791748047,-212.3262176513672,-401.7540283203125
