D_clean,D_fake,D_noisy
-322.06195068359375,-323.12982177734375,-350.5496826171875
-290.5216369628906,-301.09600830078125,-347.1859436035156
-311.278076171875,-316.32757568359375,-315.41461181640625
-314.516357421875,-313.78228759765625,-326.826904296875
-317.575927734375,-314.43853759765625,-337.7540588378906
-299.623291015625,-301.4107360839844,-337.99359130859375
-309.48486328125,-309.9214782714844,-315.59661865234375
-301.8419189453125,-301.7950439453125,-312.906494140625
-307.6138610839844,-309.39495849609375,-329.7082824707031
-302.6446533203125,-318.7467956542969,-342.5494384765625
-298.9223937988281,-299.14935302734375,-301.65167236328125
-302.629150390625,-302.36993408203125,-312.93438720703125
-319.5572509765625,-319.70361328125,-337.4142150878906
-291.5020751953125,-292.32666015625,-325.39117431640625
-312.2861328125,-304.887451171875,-317.94635009765625
-305.6266174316406,-309.2608337402344,-323.79815673828125
-294.82427978515625,-295.0979309082031,-315.9075012207031
-307.07843017578125,-312.7209777832031,-368.03436279296875
-309.29150390625,-311.8702392578125,-314.4241943359375
-317.7344970703125,-314.500732421875,-330.188232421875
-307.08306884765625,-308.8297119140625,-322.80084228515625
-314.33502197265625,-323.5918273925781,-351.59539794921875
-311.1699523925781,-311.59405517578125,-314.55078125
-316.62396240234375,-314.8626708984375,-325.26043701171875
-304.3158874511719,-303.73077392578125,-322.6398620605469
-303.6770324707031,-310.7257995605469,-348.96826171875
-312.876953125,-307.1937561035156,-317.87835693359375
-298.0189208984375,-298.0427551269531,-314.07611083984375
-297.62225341796875,-300.8675537109375,-324.76727294921875
-307.0357971191406,-307.91290283203125,-339.2967529296875
-301.47186279296875,-300.6346740722656,-304.2620544433594
-316.39990234375,-317.0909423828125,-324.1386413574219
-313.0867614746094,-310.6399841308594,-321.1304626464844
-311.68389892578125,-311.5712890625,-337.0897216796875
-315.9807434082031,-310.7763366699219,-321.10076904296875
-307.63983154296875,-308.64093017578125,-318.0923156738281
-314.1962890625,-313.6381530761719,-337.57318115234375
-304.07318115234375,-310.5989990234375,-340.85675048828125
-296.06878662109375,-296.5687561035156,-301.15875244140625
-302.6290283203125,-303.71392822265625,-316.45587158203125
-301.4759826660156,-302.5257873535156,-319.3096923828125
-306.15399169921875,-308.29522705078125,-335.50970458984375
-312.6817626953125,-306.95745849609375,-317.5531005859375
-290.7099304199219,-289.72296142578125,-307.17681884765625
-302.3158874511719,-299.8714599609375,-331.919189453125
-314.2265625,-305.0635681152344,-346.5210876464844
-299.46795654296875,-299.75286865234375,-307.2366638183594
-313.07745361328125,-312.9512939453125,-324.1285400390625
-306.5931396484375,-306.0802307128906,-327.22967529296875
-303.3043212890625,-302.16717529296875,-338.44488525390625
-312.349609375,-306.323974609375,-315.12054443359375
-313.5939636230469,-310.7116394042969,-320.8055114746094
-303.52069091796875,-303.3756103515625,-314.01153564453125
-319.74029541015625,-321.1080322265625,-339.39739990234375
-296.4645080566406,-296.64764404296875,-307.2798156738281
-300.3490295410156,-300.36456298828125,-318.4931640625
-304.84161376953125,-310.94732666015625,-332.3102111816406
-310.6270751953125,-324.360595703125,-350.1600646972656
-304.14892578125,-304.8719482421875,-311.14776611328125
-315.90399169921875,-313.04443359375,-328.43817138671875
-302.7359619140625,-304.28631591796875,-316.711181640625
-313.67291259765625,-329.9525146484375,-363.17999267578125
-316.7089538574219,-312.8262023925781,-322.7950439453125
