SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred,SI-SDR pred Noisy,SI-SDR pred Improvement,Noisy filename,Clean filename
Mean scores
0.0,0.0,0.0,0.0,0.0,0.0,0.6404053143975947,1.4075341538379067,-2.6585414320954426,-2.266968047148303,-0.3915733849471397
Standard errors of the means
0.0,0.0,0.0,0.0,0.0,0.0,0.009754376262529639,0.022251004454721036,0.5632463193013848,0.6016603722474776,0.24822505507347434
All Scores
0,0,0,0,0,0,0.9244390726089478,2.094871997833252,14.21788501739502,14.764815330505371,0.5469303131103516,eceLeLKCo6A.wav,p257_207.wav
0,0,0,0,0,0,0.4832795560359955,1.1373118162155151,-12.174260139465332,-12.925179481506348,-0.7509193420410156,eUcaJDhfFVg.wav,p257_213.wav
0,0,0,0,0,0,0.45312660932540894,1.1133501529693604,-14.323524475097656,-12.867192268371582,1.4563322067260742,oGc-W3DWpDU.wav,p232_119.wav
0,0,0,0,0,0,0.4882936179637909,1.1689648628234863,-8.418779373168945,-12.401348114013672,-3.9825687408447266,ydQaImgvhak.wav,p232_131.wav
0,0,0,0,0,0,0.6308684945106506,1.1224151849746704,-1.9366856813430786,-11.21689510345459,-9.280209422111511,bCOmV_G0pkk.wav,p232_125.wav
0,0,0,0,0,0,0.8660309910774231,1.5366206169128418,-9.275431632995605,-0.223361998796463,9.052069634199142,mOx0YEidsIg.wav,p257_011.wav
0,0,0,0,0,0,0.7003329396247864,1.2130835056304932,1.342100739479065,-1.347288966178894,-2.689389705657959,0XjfhlZVmO0.wav,p257_039.wav
0,0,0,0,0,0,0.6058765649795532,1.1441361904144287,-12.548715591430664,1.264754295349121,13.813469886779785,kGuKzWVGAGY.wav,p232_333.wav
0,0,0,0,0,0,0.5352599024772644,1.158549427986145,-17.362503051757812,-15.999186515808105,1.363316535949707,soVRoIbewMM.wav,p232_327.wav
0,0,0,0,0,0,0.6801045536994934,1.1757498979568481,-18.582637786865234,-19.045055389404297,-0.4624176025390625,N3_Pyp1stAE.wav,p232_284.wav
0,0,0,0,0,0,0.6634324193000793,1.1653828620910645,-9.409146308898926,-9.392199516296387,0.016946792602539062,1mm09kC1HW0.wav,p232_290.wav
0,0,0,0,0,0,0.970887303352356,1.8385107517242432,14.302210807800293,16.360336303710938,2.0581254959106445,FqQ5QaNPGuU.wav,p257_171.wav
0,0,0,0,0,0,0.6962851881980896,1.1186443567276,-6.735936641693115,-2.156928539276123,4.579008102416992,C9kJOuxF4QU.wav,p257_165.wav
0,0,0,0,0,0,0.9302074313163757,2.502211570739746,23.028644561767578,23.705074310302734,0.6764297485351562,yIukyNUErLE.wav,p232_247.wav
0,0,0,0,0,0,0.6436393857002258,1.1330851316452026,-3.8835368156433105,-0.1680220067501068,3.7155148088932037,UZa8hjP92GM.wav,p232_253.wav
0,0,0,0,0,0,0.36080753803253174,1.1751470565795898,-14.597187995910645,-14.794333457946777,-0.1971454620361328,9BzZvj5W09s.wav,p257_159.wav
0,0,0,0,0,0,0.912390947341919,1.3371074199676514,-2.70989990234375,-0.9031906723976135,1.8067092299461365,3esyOI3cuPI.wav,p232_086.wav
0,0,0,0,0,0,0.5080132484436035,1.1655752658843994,-14.264129638671875,-11.986052513122559,2.2780771255493164,ZCGX32-8FQs.wav,p257_398.wav
0,0,0,0,0,0,0.41048726439476013,1.179664134979248,-17.122909545898438,-17.365856170654297,-0.24294662475585938,4XdDxlReYUk.wav,p232_092.wav
0,0,0,0,0,0,0.797715425491333,1.4055814743041992,6.645991802215576,4.207552909851074,-2.438438892364502,cO9t0LaFu18.wav,p257_415.wav
0,0,0,0,0,0,0.9031621813774109,1.516508936882019,17.840484619140625,8.529328346252441,-9.311156272888184,aGsIjsja0JQ.wav,p232_079.wav
0,0,0,0,0,0,0.3624809980392456,1.2212090492248535,-10.048320770263672,-14.936412811279297,-4.888092041015625,qF90ezvPe14.wav,p257_373.wav
0,0,0,0,0,0,0.4266516864299774,1.1575477123260498,0.6300287246704102,-12.429984092712402,-13.060012817382812,KMWBepdMJMI.wav,p257_367.wav
0,0,0,0,0,0,0.5278231501579285,1.132295846939087,-2.3478915691375732,-2.852708339691162,-0.5048167705535889,6amwf4K7CT8.wav,p257_401.wav
0,0,0,0,0,0,0.396255224943161,1.1527934074401855,-16.06418800354004,-16.354843139648438,-0.29065513610839844,UFnWoJ2Mu1M.wav,p232_045.wav
0,0,0,0,0,0,0.7233074903488159,1.2029980421066284,-2.160156726837158,0.06373277306556702,2.223889499902725,oE0PiIDMbL4.wav,p257_429.wav
0,0,0,0,0,0,0.4873030483722687,1.1709309816360474,-13.669180870056152,-13.413704872131348,0.2554759979248047,26owMAFMWJw.wav,p232_051.wav
0,0,0,0,0,0,0.39851921796798706,1.1244720220565796,-14.065207481384277,-10.161900520324707,3.9033069610595703,irutvIeDEVs.wav,p232_050.wav
0,0,0,0,0,0,0.6592844128608704,1.1020030975341797,-16.531463623046875,-13.822068214416504,2.709395408630371,Lz3H84N-Xkc.wav,p257_428.wav
0,0,0,0,0,0,0.9290831089019775,1.5227320194244385,3.21297025680542,4.215571403503418,1.002601146697998,68HVZzEravA.wav,p232_044.wav
0,0,0,0,0,0,0.9202888607978821,1.289780616760254,7.181798934936523,10.188077926635742,3.0062789916992188,2IqByx9qq7Q.wav,p257_366.wav
0,0,0,0,0,0,0.5759068131446838,1.203732967376709,-17.227249145507812,-17.422962188720703,-0.19571304321289062,nGnuJJloAPM.wav,p257_400.wav
