SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred Noisy,SI-SDR pred,SI-SDR pred Improvement,Noisy filename,Clean filename
Mean scores
0.0,2.535546,3.220827068394495,0.0,0.0,0.0,0.6616042206735022,1.629642935416959,-1.720566310637031,-2.266968047148303,0.546401736511272
Standard errors of the means
0.0,0.01610743671637297,0.03822795579405519,0.0,0.0,0.0,0.011443662039326282,0.03240079867275712,0.6570451621643286,0.6016603722474776,0.30696616411875327
All Scores
0,3.2230706,3.24104642868042,0,0,0,0.8823490738868713,2.1725735664367676,14.21788501739502,10.051974296569824,-4.165910720825195,eceLeLKCo6A.wav,p257_207.wav
0,2.1652763,2.8191404342651367,0,0,0,0.43892982602119446,1.2085134983062744,-12.174260139465332,-16.087326049804688,-3.9130659103393555,eUcaJDhfFVg.wav,p257_213.wav
0,2.0824945,2.4199259281158447,0,0,0,0.4561309814453125,1.179499626159668,-14.323524475097656,-14.027587890625,0.29593658447265625,oGc-W3DWpDU.wav,p232_119.wav
0,2.1883802,2.5302071571350098,0,0,0,0.5437156558036804,1.2573912143707275,-8.418779373168945,-10.324557304382324,-1.905777931213379,ydQaImgvhak.wav,p232_131.wav
0,2.6525443,2.807354211807251,0,0,0,0.7606005072593689,1.1673405170440674,-1.9366856813430786,-2.5315845012664795,-0.5948988199234009,bCOmV_G0pkk.wav,p232_125.wav
0,2.4348333,2.0306668281555176,0,0,0,0.9523512721061707,1.8172434568405151,-9.275431632995605,-6.504459857940674,2.7709717750549316,mOx0YEidsIg.wav,p257_011.wav
0,2.4707954,2.9685723781585693,0,0,0,0.8996228575706482,1.3894879817962646,1.342100739479065,8.572222709655762,7.230121970176697,0XjfhlZVmO0.wav,p257_039.wav
0,2.3779736,2.113013982772827,0,0,0,0.6132313013076782,1.24590265750885,-12.548715591430664,-0.05291542783379555,12.495800163596869,kGuKzWVGAGY.wav,p232_333.wav
0,2.5632083,2.674142360687256,0,0,0,0.23315460979938507,1.146265983581543,-17.362503051757812,-16.686702728271484,0.6758003234863281,soVRoIbewMM.wav,p232_327.wav
0,2.3225653,2.237490653991699,0,0,0,0.23093417286872864,1.206215500831604,-18.582637786865234,-20.37604522705078,-1.7934074401855469,N3_Pyp1stAE.wav,p232_284.wav
0,2.089588,3.1993408203125,0,0,0,0.9424236416816711,1.6222076416015625,-9.409146308898926,4.750298976898193,14.15944528579712,1mm09kC1HW0.wav,p232_290.wav
0,3.257346,4.012259483337402,0,0,0,0.9890018701553345,2.635789155960083,14.302210807800293,20.955554962158203,6.65334415435791,FqQ5QaNPGuU.wav,p257_171.wav
0,2.3171418,2.0462396144866943,0,0,0,0.3988974988460541,1.2025798559188843,-6.735936641693115,-5.8174004554748535,0.9185361862182617,C9kJOuxF4QU.wav,p257_165.wav
0,3.1299152,3.4734420776367188,0,0,0,0.9410536885261536,3.2729015350341797,23.028644561767578,21.33205223083496,-1.6965923309326172,yIukyNUErLE.wav,p232_247.wav
0,2.6567154,2.4332666397094727,0,0,0,0.8898780345916748,2.074333667755127,-3.8835368156433105,18.054492950439453,21.938029766082764,UZa8hjP92GM.wav,p232_253.wav
0,2.1722224,4.497383117675781,0,0,0,0.5466234087944031,1.209989309310913,-14.597187995910645,-19.349163055419922,-4.751975059509277,9BzZvj5W09s.wav,p257_159.wav
0,2.486449,2.269491195678711,0,0,0,0.9916191101074219,2.3152244091033936,-2.70989990234375,14.777725219726562,17.487625122070312,3esyOI3cuPI.wav,p232_086.wav
0,2.1565254,4.355454921722412,0,0,0,0.3496682941913605,1.2027868032455444,-14.264129638671875,-14.085713386535645,0.17841625213623047,ZCGX32-8FQs.wav,p257_398.wav
0,2.08753,2.2137420177459717,0,0,0,0.3941877484321594,1.1906362771987915,-17.122909545898438,-18.19994354248047,-1.0770339965820312,4XdDxlReYUk.wav,p232_092.wav
0,2.547615,3.420614719390869,0,0,0,0.9453383088111877,2.493990182876587,6.645991802215576,15.693582534790039,9.047590732574463,cO9t0LaFu18.wav,p257_415.wav
0,3.1910415,4.445765018463135,0,0,0,0.99062180519104,2.7656612396240234,17.840484619140625,19.480010986328125,1.6395263671875,aGsIjsja0JQ.wav,p232_079.wav
0,2.242073,2.8521475791931152,0,0,0,0.8643521070480347,2.896048069000244,-10.048320770263672,1.1656467914581299,11.213967561721802,qF90ezvPe14.wav,p257_373.wav
0,2.4191918,3.772289991378784,0,0,0,0.4849242866039276,1.1494511365890503,0.6300287246704102,1.6212751865386963,0.9912464618682861,KMWBepdMJMI.wav,p257_367.wav
0,2.1745303,3.586968183517456,0,0,0,0.4499669671058655,1.2030633687973022,-2.3478915691375732,-11.276644706726074,-8.928753137588501,6amwf4K7CT8.wav,p257_401.wav
0,2.3590336,2.028552770614624,0,0,0,0.1379266083240509,1.1076383590698242,-16.06418800354004,-18.108661651611328,-2.044473648071289,UFnWoJ2Mu1M.wav,p232_045.wav
0,2.620117,4.454182147979736,0,0,0,0.9781412482261658,1.8620144128799438,-2.160156726837158,15.914087295532227,18.074244022369385,oE0PiIDMbL4.wav,p257_429.wav
0,2.6028073,3.468113899230957,0,0,0,0.6901652812957764,1.2304946184158325,-13.669180870056152,7.6413068771362305,21.310487747192383,26owMAFMWJw.wav,p232_051.wav
0,2.1538873,2.694477081298828,0,0,0,0.42561280727386475,1.1899677515029907,-14.065207481384277,-13.77985954284668,0.28534793853759766,irutvIeDEVs.wav,p232_050.wav
0,2.4694035,2.029301404953003,0,0,0,0.40244337916374207,1.2571276426315308,-16.531463623046875,-15.242061614990234,1.2894020080566406,Lz3H84N-Xkc.wav,p257_428.wav
0,3.0000386,4.273120403289795,0,0,0,0.9071115851402283,1.4298267364501953,3.21297025680542,0.29467281699180603,-2.918297439813614,68HVZzEravA.wav,p232_044.wav
0,2.672652,4.3924055099487305,0,0,0,0.9661372900009155,1.5380746126174927,7.181798934936523,16.221040725708008,9.039241790771484,2IqByx9qq7Q.wav,p257_366.wav
0,2.100057,3.0493483543395996,0,0,0,0.47025835514068604,1.16915762424469,-17.227249145507812,-17.032875061035156,0.19437408447265625,nGnuJJloAPM.wav,p257_400.wav
0,3.316131,4.375833034515381,0,0,0,0.9952049255371094,3.6521260738372803,25.719314575195312,27.15090560913086,1.4315910339355469,9xD9JdbVMn8.wav,p232_078.wav
0,2.7380145,2.777294158935547,0,0,0,0.9858728647232056,2.460092544555664,3.042982578277588,20.80779457092285,17.764811992645264,Fq5rUJfqf3I.wav,p257_414.wav
0,2.4284062,2.7013487815856934,0,0,0,0.6257111430168152,1.1583856344223022,-14.747401237487793,-14.99195384979248,-0.2445526123046875,Fd4kry50Tc0.wav,p257_372.wav
0,2.4179218,3.865624189376831,0,0,0,0.34974953532218933,1.3122565746307373,-9.408984184265137,-15.908947944641113,-6.499963760375977,UWK7tH9GNSg.wav,p257_399.wav
0,2.2571857,3.228943109512329,0,0,0,0.1998431533575058,1.1682260036468506,-15.12913990020752,-16.55838394165039,-1.429244041442871,2bR0IRhqpNM.wav,p232_093.wav
0,2.2130296,2.51261305809021,0,0,0,0.5499602556228638,1.184583306312561,-11.785106658935547,-8.964118003845215,2.820988655090332,-GaHBgRGi4s.wav,p232_087.wav
0,2.7028255,4.1638994216918945,0,0,0,0.8649457693099976,1.5043127536773682,12.078839302062988,9.117091178894043,-2.9617481231689453,Mp1bGjvmAaQ.wav,p232_252.wav
0,2.4268222,2.3169546127319336,0,0,0,0.7450716495513916,1.4056565761566162,-2.751683473587036,4.0125651359558105,6.764248609542847,2TauJ1KBMdY.wav,p257_158.wav
0,2.227566,2.220252275466919,0,0,0,0.37127789855003357,1.1352838277816772,-8.50283145904541,-10.867749214172363,-2.364917755126953,JWZpp-w5TcU.wav,p232_246.wav
0,3.421967,4.55342435836792,0,0,0,0.9516406059265137,2.8569178581237793,23.847698211669922,15.914921760559082,-7.93277645111084,rCNaKCymgp8.wav,p257_164.wav
0,2.6108139,3.363569974899292,0,0,0,0.9430947303771973,2.5742249488830566,18.537246704101562,17.606332778930664,-0.9309139251708984,vGdfIUCkVEU.wav,p257_170.wav
0,2.5242877,4.3064374923706055,0,0,0,0.9331161975860596,1.4506505727767944,1.1133122444152832,4.152698040008545,3.0393857955932617,Af1h4ibpKJA.wav,p232_291.wav
0,2.370792,2.290881872177124,0,0,0,0.5933510065078735,1.1790235042572021,5.943540096282959,8.050161361694336,2.106621265411377,P9Aw8OkCZd4.wav,p232_285.wav
0,2.5779665,2.144320487976074,0,0,0,0.6969323754310608,1.2510006427764893,0.5169364213943481,0.05089881643652916,-0.466037604957819,0DefiYiEF4E.wav,p232_326.wav
0,2.6402538,3.631277322769165,0,0,0,0.8622467517852783,1.346333622932434,4.955228805541992,6.135907173156738,1.180678367614746,XBWifeqlq6s.wav,p257_038.wav
0,2.3279476,3.906205177307129,0,0,0,0.5928680896759033,1.243261456489563,-14.079085350036621,-15.275896072387695,-1.1968107223510742,QUO4olgDVes.wav,p232_332.wav
0,3.0743346,4.475521087646484,0,0,0,0.9922473430633545,3.536529302597046,26.16082763671875,25.64911460876465,-0.5117130279541016,3a7001QgvG0.wav,p257_010.wav
0,2.9482174,3.93867564201355,0,0,0,0.9986647367477417,3.325490951538086,12.578740119934082,25.35721206665039,12.778471946716309,CIfMy9PFlz0.wav,p257_004.wav
0,2.2463317,2.1791677474975586,0,0,0,0.7095460295677185,1.199025273323059,-5.900190353393555,-5.288283824920654,0.6119065284729004,NnYfF7E12dk.wav,p232_124.wav
0,2.2695284,2.434544086456299,0,0,0,0.28731557726860046,1.1856884956359863,-18.055683135986328,-17.939319610595703,0.116363525390625,3zEWsAPEdd0.wav,p232_130.wav
0,2.3988593,2.022486925125122,0,0,0,0.40183934569358826,1.1967408657073975,-4.594819068908691,-5.498601913452148,-0.903782844543457,XPYxNXvrPNM.wav,p257_212.wav
0,2.3706906,2.7117629051208496,0,0,0,0.8707689046859741,1.5407297611236572,-2.1341371536254883,-1.1811671257019043,0.952970027923584,OuU7b128Jv0.wav,p232_118.wav
0,2.2705283,4.123490333557129,0,0,0,0.6931793689727783,1.4180346727371216,-14.42792797088623,1.4421206712722778,15.870048642158508,kZUzFVaeRMs.wav,p257_206.wav
0,2.2572086,2.027862071990967,0,0,0,0.4264821410179138,1.1376382112503052,-15.643656730651855,-16.42226791381836,-0.7786111831665039,tZdlTmEuf5M.wav,p257_210.wav
0,2.2326274,2.0527353286743164,0,0,0,0.8818915486335754,2.4298906326293945,3.952824592590332,16.2073974609375,12.254572868347168,2-1wY_Ndtgw.wav,p257_204.wav
0,2.2688372,2.5759167671203613,0,0,0,0.7731489539146423,1.3034838438034058,8.780813217163086,-1.0395680665969849,-9.82038128376007,L-FWhg4r7JA.wav,p232_126.wav
0,2.3697476,2.664745569229126,0,0,0,0.490867018699646,1.1590744256973267,-9.750554084777832,-11.219874382019043,-1.469320297241211,blqm5QygivU.wav,p257_238.wav
0,2.1125157,3.297510862350464,0,0,0,0.4900851845741272,1.1560300588607788,-14.226402282714844,-14.29504680633545,-0.06864452362060547,yh08ZIpNdo4.wav,p232_132.wav
