SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred
Mean scores
0.0,1.6536935558263195,3.250600751722702,0.0,0.0,0.0,0.659997,1.559534,-1.872206
Standard errors of the means
0.0,0.02784076515854341,0.03943762616174275,0.0,0.0,0.0,0.011026,0.030655,0.620124
All Scores
0,2.907052489002527,4.4134721755981445,0,0,0,0.9272811412811279,2.1674821376800537,11.33101749420166
0,1.0852663446042976,4.0946526527404785,0,0,0,0.5222707390785217,1.1448235511779785,-15.963007926940918
0,1.0967210229508126,2.079232692718506,0,0,0,0.4339311122894287,1.1332371234893799,-14.31412410736084
0,1.0823439478918446,4.364546298980713,0,0,0,0.5611785650253296,1.1187547445297241,-12.057875633239746
0,1.5628200738281819,2.2703311443328857,0,0,0,0.7279977798461914,1.1496046781539917,-5.826052665710449
0,1.5003269706664486,2.4674713611602783,0,0,0,0.9068928360939026,1.4054396152496338,-8.331579208374023
0,1.3939382847960753,4.332616806030273,0,0,0,0.8212113380432129,1.2245906591415405,4.700459957122803
0,1.068099936245147,2.312319755554199,0,0,0,0.4173784852027893,1.1266812086105347,-13.598210334777832
0,1.8346293177665252,2.9634850025177,0,0,0,0.33442914485931396,1.129254937171936,-16.462478637695312
0,1.177181823570773,2.586949348449707,0,0,0,0.6091004014015198,1.1625477075576782,-19.196308135986328
0,1.3723987209190385,3.578779935836792,0,0,0,0.7314739227294922,1.2277483940124512,-1.981608510017395
0,2.3964715356380375,3.328896999359131,0,0,0,0.9846693873405457,2.7621023654937744,21.021902084350586
0,1.1527183534356522,2.0944364070892334,0,0,0,0.3224312663078308,1.1732685565948486,-14.83290958404541
0,2.139785192229202,4.508574485778809,0,0,0,0.9241433143615723,3.20272159576416,19.096424102783203
0,1.1437793753757965,2.7206482887268066,0,0,0,0.6691634654998779,1.1976594924926758,3.418936252593994
0,1.03766900979895,2.5620992183685303,0,0,0,0.4020715355873108,1.1637866497039795,-17.01173210144043
0,1.10182464426606,2.548931837081909,0,0,0,0.9687122106552124,1.9128594398498535,5.847311019897461
0,1.0718464510143642,2.2316131591796875,0,0,0,0.3611049950122833,1.160385012626648,-14.811638832092285
0,1.7766145646397664,2.011082410812378,0,0,0,0.4905780553817749,1.240858554840088,-17.68307113647461
0,1.8398628272273871,2.778402328491211,0,0,0,nan,nan,nan
0,1.6634041952484093,2.6919753551483154,0,0,0,0.9483228921890259,2.3224823474884033,17.93747329711914
0,2.582999127857242,3.947465181350708,0,0,0,0.9706717133522034,2.445218086242676,15.980111122131348
0,1.0331577249270711,3.4323534965515137,0,0,0,0.8856454491615295,1.498454213142395,3.674638509750366
0,1.078559821406369,4.5437846183776855,0,0,0,0.5082175135612488,1.1870481967926025,2.9748597145080566
0,2.168245027721305,3.297764778137207,0,0,0,0.4371567964553833,1.1162350177764893,-6.170815467834473
