"epoch","22/05 16:52:25 Finetune_12_speakers - _step","22/05 16:52:25 Finetune_12_speakers - _step__MIN","22/05 16:52:25 Finetune_12_speakers - _step__MAX","22/05 16:52:25 Finetune_12_speakers - SI-SNR","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MIN","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MAX","19/05 14:51:16 Finetune_5_speakers G - _step","19/05 14:51:16 Finetune_5_speakers G - _step__MIN","19/05 14:51:16 Finetune_5_speakers G - _step__MAX","19/05 14:51:16 Finetune_5_speakers G - SI-SNR","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MIN","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MAX","19/05 14:49:22 Finetune_3_speakers G - _step","19/05 14:49:22 Finetune_3_speakers G - _step__MIN","19/05 14:49:22 Finetune_3_speakers G - _step__MAX","19/05 14:49:22 Finetune_3_speakers G - SI-SNR","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MIN","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MAX","19/05 14:39:01 Finetune_1_speakers G - _step","19/05 14:39:01 Finetune_1_speakers G - _step__MIN","19/05 14:39:01 Finetune_1_speakers G - _step__MAX","19/05 14:39:01 Finetune_1_speakers G - SI-SNR","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MIN","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MAX"
"904","28","28","28","18.488134384155273","18.488134384155273","18.488134384155273","118","118","118","17.69243812561035","17.69243812561035","17.69243812561035","118","118","118","16.29102325439453","16.29102325439453","16.29102325439453","118","118","118","15.853333473205566","15.853333473205566","15.853333473205566"
"905","30","30","30","18.603164672851562","18.603164672851562","18.603164672851562","126","126","126","17.722169876098633","17.722169876098633","17.722169876098633","126","126","126","17.298219680786133","17.298219680786133","17.298219680786133","126","126","126","15.87087631225586","15.87087631225586","15.87087631225586"
"906","32","32","32","18.58025550842285","18.58025550842285","18.58025550842285","134","134","134","17.548242568969727","17.548242568969727","17.548242568969727","134","134","134","17.455310821533203","17.455310821533203","17.455310821533203","134","134","134","15.888418197631836","15.888418197631836","15.888418197631836"
"907","34","34","34","18.6562442779541","18.6562442779541","18.6562442779541","142","142","142","17.932037353515625","17.932037353515625","17.932037353515625","142","142","142","16.539562225341797","16.539562225341797","16.539562225341797","142","142","142","15.979822158813477","15.979822158813477","15.979822158813477"
"908","36","36","36","18.724273681640625","18.724273681640625","18.724273681640625","150","150","150","17.84733009338379","17.84733009338379","17.84733009338379","150","150","150","16.77852439880371","16.77852439880371","16.77852439880371","150","150","150","15.894218444824219","15.894218444824219","15.894218444824219"
"909","38","38","38","18.598644256591797","18.598644256591797","18.598644256591797","158","158","158","17.8623104095459","17.8623104095459","17.8623104095459","158","158","158","17.35423469543457","17.35423469543457","17.35423469543457","158","158","158","16.02210235595703","16.02210235595703","16.02210235595703"
"910","40","40","40","18.562393188476562","18.562393188476562","18.562393188476562","166","166","166","17.804224014282227","17.804224014282227","17.804224014282227","166","166","166","16.826065063476562","16.826065063476562","16.826065063476562","166","166","166","16.00550079345703","16.00550079345703","16.00550079345703"
"911","42","42","42","18.62415313720703","18.62415313720703","18.62415313720703","174","174","174","17.7844181060791","17.7844181060791","17.7844181060791","174","174","174","16.68024253845215","16.68024253845215","16.68024253845215","174","174","174","16.046794891357422","16.046794891357422","16.046794891357422"
"912","44","44","44","18.60477638244629","18.60477638244629","18.60477638244629","182","182","182","17.8618106842041","17.8618106842041","17.8618106842041","182","182","182","17.396682739257812","17.396682739257812","17.396682739257812","182","182","182","16.04635238647461","16.04635238647461","16.04635238647461"
"913","46","46","46","18.71591567993164","18.71591567993164","18.71591567993164","190","190","190","17.772506713867188","17.772506713867188","17.772506713867188","190","190","190","16.9240665435791","16.9240665435791","16.9240665435791","190","190","190","15.906000137329102","15.906000137329102","15.906000137329102"
"914","48","48","48","18.712846755981445","18.712846755981445","18.712846755981445","198","198","198","17.70262336730957","17.70262336730957","17.70262336730957","198","198","198","15.655296325683594","15.655296325683594","15.655296325683594","198","198","198","16.05828094482422","16.05828094482422","16.05828094482422"
"915","50","50","50","18.755367279052734","18.755367279052734","18.755367279052734","206","206","206","18.054290771484375","18.054290771484375","18.054290771484375","206","206","206","16.477344512939453","16.477344512939453","16.477344512939453","206","206","206","16.397890090942383","16.397890090942383","16.397890090942383"
"916","52","52","52","18.790010452270508","18.790010452270508","18.790010452270508","214","214","214","17.516782760620117","17.516782760620117","17.516782760620117","214","214","214","17.15143585205078","17.15143585205078","17.15143585205078","214","214","214","16.313268661499023","16.313268661499023","16.313268661499023"
"917","54","54","54","18.81231117248535","18.81231117248535","18.81231117248535","222","222","222","18.08786392211914","18.08786392211914","18.08786392211914","222","222","222","16.99515724182129","16.99515724182129","16.99515724182129","222","222","222","16.43254852294922","16.43254852294922","16.43254852294922"
