SI-SNR,DNSMOS,MOS Squim,eSTOI,PESQ,PESQ Torch,STOI pred,PESQ pred,SI-SDR pred
Mean scores
0.0,0.0,3.6469974181168308,0.0,0.0,0.0,0.0,0.0,0.0
SE of the means
0.0,0.0,0.0072017856847729185,0.0,0.0,0.0,0.0,0.0,0.0
All Scores
0,0,4.603802680969238,0,0,0,0,0,0
0,0,2.141103744506836,0,0,0,0,0,0
0,0,2.795520305633545,0,0,0,0,0,0
0,0,2.0255606174468994,0,0,0,0,0,0
0,0,4.242084980010986,0,0,0,0,0,0
0,0,2.5180373191833496,0,0,0,0,0,0
0,0,4.171947002410889,0,0,0,0,0,0
0,0,4.131587028503418,0,0,0,0,0,0
0,0,4.291226863861084,0,0,0,0,0,0
0,0,3.7258434295654297,0,0,0,0,0,0
0,0,4.5138630867004395,0,0,0,0,0,0
0,0,4.340579986572266,0,0,0,0,0,0
0,0,3.2126545906066895,0,0,0,0,0,0
0,0,2.8335351943969727,0,0,0,0,0,0
0,0,4.239844799041748,0,0,0,0,0,0
0,0,2.9570744037628174,0,0,0,0,0,0
0,0,4.431089401245117,0,0,0,0,0,0
0,0,3.7771923542022705,0,0,0,0,0,0
0,0,2.208956718444824,0,0,0,0,0,0
0,0,2.7758865356445312,0,0,0,0,0,0
0,0,4.462544918060303,0,0,0,0,0,0
0,0,4.224670886993408,0,0,0,0,0,0
0,0,4.375714302062988,0,0,0,0,0,0
0,0,2.870410203933716,0,0,0,0,0,0
0,0,3.3887088298797607,0,0,0,0,0,0
0,0,3.848968982696533,0,0,0,0,0,0
0,0,3.9499382972717285,0,0,0,0,0,0
0,0,2.5054619312286377,0,0,0,0,0,0
0,0,4.017832279205322,0,0,0,0,0,0
0,0,4.562175750732422,0,0,0,0,0,0
0,0,2.978193998336792,0,0,0,0,0,0
0,0,4.4398884773254395,0,0,0,0,0,0
0,0,3.0895562171936035,0,0,0,0,0,0
0,0,2.7662410736083984,0,0,0,0,0,0
0,0,2.6338820457458496,0,0,0,0,0,0
0,0,2.574280261993408,0,0,0,0,0,0
0,0,3.839539051055908,0,0,0,0,0,0
0,0,2.5267629623413086,0,0,0,0,0,0
0,0,3.6197099685668945,0,0,0,0,0,0
0,0,2.9999537467956543,0,0,0,0,0,0
0,0,2.5314128398895264,0,0,0,0,0,0
0,0,2.676710367202759,0,0,0,0,0,0
0,0,2.5228867530822754,0,0,0,0,0,0
0,0,2.7096471786499023,0,0,0,0,0,0
0,0,3.3065149784088135,0,0,0,0,0,0
0,0,4.518730163574219,0,0,0,0,0,0
0,0,2.3872170448303223,0,0,0,0,0,0
0,0,2.1714513301849365,0,0,0,0,0,0
0,0,4.271752834320068,0,0,0,0,0,0
0,0,4.4799957275390625,0,0,0,0,0,0
0,0,4.308719635009766,0,0,0,0,0,0
0,0,4.450511455535889,0,0,0,0,0,0
0,0,3.920072555541992,0,0,0,0,0,0
0,0,4.575046062469482,0,0,0,0,0,0
0,0,3.7148921489715576,0,0,0,0,0,0
0,0,3.824863910675049,0,0,0,0,0,0
0,0,4.0707173347473145,0,0,0,0,0,0
0,0,2.222273826599121,0,0,0,0,0,0
0,0,3.963468551635742,0,0,0,0,0,0
0,0,2.643573045730591,0,0,0,0,0,0
0,0,3.4044222831726074,0,0,0,0,0,0
0,0,4.381999492645264,0,0,0,0,0,0
0,0,2.858157157897949,0,0,0,0,0,0
0,0,4.11455774307251,0,0,0,0,0,0
0,0,3.1470327377319336,0,0,0,0,0,0
0,0,4.23173713684082,0,0,0,0,0,0
0,0,2.916398763656616,0,0,0,0,0,0
0,0,2.559861898422241,0,0,0,0,0,0
0,0,4.446089267730713,0,0,0,0,0,0
0,0,2.632972478866577,0,0,0,0,0,0
0,0,4.540705680847168,0,0,0,0,0,0
0,0,3.3636550903320312,0,0,0,0,0,0
0,0,3.4517321586608887,0,0,0,0,0,0
0,0,2.4139535427093506,0,0,0,0,0,0
0,0,3.143171548843384,0,0,0,0,0,0
0,0,2.565267562866211,0,0,0,0,0,0
0,0,2.6836304664611816,0,0,0,0,0,0
0,0,3.389400005340576,0,0,0,0,0,0
0,0,3.0654094219207764,0,0,0,0,0,0
0,0,2.0721170902252197,0,0,0,0,0,0
0,0,2.0385982990264893,0,0,0,0,0,0
0,0,2.9788012504577637,0,0,0,0,0,0
0,0,2.551374673843384,0,0,0,0,0,0
0,0,2.0084009170532227,0,0,0,0,0,0
0,0,4.446106433868408,0,0,0,0,0,0
0,0,3.0280609130859375,0,0,0,0,0,0
0,0,3.597994804382324,0,0,0,0,0,0
0,0,4.1382832527160645,0,0,0,0,0,0
0,0,2.8000335693359375,0,0,0,0,0,0
0,0,4.444308280944824,0,0,0,0,0,0
0,0,4.433752059936523,0,0,0,0,0,0
0,0,3.430173873901367,0,0,0,0,0,0
0,0,3.6950316429138184,0,0,0,0,0,0
0,0,3.847517967224121,0,0,0,0,0,0
0,0,3.5574114322662354,0,0,0,0,0,0
0,0,4.171021461486816,0,0,0,0,0,0
0,0,3.876471519470215,0,0,0,0,0,0
0,0,3.021839141845703,0,0,0,0,0,0
0,0,2.6606557369232178,0,0,0,0,0,0
0,0,2.208683729171753,0,0,0,0,0,0
0,0,4.250594615936279,0,0,0,0,0,0
0,0,4.210114479064941,0,0,0,0,0,0
0,0,3.8736414909362793,0,0,0,0,0,0
0,0,3.8134331703186035,0,0,0,0,0,0
0,0,2.210965156555176,0,0,0,0,0,0
0,0,3.140005111694336,0,0,0,0,0,0
0,0,3.4048008918762207,0,0,0,0,0,0
0,0,2.803600311279297,0,0,0,0,0,0
0,0,2.8535287380218506,0,0,0,0,0,0
0,0,4.476022720336914,0,0,0,0,0,0
0,0,3.3529977798461914,0,0,0,0,0,0
0,0,3.9700517654418945,0,0,0,0,0,0
0,0,4.141441822052002,0,0,0,0,0,0
0,0,2.9516444206237793,0,0,0,0,0,0
0,0,3.9877986907958984,0,0,0,0,0,0
0,0,2.049426555633545,0,0,0,0,0,0
0,0,3.374424695968628,0,0,0,0,0,0
0,0,2.9337096214294434,0,0,0,0,0,0
0,0,2.7555599212646484,0,0,0,0,0,0
0,0,3.680030345916748,0,0,0,0,0,0
0,0,3.946869134902954,0,0,0,0,0,0
0,0,2.053060293197632,0,0,0,0,0,0
0,0,3.4607841968536377,0,0,0,0,0,0
0,0,2.1840410232543945,0,0,0,0,0,0
0,0,4.446263790130615,0,0,0,0,0,0
