D_clean,D_fake,D_noisy
-194.35084533691406,-197.94752502441406,-373.4620056152344
-261.86016845703125,-283.12762451171875,-752.6821899414062
-185.19956970214844,-279.4407958984375,-1201.1058349609375
-352.70379638671875,-333.33160400390625,-473.3809509277344
-225.83006286621094,-240.40028381347656,-412.83697509765625
-283.8193664550781,-329.3258056640625,-836.0702514648438
-466.69805908203125,-490.2950134277344,-1414.828369140625
-360.7922668457031,-335.7682800292969,-408.94134521484375
-246.5314483642578,-225.521728515625,-339.23309326171875
-219.710693359375,-260.90655517578125,-709.280517578125
-291.9322814941406,-363.9534912109375,-1439.738525390625
-339.54180908203125,-305.40350341796875,-388.4915771484375
-447.889404296875,-403.8956298828125,-605.96484375
-456.2304992675781,-414.5924072265625,-731.629638671875
-241.39002990722656,-340.392333984375,-1280.4259033203125
-352.5869140625,-333.1643981933594,-449.56451416015625
-456.8994140625,-416.54510498046875,-762.2450561523438
-446.4808349609375,-427.1781005859375,-933.3301391601562
-196.2730255126953,-271.8941955566406,-1154.455810546875
-208.1305694580078,-199.5528106689453,-301.5984802246094
-237.3455352783203,-237.88584899902344,-480.59124755859375
-312.95489501953125,-305.45721435546875,-649.5507202148438
-362.9397277832031,-407.2187194824219,-1228.260986328125
-181.30873107910156,-191.05516052246094,-243.10035705566406
-351.5267028808594,-332.91363525390625,-564.3189086914062
-423.03857421875,-410.49969482421875,-932.5127563476562
-223.6826934814453,-312.79998779296875,-1345.655517578125
-347.3748474121094,-299.3636169433594,-434.7113342285156
-265.71533203125,-267.60687255859375,-402.5597839355469
-231.50450134277344,-263.15826416015625,-722.26953125
-169.10487365722656,-251.48887634277344,-987.2446899414062
-396.64385986328125,-356.440185546875,-430.587646484375
-421.8544921875,-387.5147399902344,-559.3195190429688
-214.51271057128906,-238.573974609375,-603.4603881835938
-475.3585205078125,-473.6236267089844,-1238.2010498046875
-210.146728515625,-191.8671875,-285.4521789550781
-205.51992797851562,-187.5072021484375,-376.1888427734375
-187.10975646972656,-216.2257537841797,-745.9603271484375
-519.6753540039062,-499.60150146484375,-1372.567626953125
-349.01141357421875,-322.37982177734375,-397.160400390625
-244.4026336669922,-249.86253356933594,-570.1184692382812
-221.9781951904297,-266.1255798339844,-745.8038330078125
-271.19384765625,-337.86572265625,-1131.6011962890625
-242.14524841308594,-263.390625,-362.92742919921875
-251.9771728515625,-251.9940185546875,-394.5859680175781
-315.418701171875,-308.0513000488281,-450.25201416015625
-290.01995849609375,-331.8202819824219,-1004.96044921875
-351.578857421875,-320.7867431640625,-443.60076904296875
-191.8788299560547,-187.07688903808594,-331.8280029296875
-267.51348876953125,-270.34600830078125,-574.6161499023438
-163.2891082763672,-234.28001403808594,-787.3709716796875
-245.0673065185547,-263.1402893066406,-351.87567138671875
-189.3665771484375,-218.51478576660156,-376.09149169921875
-233.5297088623047,-262.6745300292969,-742.2344360351562
-200.17263793945312,-238.27195739746094,-914.4627075195312
-262.04559326171875,-242.31822204589844,-387.08935546875
-217.09913635253906,-197.1820068359375,-549.5423583984375
-354.88616943359375,-314.8713073730469,-1003.8992919921875
-431.2191162109375,-382.66265869140625,-1213.1226806640625
-204.2061004638672,-195.84774780273438,-299.21710205078125
-334.4219970703125,-315.12249755859375,-534.0968627929688
-407.8499755859375,-330.05255126953125,-712.2534790039062
-307.75335693359375,-337.0849609375,-1231.7908935546875
