"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.1.norm.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.1.norm.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.1.norm.bias_norm__MAX"
"51","","","","","","","","","","","","","1166","1166","1166","0.10083411633968353","0.10083411633968353","0.10083411633968353"
"52","","","","","","","","","","","","","1189","1189","1189","0.10138755291700363","0.10138755291700363","0.10138755291700363"
"53","","","","","","","","","","","","","1211","1211","1211","0.10186002403497696","0.10186002403497696","0.10186002403497696"
"54","","","","","","","","","","","","","1234","1234","1234","0.10305023938417435","0.10305023938417435","0.10305023938417435"
"55","","","","","","","","","","","","","1256","1256","1256","0.10236506164073944","0.10236506164073944","0.10236506164073944"
"56","","","","","","","","","","","","","1279","1279","1279","0.10345934331417084","0.10345934331417084","0.10345934331417084"
"57","","","","","","","","","","","","","1301","1301","1301","0.10299992561340332","0.10299992561340332","0.10299992561340332"
"58","","","","","","","","","","","","","1324","1324","1324","0.10281136631965637","0.10281136631965637","0.10281136631965637"
"59","","","","","","","","","","","","","1346","1346","1346","0.10290086269378662","0.10290086269378662","0.10290086269378662"
"60","","","","","","","","","","","","","1369","1369","1369","0.10463135689496994","0.10463135689496994","0.10463135689496994"
"61","","","","","","","","","","","","","1391","1391","1391","0.10467823594808578","0.10467823594808578","0.10467823594808578"
"62","","","","","","","","","","","","","1413","1413","1413","0.1055261492729187","0.1055261492729187","0.1055261492729187"
"63","","","","","","","","","","","","","1436","1436","1436","0.10518600046634674","0.10518600046634674","0.10518600046634674"
"64","","","","","","","","","","","","","1458","1458","1458","0.10666143894195557","0.10666143894195557","0.10666143894195557"
"65","","","","","","","","","","","","","1481","1481","1481","0.1079489141702652","0.1079489141702652","0.1079489141702652"
"66","","","","","","","","","","","","","1503","1503","1503","0.10817106068134308","0.10817106068134308","0.10817106068134308"
"67","","","","","","","","","","","","","1526","1526","1526","0.1081881895661354","0.1081881895661354","0.1081881895661354"
"68","","","","","","","","","","","","","1548","1548","1548","0.10876115411520004","0.10876115411520004","0.10876115411520004"
"69","","","","","","","","","","","","","1571","1571","1571","0.10849058628082275","0.10849058628082275","0.10849058628082275"
"70","","","","","","","","","","","","","1593","1593","1593","0.11048031598329544","0.11048031598329544","0.11048031598329544"
"71","","","","","","","","","","","","","1616","1616","1616","0.11033937335014343","0.11033937335014343","0.11033937335014343"
"72","","","","","","","","","","","","","1638","1638","1638","0.11189315468072891","0.11189315468072891","0.11189315468072891"
"73","","","","","","","","","","","","","1661","1661","1661","0.11227113753557205","0.11227113753557205","0.11227113753557205"
"74","","","","","","","","","","","","","1683","1683","1683","0.11232978850603104","0.11232978850603104","0.11232978850603104"
"75","","","","","","","","","","","","","1705","1705","1705","0.11309559643268585","0.11309559643268585","0.11309559643268585"
"76","","","","","","","","","","","","","1728","1728","1728","0.11380850523710251","0.11380850523710251","0.11380850523710251"
"77","","","","","","","","","","","","","1750","1750","1750","0.11352904886007309","0.11352904886007309","0.11352904886007309"
"78","","","","","","","","","","","","","1773","1773","1773","0.11490584164857864","0.11490584164857864","0.11490584164857864"
"79","","","","","","","","","","","","","1795","1795","1795","0.11721479147672653","0.11721479147672653","0.11721479147672653"
"80","","","","","","","","","","","","","1818","1818","1818","0.11770114302635193","0.11770114302635193","0.11770114302635193"
"81","","","","","","","","","","","","","1840","1840","1840","0.11812810599803925","0.11812810599803925","0.11812810599803925"
"82","","","","","","","","","","","","","1863","1863","1863","0.11931265890598297","0.11931265890598297","0.11931265890598297"
"83","","","","","","","","","","","","","1885","1885","1885","0.11937882751226425","0.11937882751226425","0.11937882751226425"
"84","","","","","","","","","","","","","1908","1908","1908","0.12014339864253998","0.12014339864253998","0.12014339864253998"
"85","","","","","","","","","","","","","1930","1930","1930","0.1217891201376915","0.1217891201376915","0.1217891201376915"
"86","","","","","","","","","","","","","1953","1953","1953","0.12265891581773758","0.12265891581773758","0.12265891581773758"
"87","","","","","","","","","","","","","1975","1975","1975","0.12275346368551254","0.12275346368551254","0.12275346368551254"
"88","","","","","","","","","","","","","1997","1997","1997","0.12282680720090866","0.12282680720090866","0.12282680720090866"
"89","","","","","","","","","","","","","2020","2020","2020","0.123359315097332","0.123359315097332","0.123359315097332"
"90","","","","","","","","","","","","","2042","2042","2042","0.12460225820541382","0.12460225820541382","0.12460225820541382"
"91","","","","","","","","","","","","","2065","2065","2065","0.12571048736572266","0.12571048736572266","0.12571048736572266"
"92","","","","","","","","","","","","","2087","2087","2087","0.1282867193222046","0.1282867193222046","0.1282867193222046"
"93","","","","","","","","","","","","","2110","2110","2110","0.1300235390663147","0.1300235390663147","0.1300235390663147"
"94","","","","","","","","","","","","","2132","2132","2132","0.12994436919689178","0.12994436919689178","0.12994436919689178"
"95","","","","","","","","","","","","","2155","2155","2155","0.131149023771286","0.131149023771286","0.131149023771286"
"96","","","","","","","","","","","","","2177","2177","2177","0.13172505795955658","0.13172505795955658","0.13172505795955658"
"97","","","","","","","","","","","","","2200","2200","2200","0.13221579790115356","0.13221579790115356","0.13221579790115356"
"98","","","","","","","","","","","","","2222","2222","2222","0.1322445422410965","0.1322445422410965","0.1322445422410965"
"99","","","","","","","","","","","","","2245","2245","2245","0.1315392255783081","0.1315392255783081","0.1315392255783081"
"100","","","","","","","","","","","","","2267","2267","2267","0.13210265338420868","0.13210265338420868","0.13210265338420868"
"101","","","","","","","","","","","","","2289","2289","2289","0.13193002343177795","0.13193002343177795","0.13193002343177795"
"102","","","","","","","","","","","","","2312","2312","2312","0.13314305245876312","0.13314305245876312","0.13314305245876312"
"103","","","","","","","","","","","","","2334","2334","2334","0.13393034040927887","0.13393034040927887","0.13393034040927887"
"104","","","","","","","","","","","","","2357","2357","2357","0.13437259197235107","0.13437259197235107","0.13437259197235107"
"105","","","","","","","","","","","","","2379","2379","2379","0.13589468598365784","0.13589468598365784","0.13589468598365784"
"106","","","","","","","","","","","","","2402","2402","2402","0.13527251780033112","0.13527251780033112","0.13527251780033112"
"107","","","","","","","","","","","","","2424","2424","2424","0.13582119345664978","0.13582119345664978","0.13582119345664978"
"108","","","","","","","","","","","","","2447","2447","2447","0.13665218651294708","0.13665218651294708","0.13665218651294708"
"109","","","","","","","","","","","","","2469","2469","2469","0.13723807036876678","0.13723807036876678","0.13723807036876678"
"110","","","","","","","","","","","","","2492","2492","2492","0.13657835125923157","0.13657835125923157","0.13657835125923157"
"111","","","","","","","","","","","","","2514","2514","2514","0.13879859447479248","0.13879859447479248","0.13879859447479248"
"112","","","","","","","","","","","","","2536","2536","2536","0.13838274776935577","0.13838274776935577","0.13838274776935577"
"113","","","","","","","","","","","","","2559","2559","2559","0.13828758895397186","0.13828758895397186","0.13828758895397186"
"114","","","","","","","","","","","","","2581","2581","2581","0.13786637783050537","0.13786637783050537","0.13786637783050537"
"115","","","","","","","","","","","","","2604","2604","2604","0.1390720158815384","0.1390720158815384","0.1390720158815384"
"116","","","","","","","","","","","","","2626","2626","2626","0.14009256660938263","0.14009256660938263","0.14009256660938263"
"117","","","","","","","","","","","","","2649","2649","2649","0.14026474952697754","0.14026474952697754","0.14026474952697754"
"118","","","","","","","","","","","","","2671","2671","2671","0.13935606181621552","0.13935606181621552","0.13935606181621552"
"119","","","","","","","","","","","","","2694","2694","2694","0.13890419900417328","0.13890419900417328","0.13890419900417328"
"120","","","","","","","","","","","","","2716","2716","2716","0.14000196754932404","0.14000196754932404","0.14000196754932404"
"121","","","","","","","","","","","","","2739","2739","2739","0.140593022108078","0.140593022108078","0.140593022108078"
"122","","","","","","","","","","","","","2761","2761","2761","0.14178842306137085","0.14178842306137085","0.14178842306137085"
"123","","","","","","","","","","","","","2784","2784","2784","0.14215610921382904","0.14215610921382904","0.14215610921382904"
"124","","","","","","","","","","","","","2806","2806","2806","0.14190754294395447","0.14190754294395447","0.14190754294395447"
"125","","","","","","","","","","","","","2828","2828","2828","0.14206655323505402","0.14206655323505402","0.14206655323505402"
"126","","","","","","","","","","","","","2851","2851","2851","0.14360006153583527","0.14360006153583527","0.14360006153583527"
"127","","","","","","","","","","","","","2873","2873","2873","0.14310556650161743","0.14310556650161743","0.14310556650161743"
"128","","","","","","","","","","","","","2896","2896","2896","0.1433718353509903","0.1433718353509903","0.1433718353509903"
"129","","","","","","","","","","","","","2918","2918","2918","0.14503605663776398","0.14503605663776398","0.14503605663776398"
"130","","","","","","","","","","","","","2941","2941","2941","0.14428026974201202","0.14428026974201202","0.14428026974201202"
"131","","","","","","","","","","","","","2963","2963","2963","0.1446530818939209","0.1446530818939209","0.1446530818939209"
"132","","","","","","","","","","","","","2986","2986","2986","0.14342817664146423","0.14342817664146423","0.14342817664146423"
"133","","","","","","","","","","","","","3008","3008","3008","0.14387360215187073","0.14387360215187073","0.14387360215187073"
"134","","","","","","","","","","","","","3031","3031","3031","0.14648905396461487","0.14648905396461487","0.14648905396461487"
"135","","","","","","","","","","","","","3053","3053","3053","0.14692635834217072","0.14692635834217072","0.14692635834217072"
"136","","","","","","","","","","","","","3076","3076","3076","0.14617334306240082","0.14617334306240082","0.14617334306240082"
"137","","","","","","","","","","","","","3098","3098","3098","0.14533793926239014","0.14533793926239014","0.14533793926239014"
"138","","","","","","","","","","","","","3120","3120","3120","0.14540062844753265","0.14540062844753265","0.14540062844753265"
