"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"53","","","","","","","","","","","","","1211","1211","1211","5.47894287109375","5.47894287109375","5.47894287109375"
"54","","","","","","","","","","","","","1234","1234","1234","5.476800918579102","5.476800918579102","5.476800918579102"
"55","","","","","","","","","","","","","1256","1256","1256","5.4749345779418945","5.4749345779418945","5.4749345779418945"
"56","","","","","","","","","","","","","1279","1279","1279","5.4731669425964355","5.4731669425964355","5.4731669425964355"
"57","","","","","","","","","","","","","1301","1301","1301","5.471124649047852","5.471124649047852","5.471124649047852"
"58","","","","","","","","","","","","","1324","1324","1324","5.469024658203125","5.469024658203125","5.469024658203125"
"59","","","","","","","","","","","","","1346","1346","1346","5.467427730560303","5.467427730560303","5.467427730560303"
"60","","","","","","","","","","","","","1369","1369","1369","5.4663238525390625","5.4663238525390625","5.4663238525390625"
"61","","","","","","","","","","","","","1391","1391","1391","5.465143203735352","5.465143203735352","5.465143203735352"
"62","","","","","","","","","","","","","1413","1413","1413","5.463832855224609","5.463832855224609","5.463832855224609"
"63","","","","","","","","","","","","","1436","1436","1436","5.462729454040527","5.462729454040527","5.462729454040527"
"64","","","","","","","","","","","","","1458","1458","1458","5.461627960205078","5.461627960205078","5.461627960205078"
"65","","","","","","","","","","","","","1481","1481","1481","5.460553169250488","5.460553169250488","5.460553169250488"
"66","","","","","","","","","","","","","1503","1503","1503","5.4596052169799805","5.4596052169799805","5.4596052169799805"
"67","","","","","","","","","","","","","1526","1526","1526","5.458517074584961","5.458517074584961","5.458517074584961"
"68","","","","","","","","","","","","","1548","1548","1548","5.457597255706787","5.457597255706787","5.457597255706787"
"69","","","","","","","","","","","","","1571","1571","1571","5.456757068634033","5.456757068634033","5.456757068634033"
"70","","","","","","","","","","","","","1593","1593","1593","5.455755710601807","5.455755710601807","5.455755710601807"
