"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"203","","","","","","","","","","","","","4580","4580","4580","5.359677791595459","5.359677791595459","5.359677791595459"
"204","","","","","","","","","","","","","4603","4603","4603","5.359198093414307","5.359198093414307","5.359198093414307"
"205","","","","","","","","","","","","","4625","4625","4625","5.358733654022217","5.358733654022217","5.358733654022217"
"206","","","","","","","","","","","","","4648","4648","4648","5.358251571655273","5.358251571655273","5.358251571655273"
"207","","","","","","","","","","","","","4670","4670","4670","5.357608795166016","5.357608795166016","5.357608795166016"
"208","","","","","","","","","","","","","4693","4693","4693","5.356997489929199","5.356997489929199","5.356997489929199"
"209","","","","","","","","","","","","","4715","4715","4715","5.356461048126221","5.356461048126221","5.356461048126221"
"210","","","","","","","","","","","","","4738","4738","4738","5.355982780456543","5.355982780456543","5.355982780456543"
"211","","","","","","","","","","","","","4760","4760","4760","5.3555588722229","5.3555588722229","5.3555588722229"
"212","","","","","","","","","","","","","4782","4782","4782","5.355075359344482","5.355075359344482","5.355075359344482"
"213","","","","","","","","","","","","","4805","4805","4805","5.354407787322998","5.354407787322998","5.354407787322998"
"214","","","","","","","","","","","","","4827","4827","4827","5.353724002838135","5.353724002838135","5.353724002838135"
"215","","","","","","","","","","","","","4850","4850","4850","5.353076934814453","5.353076934814453","5.353076934814453"
"216","","","","","","","","","","","","","4872","4872","4872","5.352488994598389","5.352488994598389","5.352488994598389"
"217","","","","","","","","","","","","","4895","4895","4895","5.350957870483398","5.350957870483398","5.350957870483398"
"218","","","","","","","","","","","","","4917","4917","4917","5.349127769470215","5.349127769470215","5.349127769470215"
"219","","","","","","","","","","","","","4940","4940","4940","5.3482584953308105","5.3482584953308105","5.3482584953308105"
"220","","","","","","","","","","","","","4962","4962","4962","5.347409248352051","5.347409248352051","5.347409248352051"
"221","","","","","","","","","","","","","4985","4985","4985","5.346961498260498","5.346961498260498","5.346961498260498"
"222","","","","","","","","","","","","","5007","5007","5007","5.346562385559082","5.346562385559082","5.346562385559082"
"223","","","","","","","","","","","","","5030","5030","5030","5.345797538757324","5.345797538757324","5.345797538757324"
"224","","","","","","","","","","","","","5052","5052","5052","5.345139026641846","5.345139026641846","5.345139026641846"
"225","","","","","","","","","","","","","5074","5074","5074","5.34482479095459","5.34482479095459","5.34482479095459"
"226","","","","","","","","","","","","","5097","5097","5097","5.344306945800781","5.344306945800781","5.344306945800781"
"227","","","","","","","","","","","","","5119","5119","5119","5.3439531326293945","5.3439531326293945","5.3439531326293945"
"228","","","","","","","","","","","","","5142","5142","5142","5.343559265136719","5.343559265136719","5.343559265136719"
"229","","","","","","","","","","","","","5164","5164","5164","5.3432440757751465","5.3432440757751465","5.3432440757751465"
"230","","","","","","","","","","","","","5187","5187","5187","5.34277868270874","5.34277868270874","5.34277868270874"
"231","","","","","","","","","","","","","5209","5209","5209","5.342394828796387","5.342394828796387","5.342394828796387"
"232","","","","","","","","","","","","","5232","5232","5232","5.341902256011963","5.341902256011963","5.341902256011963"
"233","","","","","","","","","","","","","5254","5254","5254","5.341582775115967","5.341582775115967","5.341582775115967"
"234","","","","","","","","","","","","","5277","5277","5277","5.3410964012146","5.3410964012146","5.3410964012146"
"235","","","","","","","","","","","","","5299","5299","5299","5.340578079223633","5.340578079223633","5.340578079223633"
"236","","","","","","","","","","","","","5322","5322","5322","5.340179443359375","5.340179443359375","5.340179443359375"
"237","","","","","","","","","","","","","5344","5344","5344","5.339867115020752","5.339867115020752","5.339867115020752"
"238","","","","","","","","","","","","","5366","5366","5366","5.339448928833008","5.339448928833008","5.339448928833008"
"239","","","","","","","","","","","","","5389","5389","5389","5.339100360870361","5.339100360870361","5.339100360870361"
"240","","","","","","","","","","","","","5411","5411","5411","5.338720798492432","5.338720798492432","5.338720798492432"
"241","","","","","","","","","","","","","5434","5434","5434","5.338328838348389","5.338328838348389","5.338328838348389"
"242","","","","","","","","","","","","","5456","5456","5456","5.337982654571533","5.337982654571533","5.337982654571533"
"243","","","","","","","","","","","","","5479","5479","5479","5.337561130523682","5.337561130523682","5.337561130523682"
"244","","","","","","","","","","","","","5501","5501","5501","5.337141036987305","5.337141036987305","5.337141036987305"
"245","","","","","","","","","","","","","5524","5524","5524","5.335943222045898","5.335943222045898","5.335943222045898"
"246","","","","","","","","","","","","","5546","5546","5546","5.334628582000732","5.334628582000732","5.334628582000732"
"247","","","","","","","","","","","","","5569","5569","5569","5.334294319152832","5.334294319152832","5.334294319152832"
"248","","","","","","","","","","","","","5591","5591","5591","5.3338623046875","5.3338623046875","5.3338623046875"
"249","","","","","","","","","","","","","5614","5614","5614","5.333516597747803","5.333516597747803","5.333516597747803"
"250","","","","","","","7","7","7","5.333194255828857","5.333194255828857","5.333194255828857","5636","5636","5636","5.332919597625732","5.332919597625732","5.332919597625732"
"251","","","","","","","9","9","9","5.332779884338379","5.332779884338379","5.332779884338379","5658","5658","5658","5.332467079162598","5.332467079162598","5.332467079162598"
"252","","","","","","","11","11","11","5.3325629234313965","5.3325629234313965","5.3325629234313965","","","","","",""
"253","","","","","","","13","13","13","5.332428932189941","5.332428932189941","5.332428932189941","","","","","",""
"254","","","","","","","21","21","21","5.332294940948486","5.332294940948486","5.332294940948486","","","","","",""
"255","","","","","","","23","23","23","5.332143783569336","5.332143783569336","5.332143783569336","","","","","",""
"256","","","","","","","31","31","31","5.331986904144287","5.331986904144287","5.331986904144287","","","","","",""
"257","","","","","","","39","39","39","5.3318095207214355","5.3318095207214355","5.3318095207214355","","","","","",""
"258","","","","","","","41","41","41","5.331676959991455","5.331676959991455","5.331676959991455","","","","","",""
"259","","","","","","","49","49","49","5.331396102905273","5.331396102905273","5.331396102905273","","","","","",""
"260","","","","","","","51","51","51","5.3311686515808105","5.3311686515808105","5.3311686515808105","","","","","",""
"261","","","","","","","59","59","59","5.331019401550293","5.331019401550293","5.331019401550293","","","","","",""
"262","","","","","","","67","67","67","5.330817222595215","5.330817222595215","5.330817222595215","","","","","",""
"263","","","","","","","75","75","75","5.330641269683838","5.330641269683838","5.330641269683838","","","","","",""
"264","","","","","","","77","77","77","5.330461502075195","5.330461502075195","5.330461502075195","","","","","",""
"265","","","","","","","79","79","79","5.330265522003174","5.330265522003174","5.330265522003174","","","","","",""
"266","","","","","","","87","87","87","5.33009147644043","5.33009147644043","5.33009147644043","","","","","",""
"267","","","","","","","89","89","89","5.329862117767334","5.329862117767334","5.329862117767334","","","","","",""
"268","","","","","","","97","97","97","5.32968807220459","5.32968807220459","5.32968807220459","","","","","",""
"269","","","","","","","105","105","105","5.329216480255127","5.329216480255127","5.329216480255127","","","","","",""
"270","","","","","","","113","113","113","5.328842639923096","5.328842639923096","5.328842639923096","","","","","",""
"271","","","","","","","121","121","121","5.328671455383301","5.328671455383301","5.328671455383301","","","","","",""
"272","","","","","","","123","123","123","5.3284525871276855","5.3284525871276855","5.3284525871276855","","","","","",""
"273","","","","","","","125","125","125","5.328263759613037","5.328263759613037","5.328263759613037","","","","","",""
"274","","","","","","","127","127","127","5.3281073570251465","5.3281073570251465","5.3281073570251465","","","","","",""
"275","","","","","","","129","129","129","5.3278913497924805","5.3278913497924805","5.3278913497924805","","","","","",""
"276","","","","","","","131","131","131","5.327635288238525","5.327635288238525","5.327635288238525","","","","","",""
"277","","","","","","","133","133","133","5.327431678771973","5.327431678771973","5.327431678771973","","","","","",""
"278","","","","","","","141","141","141","5.3273024559021","5.3273024559021","5.3273024559021","","","","","",""
"279","","","","","","","143","143","143","5.327077388763428","5.327077388763428","5.327077388763428","","","","","",""
"280","","","","","","","151","151","151","5.32688570022583","5.32688570022583","5.32688570022583","","","","","",""
"281","","","","","","","159","159","159","5.3267083168029785","5.3267083168029785","5.3267083168029785","","","","","",""
"282","","","","","","","161","161","161","5.3265485763549805","5.3265485763549805","5.3265485763549805","","","","","",""
"283","","","","","","","169","169","169","5.326381683349609","5.326381683349609","5.326381683349609","","","","","",""
"284","","","","","","","177","177","177","5.326174259185791","5.326174259185791","5.326174259185791","","","","","",""
"285","","","","","","","179","179","179","5.32598352432251","5.32598352432251","5.32598352432251","","","","","",""
"286","","","","","","","181","181","181","5.3257646560668945","5.3257646560668945","5.3257646560668945","","","","","",""
"287","","","","","","","183","183","183","5.325559616088867","5.325559616088867","5.325559616088867","","","","","",""
"288","","","","","","","185","185","185","5.32541561126709","5.32541561126709","5.32541561126709","","","","","",""
"289","","","","","","","193","193","193","5.325272083282471","5.325272083282471","5.325272083282471","","","","","",""
"290","","","","","","","195","195","195","5.325005054473877","5.325005054473877","5.325005054473877","","","","","",""
"291","","","","","","","197","197","197","5.324828624725342","5.324828624725342","5.324828624725342","","","","","",""
"292","","","","","","","205","205","205","5.324600696563721","5.324600696563721","5.324600696563721","","","","","",""
"293","","","","","","","213","213","213","5.324403762817383","5.324403762817383","5.324403762817383","","","","","",""
"294","","","","","","","215","215","215","5.324261665344238","5.324261665344238","5.324261665344238","","","","","",""
"295","","","","","","","217","217","217","5.324109077453613","5.324109077453613","5.324109077453613","","","","","",""
"296","","","","","","","219","219","219","5.32393217086792","5.32393217086792","5.32393217086792","","","","","",""
"297","","","","","","","221","221","221","5.32368803024292","5.32368803024292","5.32368803024292","","","","","",""
"298","","","","","","","223","223","223","5.323424339294434","5.323424339294434","5.323424339294434","","","","","",""
"299","","","","","","","231","231","231","5.323201656341553","5.323201656341553","5.323201656341553","","","","","",""
"300","","","","","","","239","239","239","5.3230299949646","5.3230299949646","5.3230299949646","","","","","",""
"301","","","","","","","247","247","247","5.322854518890381","5.322854518890381","5.322854518890381","","","","","",""
"302","","","","","","","255","255","255","5.322668552398682","5.322668552398682","5.322668552398682","","","","","",""
"303","","","","","","","257","257","257","5.322392463684082","5.322392463684082","5.322392463684082","","","","","",""
"304","","","","","","","265","265","265","5.3221025466918945","5.3221025466918945","5.3221025466918945","","","","","",""
"305","","","","","","","267","267","267","5.321953296661377","5.321953296661377","5.321953296661377","","","","","",""
"306","","","","","","","275","275","275","5.3217010498046875","5.3217010498046875","5.3217010498046875","","","","","",""
"307","","","","","","","277","277","277","5.321534633636475","5.321534633636475","5.321534633636475","","","","","",""
"308","","","","","","","279","279","279","5.3211870193481445","5.3211870193481445","5.3211870193481445","","","","","",""
"309","","","","","","","287","287","287","5.320899963378906","5.320899963378906","5.320899963378906","","","","","",""
"310","","","","","","","295","295","295","5.320625305175781","5.320625305175781","5.320625305175781","","","","","",""
"311","","","","","","","303","303","303","5.320278167724609","5.320278167724609","5.320278167724609","","","","","",""
"312","","","","","","","311","311","311","5.320136547088623","5.320136547088623","5.320136547088623","","","","","",""
"313","","","","","","","313","313","313","5.319946765899658","5.319946765899658","5.319946765899658","","","","","",""
"314","","","","","","","315","315","315","5.319701671600342","5.319701671600342","5.319701671600342","","","","","",""
"315","","","","","","","323","323","323","5.3194780349731445","5.3194780349731445","5.3194780349731445","","","","","",""
"316","","","","","","","331","331","331","5.319149017333984","5.319149017333984","5.319149017333984","","","","","",""
"317","","","","","","","339","339","339","5.3186469078063965","5.3186469078063965","5.3186469078063965","","","","","",""
"318","","","","","","","341","341","341","5.31765079498291","5.31765079498291","5.31765079498291","","","","","",""
"319","","","","","","","343","343","343","5.316445350646973","5.316445350646973","5.316445350646973","","","","","",""
"320","","","","","","","351","351","351","5.315157890319824","5.315157890319824","5.315157890319824","","","","","",""
"321","","","","","","","359","359","359","5.314495086669922","5.314495086669922","5.314495086669922","","","","","",""
"322","","","","","","","361","361","361","5.314073085784912","5.314073085784912","5.314073085784912","","","","","",""
"323","","","","","","","369","369","369","5.313822269439697","5.313822269439697","5.313822269439697","","","","","",""
"324","","","","","","","371","371","371","5.31364107131958","5.31364107131958","5.31364107131958","","","","","",""
"325","","","","","","","379","379","379","5.313562393188477","5.313562393188477","5.313562393188477","","","","","",""
"326","","","","","","","387","387","387","5.313457489013672","5.313457489013672","5.313457489013672","","","","","",""
"327","","","","","","","395","395","395","5.313311576843262","5.313311576843262","5.313311576843262","","","","","",""
"328","","","","","","","403","403","403","5.313149929046631","5.313149929046631","5.313149929046631","","","","","",""
"329","","","","","","","411","411","411","5.3130011558532715","5.3130011558532715","5.3130011558532715","","","","","",""
"330","","","","","","","413","413","413","5.312882423400879","5.312882423400879","5.312882423400879","","","","","",""
"331","","","","","","","421","421","421","5.312762260437012","5.312762260437012","5.312762260437012","","","","","",""
"332","","","","","","","423","423","423","5.312569618225098","5.312569618225098","5.312569618225098","","","","","",""
"333","","","","","","","425","425","425","5.312442779541016","5.312442779541016","5.312442779541016","","","","","",""
"334","","","","","","","427","427","427","5.312276840209961","5.312276840209961","5.312276840209961","","","","","",""
"335","","","","","","","435","435","435","5.312146186828613","5.312146186828613","5.312146186828613","","","","","",""
"336","","","","","","","437","437","437","5.311976432800293","5.311976432800293","5.311976432800293","","","","","",""
"337","","","","","","","445","445","445","5.311892986297607","5.311892986297607","5.311892986297607","","","","","",""
"338","","","","","","","453","453","453","5.311759948730469","5.311759948730469","5.311759948730469","","","","","",""
"339","","","","","","","461","461","461","5.311652660369873","5.311652660369873","5.311652660369873","","","","","",""
"340","","","","","","","463","463","463","5.31148624420166","5.31148624420166","5.31148624420166","","","","","",""
"341","","","","","","","471","471","471","5.311418533325195","5.311418533325195","5.311418533325195","","","","","",""
"342","","","","","","","479","479","479","5.311273097991943","5.311273097991943","5.311273097991943","","","","","",""
"343","","","","","","","481","481","481","5.311047077178955","5.311047077178955","5.311047077178955","","","","","",""
"344","","","","","","","489","489","489","5.310892105102539","5.310892105102539","5.310892105102539","","","","","",""
"345","","","","","","","497","497","497","5.310757637023926","5.310757637023926","5.310757637023926","","","","","",""
"346","","","","","","","499","499","499","5.310545921325684","5.310545921325684","5.310545921325684","","","","","",""
"347","","","","","","","507","507","507","5.310363292694092","5.310363292694092","5.310363292694092","","","","","",""
"348","","","","","","","515","515","515","5.310242652893066","5.310242652893066","5.310242652893066","","","","","",""
"349","","","","","","","517","517","517","5.310090065002441","5.310090065002441","5.310090065002441","","","","","",""
"350","","","","","","","519","519","519","5.309928894042969","5.309928894042969","5.309928894042969","","","","","",""
"351","","","","","","","521","521","521","5.30972146987915","5.30972146987915","5.30972146987915","","","","","",""
"352","","","","","","","523","523","523","5.309630393981934","5.309630393981934","5.309630393981934","","","","","",""
"353","","","","","","","531","531","531","5.309365749359131","5.309365749359131","5.309365749359131","","","","","",""
"354","","","","","","","533","533","533","5.309246063232422","5.309246063232422","5.309246063232422","","","","","",""
"355","","","","","","","535","535","535","5.309045314788818","5.309045314788818","5.309045314788818","","","","","",""
"356","","","","","","","543","543","543","5.308829307556152","5.308829307556152","5.308829307556152","","","","","",""
"357","","","","","","","545","545","545","5.308595180511475","5.308595180511475","5.308595180511475","","","","","",""
"358","","","","","","","553","553","553","5.308285236358643","5.308285236358643","5.308285236358643","","","","","",""
"359","","","","","","","561","561","561","5.308089733123779","5.308089733123779","5.308089733123779","","","","","",""
"360","","","","","","","569","569","569","5.307893753051758","5.307893753051758","5.307893753051758","","","","","",""
"361","","","","","","","571","571","571","5.307738780975342","5.307738780975342","5.307738780975342","","","","","",""
"362","","","","","","","579","579","579","5.307530879974365","5.307530879974365","5.307530879974365","","","","","",""
"363","","","","","","","581","581","581","5.307383060455322","5.307383060455322","5.307383060455322","","","","","",""
"364","","","","","","","589","589","589","5.30720853805542","5.30720853805542","5.30720853805542","","","","","",""
"365","","","","","","","597","597","597","5.307050704956055","5.307050704956055","5.307050704956055","","","","","",""
"366","","","","","","","605","605","605","5.3067851066589355","5.3067851066589355","5.3067851066589355","","","","","",""
"367","","","","","","","607","607","607","5.306562423706055","5.306562423706055","5.306562423706055","","","","","",""
"368","","","","","","","615","615","615","5.306479454040527","5.306479454040527","5.306479454040527","","","","","",""
"369","","","","","","","623","623","623","5.306280136108398","5.306280136108398","5.306280136108398","","","","","",""
"370","","","","","","","631","631","631","5.306028842926025","5.306028842926025","5.306028842926025","","","","","",""
"371","","","","","","","639","639","639","5.305812835693359","5.305812835693359","5.305812835693359","","","","","",""
"372","","","","","","","647","647","647","5.305683612823486","5.305683612823486","5.305683612823486","","","","","",""
"373","","","","","","","649","649","649","5.305458068847656","5.305458068847656","5.305458068847656","","","","","",""
"374","","","","","","","657","657","657","5.30526876449585","5.30526876449585","5.30526876449585","","","","","",""
"375","","","","","","","659","659","659","5.305105686187744","5.305105686187744","5.305105686187744","","","","","",""
"376","","","","","","","667","667","667","5.3049540519714355","5.3049540519714355","5.3049540519714355","","","","","",""
"377","","","","","","","675","675","675","5.304769992828369","5.304769992828369","5.304769992828369","","","","","",""
"378","","","","","","","677","677","677","5.304638862609863","5.304638862609863","5.304638862609863","","","","","",""
"379","","","","","","","679","679","679","5.304378509521484","5.304378509521484","5.304378509521484","","","","","",""
"380","","","","","","","687","687","687","5.30418062210083","5.30418062210083","5.30418062210083","","","","","",""
"381","","","","","","","695","695","695","5.303813934326172","5.303813934326172","5.303813934326172","","","","","",""
"382","","","","","","","703","703","703","5.303614616394043","5.303614616394043","5.303614616394043","","","","","",""
"383","","","","","","","705","705","705","5.303417205810547","5.303417205810547","5.303417205810547","","","","","",""
"384","","","","","","","707","707","707","5.303266525268555","5.303266525268555","5.303266525268555","","","","","",""
"385","","","","","","","715","715","715","5.303069591522217","5.303069591522217","5.303069591522217","","","","","",""
"386","","","","","","","717","717","717","5.302802085876465","5.302802085876465","5.302802085876465","","","","","",""
"387","","","","","","","719","719","719","5.302607536315918","5.302607536315918","5.302607536315918","","","","","",""
"388","","","","","","","721","721","721","5.302370071411133","5.302370071411133","5.302370071411133","","","","","",""
"389","","","","","","","723","723","723","5.302255630493164","5.302255630493164","5.302255630493164","","","","","",""
"390","","","","","","","725","725","725","5.302173614501953","5.302173614501953","5.302173614501953","","","","","",""
"391","","","","","","","733","733","733","5.301915168762207","5.301915168762207","5.301915168762207","","","","","",""
"392","","","","","","","735","735","735","5.301746368408203","5.301746368408203","5.301746368408203","","","","","",""
"393","","","","","","","743","743","743","5.301504135131836","5.301504135131836","5.301504135131836","","","","","",""
"394","","","","","","","745","745","745","5.301227569580078","5.301227569580078","5.301227569580078","","","","","",""
"395","","","","","","","747","747","747","5.30105447769165","5.30105447769165","5.30105447769165","","","","","",""
"396","","","","","","","749","749","749","5.300904273986816","5.300904273986816","5.300904273986816","","","","","",""
"397","","","","","","","757","757","757","5.300650596618652","5.300650596618652","5.300650596618652","","","","","",""
"398","","","","","","","765","765","765","5.300528526306152","5.300528526306152","5.300528526306152","","","","","",""
"399","","","","","","","773","773","773","5.300243854522705","5.300243854522705","5.300243854522705","","","","","",""
"400","","","","","","","775","775","775","5.300066947937012","5.300066947937012","5.300066947937012","","","","","",""
"401","","","","","","","777","777","777","5.299780368804932","5.299780368804932","5.299780368804932","","","","","",""
"402","","","","","","","785","785","785","5.299587249755859","5.299587249755859","5.299587249755859","","","","","",""
"403","","","","","","","793","793","793","5.299373626708984","5.299373626708984","5.299373626708984","","","","","",""
"404","","","","","","","795","795","795","5.299257755279541","5.299257755279541","5.299257755279541","","","","","",""
"405","","","","","","","803","803","803","5.299122333526611","5.299122333526611","5.299122333526611","","","","","",""
"406","","","","","","","805","805","805","5.298974990844727","5.298974990844727","5.298974990844727","","","","","",""
"407","","","","","","","807","807","807","5.298673629760742","5.298673629760742","5.298673629760742","","","","","",""
"408","","","","","","","815","815","815","5.298429489135742","5.298429489135742","5.298429489135742","","","","","",""
"409","","","","","","","817","817","817","5.298228740692139","5.298228740692139","5.298228740692139","","","","","",""
"410","","","","","","","819","819","819","5.297922611236572","5.297922611236572","5.297922611236572","","","","","",""
"411","","","","","","","821","821","821","5.297691345214844","5.297691345214844","5.297691345214844","","","","","",""
"412","","","","","","","823","823","823","5.297304153442383","5.297304153442383","5.297304153442383","","","","","",""
"413","","","","","","","825","825","825","5.296906471252441","5.296906471252441","5.296906471252441","","","","","",""
"414","","","","","","","827","827","827","5.296609878540039","5.296609878540039","5.296609878540039","","","","","",""
"415","","","","","","","829","829","829","5.296267986297607","5.296267986297607","5.296267986297607","","","","","",""
"416","","","","","","","837","837","837","5.295799732208252","5.295799732208252","5.295799732208252","","","","","",""
"417","","","","","","","845","845","845","5.295510292053223","5.295510292053223","5.295510292053223","","","","","",""
"418","","","","","","","847","847","847","5.295312404632568","5.295312404632568","5.295312404632568","","","","","",""
"419","","","","","","","849","849","849","5.29516077041626","5.29516077041626","5.29516077041626","","","","","",""
"420","","","","","","","851","851","851","5.295043468475342","5.295043468475342","5.295043468475342","","","","","",""
"421","","","","","","","853","853","853","5.294845104217529","5.294845104217529","5.294845104217529","","","","","",""
"422","","","","","","","861","861","861","5.294788837432861","5.294788837432861","5.294788837432861","","","","","",""
"423","","","","","","","869","869","869","5.294629096984863","5.294629096984863","5.294629096984863","","","","","",""
"424","","","","","","","871","871","871","5.294412612915039","5.294412612915039","5.294412612915039","","","","","",""
"425","","","","","","","873","873","873","5.294349193572998","5.294349193572998","5.294349193572998","","","","","",""
"426","","","","","","","881","881","881","5.294168472290039","5.294168472290039","5.294168472290039","","","","","",""
"427","","","","","","","889","889","889","5.293968200683594","5.293968200683594","5.293968200683594","","","","","",""
"428","","","","","","","897","897","897","5.2937774658203125","5.2937774658203125","5.2937774658203125","","","","","",""
"429","","","","","","","899","899","899","5.2935471534729","5.2935471534729","5.2935471534729","","","","","",""
"430","","","","","","","901","901","901","5.293412685394287","5.293412685394287","5.293412685394287","","","","","",""
"431","","","","","","","903","903","903","5.293271064758301","5.293271064758301","5.293271064758301","","","","","",""
"432","","","","","","","905","905","905","5.293134689331055","5.293134689331055","5.293134689331055","","","","","",""
"433","","","","","","","907","907","907","5.292984485626221","5.292984485626221","5.292984485626221","","","","","",""
"434","","","","","","","915","915","915","5.292854309082031","5.292854309082031","5.292854309082031","","","","","",""
"435","","","","","","","923","923","923","5.29250955581665","5.29250955581665","5.29250955581665","","","","","",""
"436","","","","","","","931","931","931","5.292159080505371","5.292159080505371","5.292159080505371","","","","","",""
"437","","","","","","","933","933","933","5.2913312911987305","5.2913312911987305","5.2913312911987305","","","","","",""
"438","","","","","","","935","935","935","5.29052734375","5.29052734375","5.29052734375","","","","","",""
"439","","","","","","","937","937","937","5.289907932281494","5.289907932281494","5.289907932281494","","","","","",""
"440","","","","","","","945","945","945","5.289581775665283","5.289581775665283","5.289581775665283","","","","","",""
"441","","","","","","","947","947","947","5.289255619049072","5.289255619049072","5.289255619049072","","","","","",""
"442","","","","","","","949","949","949","5.288833141326904","5.288833141326904","5.288833141326904","","","","","",""
"443","","","","","","","957","957","957","5.288370609283447","5.288370609283447","5.288370609283447","","","","","",""
"444","","","","","","","965","965","965","5.28802490234375","5.28802490234375","5.28802490234375","","","","","",""
"445","","","","","","","967","967","967","5.2878642082214355","5.2878642082214355","5.2878642082214355","","","","","",""
"446","","","","","","","969","969","969","5.287681579589844","5.287681579589844","5.287681579589844","","","","","",""
"447","","","","","","","977","977","977","5.287349700927734","5.287349700927734","5.287349700927734","","","","","",""
"448","","","","","","","985","985","985","5.287173748016357","5.287173748016357","5.287173748016357","","","","","",""
"449","","","","","","","993","993","993","5.287038326263428","5.287038326263428","5.287038326263428","","","","","",""
"450","","","","","","","995","995","995","5.28689432144165","5.28689432144165","5.28689432144165","","","","","",""
"451","","","","","","","1003","1003","1003","5.286813735961914","5.286813735961914","5.286813735961914","","","","","",""
"452","","","","","","","1005","1005","1005","5.286712169647217","5.286712169647217","5.286712169647217","","","","","",""
"453","","","","","","","1007","1007","1007","5.286468982696533","5.286468982696533","5.286468982696533","","","","","",""
"454","","","","","","","1009","1009","1009","5.28626012802124","5.28626012802124","5.28626012802124","","","","","",""
"455","","","","","","","1017","1017","1017","5.2854719161987305","5.2854719161987305","5.2854719161987305","","","","","",""
"456","","","","","","","1019","1019","1019","5.284818649291992","5.284818649291992","5.284818649291992","","","","","",""
"457","","","","","","","1021","1021","1021","5.28457498550415","5.28457498550415","5.28457498550415","","","","","",""
"458","","","","","","","1029","1029","1029","5.2843523025512695","5.2843523025512695","5.2843523025512695","","","","","",""
"459","","","","","","","1037","1037","1037","5.2841362953186035","5.2841362953186035","5.2841362953186035","","","","","",""
"460","","","","","","","1039","1039","1039","5.2839484214782715","5.2839484214782715","5.2839484214782715","","","","","",""
"461","","","","","","","1047","1047","1047","5.2838873863220215","5.2838873863220215","5.2838873863220215","","","","","",""
"462","","","","","","","1049","1049","1049","5.283710479736328","5.283710479736328","5.283710479736328","","","","","",""
"463","","","","","","","1051","1051","1051","5.28361701965332","5.28361701965332","5.28361701965332","","","","","",""
"464","","","","","","","1059","1059","1059","5.283605575561523","5.283605575561523","5.283605575561523","","","","","",""
"465","","","","","","","1067","1067","1067","5.283543586730957","5.283543586730957","5.283543586730957","","","","","",""
"466","","","","","","","1069","1069","1069","5.283286094665527","5.283286094665527","5.283286094665527","","","","","",""
"467","","","","","","","1077","1077","1077","5.283137798309326","5.283137798309326","5.283137798309326","","","","","",""
"468","","","","","","","1085","1085","1085","5.283017158508301","5.283017158508301","5.283017158508301","","","","","",""
"469","","","","","","","1093","1093","1093","5.282961845397949","5.282961845397949","5.282961845397949","","","","","",""
"470","","","","","","","1101","1101","1101","5.282844066619873","5.282844066619873","5.282844066619873","","","","","",""
"471","","","","","","","1109","1109","1109","5.282695293426514","5.282695293426514","5.282695293426514","","","","","",""
"472","","","","","","","1111","1111","1111","5.282614707946777","5.282614707946777","5.282614707946777","","","","","",""
"473","","","","","","","1113","1113","1113","5.282446384429932","5.282446384429932","5.282446384429932","","","","","",""
"474","","","","","","","1121","1121","1121","5.282244682312012","5.282244682312012","5.282244682312012","","","","","",""
"475","","","","","","","1129","1129","1129","5.282094478607178","5.282094478607178","5.282094478607178","","","","","",""
"476","","","","","","","1137","1137","1137","5.281933307647705","5.281933307647705","5.281933307647705","","","","","",""
"477","","","","","","","1145","1145","1145","5.281803131103516","5.281803131103516","5.281803131103516","","","","","",""
"478","","","","","","","1147","1147","1147","5.281515598297119","5.281515598297119","5.281515598297119","","","","","",""
"479","","","","","","","1149","1149","1149","5.281312942504883","5.281312942504883","5.281312942504883","","","","","",""
"480","","","","","","","1151","1151","1151","5.281099796295166","5.281099796295166","5.281099796295166","","","","","",""
"481","","","","","","","1153","1153","1153","5.280969619750977","5.280969619750977","5.280969619750977","","","","","",""
"482","","","","","","","1161","1161","1161","5.280871868133545","5.280871868133545","5.280871868133545","","","","","",""
"483","","","","","","","1163","1163","1163","5.280759811401367","5.280759811401367","5.280759811401367","","","","","",""
