"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MAX"
"51","","","","","","","","","","","","","1166","1166","1166","0.5904896855354309","0.5904896855354309","0.5904896855354309"
"52","","","","","","","","","","","","","1189","1189","1189","0.5959457755088806","0.5959457755088806","0.5959457755088806"
"53","","","","","","","","","","","","","1211","1211","1211","0.6036356091499329","0.6036356091499329","0.6036356091499329"
"54","","","","","","","","","","","","","1234","1234","1234","0.6029281616210938","0.6029281616210938","0.6029281616210938"
"55","","","","","","","","","","","","","1256","1256","1256","0.6067837476730347","0.6067837476730347","0.6067837476730347"
"56","","","","","","","","","","","","","1279","1279","1279","0.6062800884246826","0.6062800884246826","0.6062800884246826"
"57","","","","","","","","","","","","","1301","1301","1301","0.6075853109359741","0.6075853109359741","0.6075853109359741"
"58","","","","","","","","","","","","","1324","1324","1324","0.6118670105934143","0.6118670105934143","0.6118670105934143"
"59","","","","","","","","","","","","","1346","1346","1346","0.616658627986908","0.616658627986908","0.616658627986908"
"60","","","","","","","","","","","","","1369","1369","1369","0.6203714609146118","0.6203714609146118","0.6203714609146118"
"61","","","","","","","","","","","","","1391","1391","1391","0.6204507946968079","0.6204507946968079","0.6204507946968079"
"62","","","","","","","","","","","","","1413","1413","1413","0.6206134557723999","0.6206134557723999","0.6206134557723999"
"63","","","","","","","","","","","","","1436","1436","1436","0.6227012276649475","0.6227012276649475","0.6227012276649475"
"64","","","","","","","","","","","","","1458","1458","1458","0.6285803914070129","0.6285803914070129","0.6285803914070129"
"65","","","","","","","","","","","","","1481","1481","1481","0.6292351484298706","0.6292351484298706","0.6292351484298706"
"66","","","","","","","","","","","","","1503","1503","1503","0.6292418837547302","0.6292418837547302","0.6292418837547302"
"67","","","","","","","","","","","","","1526","1526","1526","0.6292199492454529","0.6292199492454529","0.6292199492454529"
"68","","","","","","","","","","","","","1548","1548","1548","0.6326903700828552","0.6326903700828552","0.6326903700828552"
"69","","","","","","","","","","","","","1571","1571","1571","0.6326924562454224","0.6326924562454224","0.6326924562454224"
"70","","","","","","","","","","","","","1593","1593","1593","0.6330991387367249","0.6330991387367249","0.6330991387367249"
"71","","","","","","","","","","","","","1616","1616","1616","0.6343737840652466","0.6343737840652466","0.6343737840652466"
"72","","","","","","","","","","","","","1638","1638","1638","0.6344805955886841","0.6344805955886841","0.6344805955886841"
