"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.4.conv.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.4.conv.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.4.conv.bias_norm__MAX"
"51","","","","","","","","","","","","","1166","1166","1166","1.8956272602081299","1.8956272602081299","1.8956272602081299"
"52","","","","","","","","","","","","","1189","1189","1189","1.8995532989501953","1.8995532989501953","1.8995532989501953"
"53","","","","","","","","","","","","","1211","1211","1211","1.9106910228729248","1.9106910228729248","1.9106910228729248"
"54","","","","","","","","","","","","","1234","1234","1234","1.9129170179367065","1.9129170179367065","1.9129170179367065"
"55","","","","","","","","","","","","","1256","1256","1256","1.915921926498413","1.915921926498413","1.915921926498413"
"56","","","","","","","","","","","","","1279","1279","1279","1.9362491369247437","1.9362491369247437","1.9362491369247437"
"57","","","","","","","","","","","","","1301","1301","1301","1.9313184022903442","1.9313184022903442","1.9313184022903442"
"58","","","","","","","","","","","","","1324","1324","1324","1.9362244606018066","1.9362244606018066","1.9362244606018066"
"59","","","","","","","","","","","","","1346","1346","1346","1.9475346803665161","1.9475346803665161","1.9475346803665161"
"60","","","","","","","","","","","","","1369","1369","1369","1.9598134756088257","1.9598134756088257","1.9598134756088257"
"61","","","","","","","","","","","","","1391","1391","1391","1.9663591384887695","1.9663591384887695","1.9663591384887695"
"62","","","","","","","","","","","","","1413","1413","1413","1.9710196256637573","1.9710196256637573","1.9710196256637573"
"63","","","","","","","","","","","","","1436","1436","1436","1.9805110692977905","1.9805110692977905","1.9805110692977905"
"64","","","","","","","","","","","","","1458","1458","1458","1.9888006448745728","1.9888006448745728","1.9888006448745728"
"65","","","","","","","","","","","","","1481","1481","1481","1.993088722229004","1.993088722229004","1.993088722229004"
"66","","","","","","","","","","","","","1503","1503","1503","1.9950308799743652","1.9950308799743652","1.9950308799743652"
"67","","","","","","","","","","","","","1526","1526","1526","1.994802474975586","1.994802474975586","1.994802474975586"
"68","","","","","","","","","","","","","1548","1548","1548","1.9977608919143677","1.9977608919143677","1.9977608919143677"
"69","","","","","","","","","","","","","1571","1571","1571","1.9981932640075684","1.9981932640075684","1.9981932640075684"
"70","","","","","","","","","","","","","1593","1593","1593","2.008441209793091","2.008441209793091","2.008441209793091"
"71","","","","","","","","","","","","","1616","1616","1616","2.00988507270813","2.00988507270813","2.00988507270813"
"72","","","","","","","","","","","","","1638","1638","1638","2.0095293521881104","2.0095293521881104","2.0095293521881104"
"73","","","","","","","","","","","","","1661","1661","1661","2.0123343467712402","2.0123343467712402","2.0123343467712402"
"74","","","","","","","","","","","","","1683","1683","1683","2.014779567718506","2.014779567718506","2.014779567718506"
"75","","","","","","","","","","","","","1705","1705","1705","2.0240325927734375","2.0240325927734375","2.0240325927734375"
"76","","","","","","","","","","","","","1728","1728","1728","2.0237624645233154","2.0237624645233154","2.0237624645233154"
"77","","","","","","","","","","","","","1750","1750","1750","2.0284929275512695","2.0284929275512695","2.0284929275512695"
