"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MAX"
"54","","","","","","","","","","","","","1234","1234","1234","8.19252872467041","8.19252872467041","8.19252872467041"
"55","","","","","","","","","","","","","1256","1256","1256","8.196338653564453","8.196338653564453","8.196338653564453"
"56","","","","","","","","","","","","","1279","1279","1279","8.199240684509277","8.199240684509277","8.199240684509277"
"57","","","","","","","","","","","","","1301","1301","1301","8.204191207885742","8.204191207885742","8.204191207885742"
"58","","","","","","","","","","","","","1324","1324","1324","8.211248397827148","8.211248397827148","8.211248397827148"
"59","","","","","","","","","","","","","1346","1346","1346","8.214767456054688","8.214767456054688","8.214767456054688"
"60","","","","","","","","","","","","","1369","1369","1369","8.217852592468262","8.217852592468262","8.217852592468262"
"61","","","","","","","","","","","","","1391","1391","1391","8.219573020935059","8.219573020935059","8.219573020935059"
"62","","","","","","","","","","","","","1413","1413","1413","8.224166870117188","8.224166870117188","8.224166870117188"
"63","","","","","","","","","","","","","1436","1436","1436","8.225869178771973","8.225869178771973","8.225869178771973"
"64","","","","","","","","","","","","","1458","1458","1458","8.228151321411133","8.228151321411133","8.228151321411133"
"65","","","","","","","","","","","","","1481","1481","1481","8.231365203857422","8.231365203857422","8.231365203857422"
"66","","","","","","","","","","","","","1503","1503","1503","8.234928131103516","8.234928131103516","8.234928131103516"
"67","","","","","","","","","","","","","1526","1526","1526","8.235886573791504","8.235886573791504","8.235886573791504"
"68","","","","","","","","","","","","","1548","1548","1548","8.238527297973633","8.238527297973633","8.238527297973633"
"69","","","","","","","","","","","","","1571","1571","1571","8.240467071533203","8.240467071533203","8.240467071533203"
"70","","","","","","","","","","","","","1593","1593","1593","8.243224143981934","8.243224143981934","8.243224143981934"
"71","","","","","","","","","","","","","1616","1616","1616","8.24670696258545","8.24670696258545","8.24670696258545"
"72","","","","","","","","","","","","","1638","1638","1638","8.24862289428711","8.24862289428711","8.24862289428711"
"73","","","","","","","","","","","","","1661","1661","1661","8.251806259155273","8.251806259155273","8.251806259155273"
"74","","","","","","","","","","","","","1683","1683","1683","8.254312515258789","8.254312515258789","8.254312515258789"
"75","","","","","","","","","","","","","1705","1705","1705","8.25767707824707","8.25767707824707","8.25767707824707"
"76","","","","","","","","","","","","","1728","1728","1728","8.260272026062012","8.260272026062012","8.260272026062012"
"77","","","","","","","","","","","","","1750","1750","1750","8.26242446899414","8.26242446899414","8.26242446899414"
"78","","","","","","","","","","","","","1773","1773","1773","8.26564884185791","8.26564884185791","8.26564884185791"
"79","","","","","","","","","","","","","1795","1795","1795","8.268254280090332","8.268254280090332","8.268254280090332"
"80","","","","","","","","","","","","","1818","1818","1818","8.27070140838623","8.27070140838623","8.27070140838623"
"81","","","","","","","","","","","","","1840","1840","1840","8.272522926330566","8.272522926330566","8.272522926330566"
"82","","","","","","","","","","","","","1863","1863","1863","8.275320053100586","8.275320053100586","8.275320053100586"
"83","","","","","","","","","","","","","1885","1885","1885","8.278059959411621","8.278059959411621","8.278059959411621"
"84","","","","","","","","","","","","","1908","1908","1908","8.280564308166504","8.280564308166504","8.280564308166504"
"85","","","","","","","","","","","","","1930","1930","1930","8.284130096435547","8.284130096435547","8.284130096435547"
"86","","","","","","","","","","","","","1953","1953","1953","8.286170959472656","8.286170959472656","8.286170959472656"
"87","","","","","","","","","","","","","1975","1975","1975","8.287678718566895","8.287678718566895","8.287678718566895"
"88","","","","","","","","","","","","","1997","1997","1997","8.289745330810547","8.289745330810547","8.289745330810547"
"89","","","","","","","","","","","","","2020","2020","2020","8.293376922607422","8.293376922607422","8.293376922607422"
"90","","","","","","","","","","","","","2042","2042","2042","8.296826362609863","8.296826362609863","8.296826362609863"
"91","","","","","","","","","","","","","2065","2065","2065","8.299931526184082","8.299931526184082","8.299931526184082"
"92","","","","","","","","","","","","","2087","2087","2087","8.303570747375488","8.303570747375488","8.303570747375488"
