"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MAX"
"219","","","","","","","","","","","","","4940","4940","4940","8.66899299621582","8.66899299621582","8.66899299621582"
"220","","","","","","","","","","","","","4962","4962","4962","8.672690391540527","8.672690391540527","8.672690391540527"
"221","","","","","","","","","","","","","4985","4985","4985","8.675215721130371","8.675215721130371","8.675215721130371"
"222","","","","","","","","","","","","","5007","5007","5007","8.678390502929688","8.678390502929688","8.678390502929688"
"223","","","","","","","","","","","","","5030","5030","5030","8.679835319519043","8.679835319519043","8.679835319519043"
"224","","","","","","","","","","","","","5052","5052","5052","8.681228637695312","8.681228637695312","8.681228637695312"
"225","","","","","","","","","","","","","5074","5074","5074","8.683055877685547","8.683055877685547","8.683055877685547"
"226","","","","","","","","","","","","","5097","5097","5097","8.687280654907227","8.687280654907227","8.687280654907227"
"227","","","","","","","","","","","","","5119","5119","5119","8.688994407653809","8.688994407653809","8.688994407653809"
"228","","","","","","","","","","","","","5142","5142","5142","8.690024375915527","8.690024375915527","8.690024375915527"
"229","","","","","","","","","","","","","5164","5164","5164","8.692231178283691","8.692231178283691","8.692231178283691"
"230","","","","","","","","","","","","","5187","5187","5187","8.695931434631348","8.695931434631348","8.695931434631348"
"231","","","","","","","","","","","","","5209","5209","5209","8.697579383850098","8.697579383850098","8.697579383850098"
"232","","","","","","","","","","","","","5232","5232","5232","8.699871063232422","8.699871063232422","8.699871063232422"
"233","","","","","","","","","","","","","5254","5254","5254","8.701272964477539","8.701272964477539","8.701272964477539"
"234","","","","","","","","","","","","","5277","5277","5277","8.70415210723877","8.70415210723877","8.70415210723877"
"235","","","","","","","","","","","","","5299","5299","5299","8.707653999328613","8.707653999328613","8.707653999328613"
"236","","","","","","","","","","","","","5322","5322","5322","8.710189819335938","8.710189819335938","8.710189819335938"
"237","","","","","","","","","","","","","5344","5344","5344","8.712640762329102","8.712640762329102","8.712640762329102"
"238","","","","","","","","","","","","","5366","5366","5366","8.713251113891602","8.713251113891602","8.713251113891602"
"239","","","","","","","","","","","","","5389","5389","5389","8.713754653930664","8.713754653930664","8.713754653930664"
"240","","","","","","","","","","","","","5411","5411","5411","8.717144012451172","8.717144012451172","8.717144012451172"
"241","","","","","","","","","","","","","5434","5434","5434","8.721197128295898","8.721197128295898","8.721197128295898"
"242","","","","","","","","","","","","","5456","5456","5456","8.722134590148926","8.722134590148926","8.722134590148926"
"243","","","","","","","","","","","","","5479","5479","5479","8.724365234375","8.724365234375","8.724365234375"
"244","","","","","","","","","","","","","5501","5501","5501","8.726638793945312","8.726638793945312","8.726638793945312"
"245","","","","","","","","","","","","","5524","5524","5524","8.731934547424316","8.731934547424316","8.731934547424316"
"246","","","","","","","","","","","","","5546","5546","5546","8.736343383789062","8.736343383789062","8.736343383789062"
"247","","","","","","","","","","","","","5569","5569","5569","8.737512588500977","8.737512588500977","8.737512588500977"
"248","","","","","","","","","","","","","5591","5591","5591","8.740302085876465","8.740302085876465","8.740302085876465"
"249","","","","","","","","","","","","","5614","5614","5614","8.743075370788574","8.743075370788574","8.743075370788574"
"250","","","","","","","7","7","7","8.743850708007812","8.743850708007812","8.743850708007812","5636","5636","5636","8.74526596069336","8.74526596069336","8.74526596069336"
"251","","","","","","","9","9","9","8.74496078491211","8.74496078491211","8.74496078491211","5658","5658","5658","8.747475624084473","8.747475624084473","8.747475624084473"
"252","","","","","","","11","11","11","8.745855331420898","8.745855331420898","8.745855331420898","","","","","",""
"253","","","","","","","13","13","13","8.745878219604492","8.745878219604492","8.745878219604492","","","","","",""
"254","","","","","","","21","21","21","8.747207641601562","8.747207641601562","8.747207641601562","","","","","",""
"255","","","","","","","23","23","23","8.747684478759766","8.747684478759766","8.747684478759766","","","","","",""
"256","","","","","","","31","31","31","8.748783111572266","8.748783111572266","8.748783111572266","","","","","",""
"257","","","","","","","39","39","39","8.750200271606445","8.750200271606445","8.750200271606445","","","","","",""
"258","","","","","","","41","41","41","8.751766204833984","8.751766204833984","8.751766204833984","","","","","",""
"259","","","","","","","49","49","49","8.753807067871094","8.753807067871094","8.753807067871094","","","","","",""
"260","","","","","","","51","51","51","8.754185676574707","8.754185676574707","8.754185676574707","","","","","",""
"261","","","","","","","59","59","59","8.755253791809082","8.755253791809082","8.755253791809082","","","","","",""
"262","","","","","","","67","67","67","8.75603199005127","8.75603199005127","8.75603199005127","","","","","",""
"263","","","","","","","75","75","75","8.756997108459473","8.756997108459473","8.756997108459473","","","","","",""
"264","","","","","","","77","77","77","8.758034706115723","8.758034706115723","8.758034706115723","","","","","",""
"265","","","","","","","79","79","79","8.758615493774414","8.758615493774414","8.758615493774414","","","","","",""
"266","","","","","","","87","87","87","8.759142875671387","8.759142875671387","8.759142875671387","","","","","",""
"267","","","","","","","89","89","89","8.76014518737793","8.76014518737793","8.76014518737793","","","","","",""
"268","","","","","","","97","97","97","8.761337280273438","8.761337280273438","8.761337280273438","","","","","",""
"269","","","","","","","105","105","105","8.763192176818848","8.763192176818848","8.763192176818848","","","","","",""
"270","","","","","","","113","113","113","8.764745712280273","8.764745712280273","8.764745712280273","","","","","",""
"271","","","","","","","121","121","121","8.766063690185547","8.766063690185547","8.766063690185547","","","","","",""
"272","","","","","","","123","123","123","8.766586303710938","8.766586303710938","8.766586303710938","","","","","",""
"273","","","","","","","125","125","125","8.767001152038574","8.767001152038574","8.767001152038574","","","","","",""
"274","","","","","","","127","127","127","8.768319129943848","8.768319129943848","8.768319129943848","","","","","",""
"275","","","","","","","129","129","129","8.77021598815918","8.77021598815918","8.77021598815918","","","","","",""
"276","","","","","","","131","131","131","8.771676063537598","8.771676063537598","8.771676063537598","","","","","",""
"277","","","","","","","133","133","133","8.772818565368652","8.772818565368652","8.772818565368652","","","","","",""
"278","","","","","","","141","141","141","8.774822235107422","8.774822235107422","8.774822235107422","","","","","",""
"279","","","","","","","143","143","143","8.77591323852539","8.77591323852539","8.77591323852539","","","","","",""
"280","","","","","","","151","151","151","8.777116775512695","8.777116775512695","8.777116775512695","","","","","",""
"281","","","","","","","159","159","159","8.777405738830566","8.777405738830566","8.777405738830566","","","","","",""
"282","","","","","","","161","161","161","8.779078483581543","8.779078483581543","8.779078483581543","","","","","",""
"283","","","","","","","169","169","169","8.779641151428223","8.779641151428223","8.779641151428223","","","","","",""
"284","","","","","","","177","177","177","8.779760360717773","8.779760360717773","8.779760360717773","","","","","",""
"285","","","","","","","179","179","179","8.781309127807617","8.781309127807617","8.781309127807617","","","","","",""
"286","","","","","","","181","181","181","8.782374382019043","8.782374382019043","8.782374382019043","","","","","",""
"287","","","","","","","183","183","183","8.783049583435059","8.783049583435059","8.783049583435059","","","","","",""
"288","","","","","","","185","185","185","8.784417152404785","8.784417152404785","8.784417152404785","","","","","",""
"289","","","","","","","193","193","193","8.7864408493042","8.7864408493042","8.7864408493042","","","","","",""
"290","","","","","","","195","195","195","8.788347244262695","8.788347244262695","8.788347244262695","","","","","",""
"291","","","","","","","197","197","197","8.789690971374512","8.789690971374512","8.789690971374512","","","","","",""
"292","","","","","","","205","205","205","8.791879653930664","8.791879653930664","8.791879653930664","","","","","",""
"293","","","","","","","213","213","213","8.793103218078613","8.793103218078613","8.793103218078613","","","","","",""
"294","","","","","","","215","215","215","8.793400764465332","8.793400764465332","8.793400764465332","","","","","",""
"295","","","","","","","217","217","217","8.794642448425293","8.794642448425293","8.794642448425293","","","","","",""
"296","","","","","","","219","219","219","8.794730186462402","8.794730186462402","8.794730186462402","","","","","",""
"297","","","","","","","221","221","221","8.795578956604004","8.795578956604004","8.795578956604004","","","","","",""
"298","","","","","","","223","223","223","8.79744815826416","8.79744815826416","8.79744815826416","","","","","",""
"299","","","","","","","231","231","231","8.799886703491211","8.799886703491211","8.799886703491211","","","","","",""
"300","","","","","","","239","239","239","8.8003511428833","8.8003511428833","8.8003511428833","","","","","",""
"301","","","","","","","247","247","247","8.800684928894043","8.800684928894043","8.800684928894043","","","","","",""
"302","","","","","","","255","255","255","8.801445007324219","8.801445007324219","8.801445007324219","","","","","",""
"303","","","","","","","257","257","257","8.80219554901123","8.80219554901123","8.80219554901123","","","","","",""
"304","","","","","","","265","265","265","8.803095817565918","8.803095817565918","8.803095817565918","","","","","",""
"305","","","","","","","267","267","267","8.805462837219238","8.805462837219238","8.805462837219238","","","","","",""
"306","","","","","","","275","275","275","8.8077974319458","8.8077974319458","8.8077974319458","","","","","",""
"307","","","","","","","277","277","277","8.809515953063965","8.809515953063965","8.809515953063965","","","","","",""
"308","","","","","","","279","279","279","8.809741973876953","8.809741973876953","8.809741973876953","","","","","",""
"309","","","","","","","287","287","287","8.810891151428223","8.810891151428223","8.810891151428223","","","","","",""
"310","","","","","","","295","295","295","8.811742782592773","8.811742782592773","8.811742782592773","","","","","",""
"311","","","","","","","303","303","303","8.813260078430176","8.813260078430176","8.813260078430176","","","","","",""
"312","","","","","","","311","311","311","8.813620567321777","8.813620567321777","8.813620567321777","","","","","",""
"313","","","","","","","313","313","313","8.814393043518066","8.814393043518066","8.814393043518066","","","","","",""
"314","","","","","","","315","315","315","8.815446853637695","8.815446853637695","8.815446853637695","","","","","",""
"315","","","","","","","323","323","323","8.81566333770752","8.81566333770752","8.81566333770752","","","","","",""
"316","","","","","","","331","331","331","8.817076683044434","8.817076683044434","8.817076683044434","","","","","",""
"317","","","","","","","339","339","339","8.818361282348633","8.818361282348633","8.818361282348633","","","","","",""
"318","","","","","","","341","341","341","8.820826530456543","8.820826530456543","8.820826530456543","","","","","",""
"319","","","","","","","343","343","343","8.823652267456055","8.823652267456055","8.823652267456055","","","","","",""
"320","","","","","","","351","351","351","8.82672119140625","8.82672119140625","8.82672119140625","","","","","",""
"321","","","","","","","359","359","359","8.828506469726562","8.828506469726562","8.828506469726562","","","","","",""
"322","","","","","","","361","361","361","8.830080032348633","8.830080032348633","8.830080032348633","","","","","",""
"323","","","","","","","369","369","369","8.830366134643555","8.830366134643555","8.830366134643555","","","","","",""
"324","","","","","","","371","371","371","8.831170082092285","8.831170082092285","8.831170082092285","","","","","",""
"325","","","","","","","379","379","379","8.832315444946289","8.832315444946289","8.832315444946289","","","","","",""
"326","","","","","","","387","387","387","8.832727432250977","8.832727432250977","8.832727432250977","","","","","",""
"327","","","","","","","395","395","395","8.832674980163574","8.832674980163574","8.832674980163574","","","","","",""
"328","","","","","","","403","403","403","8.833163261413574","8.833163261413574","8.833163261413574","","","","","",""
"329","","","","","","","411","411","411","8.834012031555176","8.834012031555176","8.834012031555176","","","","","",""
"330","","","","","","","413","413","413","8.83487319946289","8.83487319946289","8.83487319946289","","","","","",""
"331","","","","","","","421","421","421","8.836237907409668","8.836237907409668","8.836237907409668","","","","","",""
"332","","","","","","","423","423","423","8.838057518005371","8.838057518005371","8.838057518005371","","","","","",""
"333","","","","","","","425","425","425","8.838595390319824","8.838595390319824","8.838595390319824","","","","","",""
"334","","","","","","","427","427","427","8.841021537780762","8.841021537780762","8.841021537780762","","","","","",""
"335","","","","","","","435","435","435","8.842419624328613","8.842419624328613","8.842419624328613","","","","","",""
"336","","","","","","","437","437","437","8.842228889465332","8.842228889465332","8.842228889465332","","","","","",""
"337","","","","","","","445","445","445","8.843026161193848","8.843026161193848","8.843026161193848","","","","","",""
"338","","","","","","","453","453","453","8.84312629699707","8.84312629699707","8.84312629699707","","","","","",""
"339","","","","","","","461","461","461","8.843305587768555","8.843305587768555","8.843305587768555","","","","","",""
"340","","","","","","","463","463","463","8.844847679138184","8.844847679138184","8.844847679138184","","","","","",""
"341","","","","","","","471","471","471","8.847024917602539","8.847024917602539","8.847024917602539","","","","","",""
"342","","","","","","","479","479","479","8.848119735717773","8.848119735717773","8.848119735717773","","","","","",""
"343","","","","","","","481","481","481","8.848682403564453","8.848682403564453","8.848682403564453","","","","","",""
"344","","","","","","","489","489","489","8.848762512207031","8.848762512207031","8.848762512207031","","","","","",""
"345","","","","","","","497","497","497","8.850855827331543","8.850855827331543","8.850855827331543","","","","","",""
"346","","","","","","","499","499","499","8.852185249328613","8.852185249328613","8.852185249328613","","","","","",""
"347","","","","","","","507","507","507","8.852734565734863","8.852734565734863","8.852734565734863","","","","","",""
"348","","","","","","","515","515","515","8.853228569030762","8.853228569030762","8.853228569030762","","","","","",""
"349","","","","","","","517","517","517","8.853525161743164","8.853525161743164","8.853525161743164","","","","","",""
"350","","","","","","","519","519","519","8.855962753295898","8.855962753295898","8.855962753295898","","","","","",""
"351","","","","","","","521","521","521","8.856765747070312","8.856765747070312","8.856765747070312","","","","","",""
"352","","","","","","","523","523","523","8.857890129089355","8.857890129089355","8.857890129089355","","","","","",""
"353","","","","","","","531","531","531","8.859893798828125","8.859893798828125","8.859893798828125","","","","","",""
"354","","","","","","","533","533","533","8.860054969787598","8.860054969787598","8.860054969787598","","","","","",""
"355","","","","","","","535","535","535","8.861100196838379","8.861100196838379","8.861100196838379","","","","","",""
"356","","","","","","","543","543","543","8.861101150512695","8.861101150512695","8.861101150512695","","","","","",""
"357","","","","","","","545","545","545","8.862011909484863","8.862011909484863","8.862011909484863","","","","","",""
"358","","","","","","","553","553","553","8.86401081085205","8.86401081085205","8.86401081085205","","","","","",""
"359","","","","","","","561","561","561","8.865130424499512","8.865130424499512","8.865130424499512","","","","","",""
"360","","","","","","","569","569","569","8.865333557128906","8.865333557128906","8.865333557128906","","","","","",""
"361","","","","","","","571","571","571","8.865991592407227","8.865991592407227","8.865991592407227","","","","","",""
"362","","","","","","","579","579","579","8.866605758666992","8.866605758666992","8.866605758666992","","","","","",""
"363","","","","","","","581","581","581","8.867959976196289","8.867959976196289","8.867959976196289","","","","","",""
"364","","","","","","","589","589","589","8.868659019470215","8.868659019470215","8.868659019470215","","","","","",""
"365","","","","","","","597","597","597","8.868961334228516","8.868961334228516","8.868961334228516","","","","","",""
"366","","","","","","","605","605","605","8.8694486618042","8.8694486618042","8.8694486618042","","","","","",""
"367","","","","","","","607","607","607","8.8704252243042","8.8704252243042","8.8704252243042","","","","","",""
"368","","","","","","","615","615","615","8.872925758361816","8.872925758361816","8.872925758361816","","","","","",""
"369","","","","","","","623","623","623","8.875978469848633","8.875978469848633","8.875978469848633","","","","","",""
"370","","","","","","","631","631","631","8.875922203063965","8.875922203063965","8.875922203063965","","","","","",""
"371","","","","","","","639","639","639","8.877589225769043","8.877589225769043","8.877589225769043","","","","","",""
"372","","","","","","","647","647","647","8.878652572631836","8.878652572631836","8.878652572631836","","","","","",""
"373","","","","","","","649","649","649","8.87881851196289","8.87881851196289","8.87881851196289","","","","","",""
"374","","","","","","","657","657","657","8.880376815795898","8.880376815795898","8.880376815795898","","","","","",""
"375","","","","","","","659","659","659","8.880256652832031","8.880256652832031","8.880256652832031","","","","","",""
"376","","","","","","","667","667","667","8.880851745605469","8.880851745605469","8.880851745605469","","","","","",""
"377","","","","","","","675","675","675","8.881635665893555","8.881635665893555","8.881635665893555","","","","","",""
"378","","","","","","","677","677","677","8.882681846618652","8.882681846618652","8.882681846618652","","","","","",""
"379","","","","","","","679","679","679","8.885125160217285","8.885125160217285","8.885125160217285","","","","","",""
"380","","","","","","","687","687","687","8.885978698730469","8.885978698730469","8.885978698730469","","","","","",""
"381","","","","","","","695","695","695","8.88611125946045","8.88611125946045","8.88611125946045","","","","","",""
"382","","","","","","","703","703","703","8.887941360473633","8.887941360473633","8.887941360473633","","","","","",""
"383","","","","","","","705","705","705","8.887771606445312","8.887771606445312","8.887771606445312","","","","","",""
"384","","","","","","","707","707","707","8.88755989074707","8.88755989074707","8.88755989074707","","","","","",""
"385","","","","","","","715","715","715","8.888384819030762","8.888384819030762","8.888384819030762","","","","","",""
"386","","","","","","","717","717","717","8.88905143737793","8.88905143737793","8.88905143737793","","","","","",""
"387","","","","","","","719","719","719","8.889765739440918","8.889765739440918","8.889765739440918","","","","","",""
"388","","","","","","","721","721","721","8.890544891357422","8.890544891357422","8.890544891357422","","","","","",""
"389","","","","","","","723","723","723","8.892447471618652","8.892447471618652","8.892447471618652","","","","","",""
"390","","","","","","","725","725","725","8.892525672912598","8.892525672912598","8.892525672912598","","","","","",""
"391","","","","","","","733","733","733","8.893255233764648","8.893255233764648","8.893255233764648","","","","","",""
"392","","","","","","","735","735","735","8.893775939941406","8.893775939941406","8.893775939941406","","","","","",""
"393","","","","","","","743","743","743","8.894522666931152","8.894522666931152","8.894522666931152","","","","","",""
"394","","","","","","","745","745","745","8.896334648132324","8.896334648132324","8.896334648132324","","","","","",""
"395","","","","","","","747","747","747","8.897488594055176","8.897488594055176","8.897488594055176","","","","","",""
"396","","","","","","","749","749","749","8.898784637451172","8.898784637451172","8.898784637451172","","","","","",""
"397","","","","","","","757","757","757","8.90025806427002","8.90025806427002","8.90025806427002","","","","","",""
"398","","","","","","","765","765","765","8.900886535644531","8.900886535644531","8.900886535644531","","","","","",""
"399","","","","","","","773","773","773","8.902499198913574","8.902499198913574","8.902499198913574","","","","","",""
"400","","","","","","","775","775","775","8.904248237609863","8.904248237609863","8.904248237609863","","","","","",""
"401","","","","","","","777","777","777","8.905492782592773","8.905492782592773","8.905492782592773","","","","","",""
"402","","","","","","","785","785","785","8.90561294555664","8.90561294555664","8.90561294555664","","","","","",""
"403","","","","","","","793","793","793","8.907096862792969","8.907096862792969","8.907096862792969","","","","","",""
"404","","","","","","","795","795","795","8.906848907470703","8.906848907470703","8.906848907470703","","","","","",""
"405","","","","","","","803","803","803","8.907439231872559","8.907439231872559","8.907439231872559","","","","","",""
"406","","","","","","","805","805","805","8.907798767089844","8.907798767089844","8.907798767089844","","","","","",""
"407","","","","","","","807","807","807","8.90846061706543","8.90846061706543","8.90846061706543","","","","","",""
"408","","","","","","","815","815","815","8.90899658203125","8.90899658203125","8.90899658203125","","","","","",""
"409","","","","","","","817","817","817","8.909692764282227","8.909692764282227","8.909692764282227","","","","","",""
"410","","","","","","","819","819","819","8.91037368774414","8.91037368774414","8.91037368774414","","","","","",""
"411","","","","","","","821","821","821","8.91124439239502","8.91124439239502","8.91124439239502","","","","","",""
"412","","","","","","","823","823","823","8.9126615524292","8.9126615524292","8.9126615524292","","","","","",""
"413","","","","","","","825","825","825","8.913705825805664","8.913705825805664","8.913705825805664","","","","","",""
"414","","","","","","","827","827","827","8.91441535949707","8.91441535949707","8.91441535949707","","","","","",""
"415","","","","","","","829","829","829","8.914724349975586","8.914724349975586","8.914724349975586","","","","","",""
"416","","","","","","","837","837","837","8.915865898132324","8.915865898132324","8.915865898132324","","","","","",""
"417","","","","","","","845","845","845","8.916793823242188","8.916793823242188","8.916793823242188","","","","","",""
"418","","","","","","","847","847","847","8.918807029724121","8.918807029724121","8.918807029724121","","","","","",""
"419","","","","","","","849","849","849","8.91989517211914","8.91989517211914","8.91989517211914","","","","","",""
"420","","","","","","","851","851","851","8.920595169067383","8.920595169067383","8.920595169067383","","","","","",""
"421","","","","","","","853","853","853","8.922124862670898","8.922124862670898","8.922124862670898","","","","","",""
"422","","","","","","","861","861","861","8.924689292907715","8.924689292907715","8.924689292907715","","","","","",""
"423","","","","","","","869","869","869","8.92542839050293","8.92542839050293","8.92542839050293","","","","","",""
"424","","","","","","","871","871","871","8.92626953125","8.92626953125","8.92626953125","","","","","",""
"425","","","","","","","873","873","873","8.927385330200195","8.927385330200195","8.927385330200195","","","","","",""
"426","","","","","","","881","881","881","8.928092002868652","8.928092002868652","8.928092002868652","","","","","",""
"427","","","","","","","889","889","889","8.927383422851562","8.927383422851562","8.927383422851562","","","","","",""
"428","","","","","","","897","897","897","8.927753448486328","8.927753448486328","8.927753448486328","","","","","",""
"429","","","","","","","899","899","899","8.92858600616455","8.92858600616455","8.92858600616455","","","","","",""
"430","","","","","","","901","901","901","8.929635047912598","8.929635047912598","8.929635047912598","","","","","",""
"431","","","","","","","903","903","903","8.930923461914062","8.930923461914062","8.930923461914062","","","","","",""
"432","","","","","","","905","905","905","8.931872367858887","8.931872367858887","8.931872367858887","","","","","",""
"433","","","","","","","907","907","907","8.932708740234375","8.932708740234375","8.932708740234375","","","","","",""
"434","","","","","","","915","915","915","8.934627532958984","8.934627532958984","8.934627532958984","","","","","",""
"435","","","","","","","923","923","923","8.93624496459961","8.93624496459961","8.93624496459961","","","","","",""
"436","","","","","","","931","931","931","8.936001777648926","8.936001777648926","8.936001777648926","","","","","",""
"437","","","","","","","933","933","933","8.937950134277344","8.937950134277344","8.937950134277344","","","","","",""
"438","","","","","","","935","935","935","8.939806938171387","8.939806938171387","8.939806938171387","","","","","",""
"439","","","","","","","937","937","937","8.940631866455078","8.940631866455078","8.940631866455078","","","","","",""
"440","","","","","","","945","945","945","8.9414701461792","8.9414701461792","8.9414701461792","","","","","",""
"441","","","","","","","947","947","947","8.941972732543945","8.941972732543945","8.941972732543945","","","","","",""
"442","","","","","","","949","949","949","8.943076133728027","8.943076133728027","8.943076133728027","","","","","",""
"443","","","","","","","957","957","957","8.94548511505127","8.94548511505127","8.94548511505127","","","","","",""
"444","","","","","","","965","965","965","8.946799278259277","8.946799278259277","8.946799278259277","","","","","",""
"445","","","","","","","967","967","967","8.948332786560059","8.948332786560059","8.948332786560059","","","","","",""
"446","","","","","","","969","969","969","8.948175430297852","8.948175430297852","8.948175430297852","","","","","",""
"447","","","","","","","977","977","977","8.949378967285156","8.949378967285156","8.949378967285156","","","","","",""
"448","","","","","","","985","985","985","8.949437141418457","8.949437141418457","8.949437141418457","","","","","",""
"449","","","","","","","993","993","993","8.94893741607666","8.94893741607666","8.94893741607666","","","","","",""
"450","","","","","","","995","995","995","8.948957443237305","8.948957443237305","8.948957443237305","","","","","",""
"451","","","","","","","1003","1003","1003","8.950136184692383","8.950136184692383","8.950136184692383","","","","","",""
"452","","","","","","","1005","1005","1005","8.950343132019043","8.950343132019043","8.950343132019043","","","","","",""
"453","","","","","","","1007","1007","1007","8.950774192810059","8.950774192810059","8.950774192810059","","","","","",""
"454","","","","","","","1009","1009","1009","8.951663970947266","8.951663970947266","8.951663970947266","","","","","",""
"455","","","","","","","1017","1017","1017","8.954346656799316","8.954346656799316","8.954346656799316","","","","","",""
"456","","","","","","","1019","1019","1019","8.955660820007324","8.955660820007324","8.955660820007324","","","","","",""
"457","","","","","","","1021","1021","1021","8.956082344055176","8.956082344055176","8.956082344055176","","","","","",""
"458","","","","","","","1029","1029","1029","8.958198547363281","8.958198547363281","8.958198547363281","","","","","",""
"459","","","","","","","1037","1037","1037","8.959492683410645","8.959492683410645","8.959492683410645","","","","","",""
"460","","","","","","","1039","1039","1039","8.959565162658691","8.959565162658691","8.959565162658691","","","","","",""
"461","","","","","","","1047","1047","1047","8.960227012634277","8.960227012634277","8.960227012634277","","","","","",""
"462","","","","","","","1049","1049","1049","8.962393760681152","8.962393760681152","8.962393760681152","","","","","",""
"463","","","","","","","1051","1051","1051","8.962565422058105","8.962565422058105","8.962565422058105","","","","","",""
"464","","","","","","","1059","1059","1059","8.962711334228516","8.962711334228516","8.962711334228516","","","","","",""
"465","","","","","","","1067","1067","1067","8.964042663574219","8.964042663574219","8.964042663574219","","","","","",""
"466","","","","","","","1069","1069","1069","8.964494705200195","8.964494705200195","8.964494705200195","","","","","",""
"467","","","","","","","1077","1077","1077","8.964045524597168","8.964045524597168","8.964045524597168","","","","","",""
"468","","","","","","","1085","1085","1085","8.96562671661377","8.96562671661377","8.96562671661377","","","","","",""
"469","","","","","","","1093","1093","1093","8.965529441833496","8.965529441833496","8.965529441833496","","","","","",""
"470","","","","","","","1101","1101","1101","8.965714454650879","8.965714454650879","8.965714454650879","","","","","",""
"471","","","","","","","1109","1109","1109","8.967348098754883","8.967348098754883","8.967348098754883","","","","","",""
"472","","","","","","","1111","1111","1111","8.967170715332031","8.967170715332031","8.967170715332031","","","","","",""
"473","","","","","","","1113","1113","1113","8.968554496765137","8.968554496765137","8.968554496765137","","","","","",""
"474","","","","","","","1121","1121","1121","8.969212532043457","8.969212532043457","8.969212532043457","","","","","",""
"475","","","","","","","1129","1129","1129","8.970118522644043","8.970118522644043","8.970118522644043","","","","","",""
"476","","","","","","","1137","1137","1137","8.971179962158203","8.971179962158203","8.971179962158203","","","","","",""
"477","","","","","","","1145","1145","1145","8.97181224822998","8.97181224822998","8.97181224822998","","","","","",""
"478","","","","","","","1147","1147","1147","8.971880912780762","8.971880912780762","8.971880912780762","","","","","",""
"479","","","","","","","1149","1149","1149","8.971772193908691","8.971772193908691","8.971772193908691","","","","","",""
"480","","","","","","","1151","1151","1151","8.972028732299805","8.972028732299805","8.972028732299805","","","","","",""
"481","","","","","","","1153","1153","1153","8.972494125366211","8.972494125366211","8.972494125366211","","","","","",""
"482","","","","","","","1161","1161","1161","8.972888946533203","8.972888946533203","8.972888946533203","","","","","",""
"483","","","","","","","1163","1163","1163","8.97310733795166","8.97310733795166","8.97310733795166","","","","","",""
"484","","","","","","","1171","1171","1171","8.973005294799805","8.973005294799805","8.973005294799805","","","","","",""
"485","","","","","","","1173","1173","1173","8.97470474243164","8.97470474243164","8.97470474243164","","","","","",""
"486","","","","","","","1175","1175","1175","8.9754056930542","8.9754056930542","8.9754056930542","","","","","",""
"487","","","","","","","1183","1183","1183","8.977752685546875","8.977752685546875","8.977752685546875","","","","","",""
"488","","","","","","","1191","1191","1191","8.978297233581543","8.978297233581543","8.978297233581543","","","","","",""
"489","","","","","","","1193","1193","1193","8.978972434997559","8.978972434997559","8.978972434997559","","","","","",""
"490","","","","","","","1201","1201","1201","8.978581428527832","8.978581428527832","8.978581428527832","","","","","",""
"491","","","","","","","1203","1203","1203","8.979012489318848","8.979012489318848","8.979012489318848","","","","","",""
"492","","","","","","","1205","1205","1205","8.97956657409668","8.97956657409668","8.97956657409668","","","","","",""
"493","","","","","","","1213","1213","1213","8.979507446289062","8.979507446289062","8.979507446289062","","","","","",""
"494","","","","","","","1215","1215","1215","8.980287551879883","8.980287551879883","8.980287551879883","","","","","",""
"495","","","","","","","1223","1223","1223","8.980875015258789","8.980875015258789","8.980875015258789","","","","","",""
"496","","","","","","","1225","1225","1225","8.981337547302246","8.981337547302246","8.981337547302246","","","","","",""
"497","","","","","","","1227","1227","1227","8.98297119140625","8.98297119140625","8.98297119140625","","","","","",""
"498","","","","","","","1235","1235","1235","8.982853889465332","8.982853889465332","8.982853889465332","","","","","",""
"499","","","","","","","1237","1237","1237","8.983363151550293","8.983363151550293","8.983363151550293","","","","","",""
"500","","","","","","","1245","1245","1245","8.983267784118652","8.983267784118652","8.983267784118652","","","","","",""
"501","","","","","","","1247","1247","1247","8.98494815826416","8.98494815826416","8.98494815826416","","","","","",""
