"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX"
"52","","","","","","","","","","","","","1189","1189","1189","14.315958023071289","14.315958023071289","14.315958023071289"
"53","","","","","","","","","","","","","1211","1211","1211","14.394088745117188","14.394088745117188","14.394088745117188"
"54","","","","","","","","","","","","","1234","1234","1234","14.420001983642578","14.420001983642578","14.420001983642578"
"55","","","","","","","","","","","","","1256","1256","1256","14.461943626403809","14.461943626403809","14.461943626403809"
"56","","","","","","","","","","","","","1279","1279","1279","14.500781059265137","14.500781059265137","14.500781059265137"
"57","","","","","","","","","","","","","1301","1301","1301","14.526905059814453","14.526905059814453","14.526905059814453"
"58","","","","","","","","","","","","","1324","1324","1324","14.569366455078125","14.569366455078125","14.569366455078125"
"59","","","","","","","","","","","","","1346","1346","1346","14.629399299621582","14.629399299621582","14.629399299621582"
"60","","","","","","","","","","","","","1369","1369","1369","14.688172340393066","14.688172340393066","14.688172340393066"
"61","","","","","","","","","","","","","1391","1391","1391","14.732023239135742","14.732023239135742","14.732023239135742"
"62","","","","","","","","","","","","","1413","1413","1413","14.747272491455078","14.747272491455078","14.747272491455078"
"63","","","","","","","","","","","","","1436","1436","1436","14.808961868286133","14.808961868286133","14.808961868286133"
"64","","","","","","","","","","","","","1458","1458","1458","14.920478820800781","14.920478820800781","14.920478820800781"
"65","","","","","","","","","","","","","1481","1481","1481","14.976234436035156","14.976234436035156","14.976234436035156"
"66","","","","","","","","","","","","","1503","1503","1503","14.960780143737793","14.960780143737793","14.960780143737793"
"67","","","","","","","","","","","","","1526","1526","1526","14.998054504394531","14.998054504394531","14.998054504394531"
"68","","","","","","","","","","","","","1548","1548","1548","15.017017364501953","15.017017364501953","15.017017364501953"
"69","","","","","","","","","","","","","1571","1571","1571","15.061788558959961","15.061788558959961","15.061788558959961"
"70","","","","","","","","","","","","","1593","1593","1593","15.116430282592773","15.116430282592773","15.116430282592773"
"71","","","","","","","","","","","","","1616","1616","1616","15.161422729492188","15.161422729492188","15.161422729492188"
"72","","","","","","","","","","","","","1638","1638","1638","15.198317527770996","15.198317527770996","15.198317527770996"
"73","","","","","","","","","","","","","1661","1661","1661","15.234633445739746","15.234633445739746","15.234633445739746"
"74","","","","","","","","","","","","","1683","1683","1683","15.279787063598633","15.279787063598633","15.279787063598633"
