"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers2.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers2.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers2.weight_orig_norm__MAX"
"50","","","","","","","","","","","","","1144","1144","1144","0.5450453162193298","0.5450453162193298","0.5450453162193298"
"51","","","","","","","","","","","","","1166","1166","1166","0.5425824522972107","0.5425824522972107","0.5425824522972107"
"52","","","","","","","","","","","","","1189","1189","1189","0.5405775904655457","0.5405775904655457","0.5405775904655457"
"53","","","","","","","","","","","","","1211","1211","1211","0.5415774583816528","0.5415774583816528","0.5415774583816528"
"54","","","","","","","","","","","","","1234","1234","1234","0.5427834987640381","0.5427834987640381","0.5427834987640381"
"55","","","","","","","","","","","","","1256","1256","1256","0.5443699359893799","0.5443699359893799","0.5443699359893799"
"56","","","","","","","","","","","","","1279","1279","1279","0.543893039226532","0.543893039226532","0.543893039226532"
"57","","","","","","","","","","","","","1301","1301","1301","0.5442753434181213","0.5442753434181213","0.5442753434181213"
"58","","","","","","","","","","","","","1324","1324","1324","0.551228940486908","0.551228940486908","0.551228940486908"
"59","","","","","","","","","","","","","1346","1346","1346","0.5521909594535828","0.5521909594535828","0.5521909594535828"
"60","","","","","","","","","","","","","1369","1369","1369","0.550205409526825","0.550205409526825","0.550205409526825"
"61","","","","","","","","","","","","","1391","1391","1391","0.5486205816268921","0.5486205816268921","0.5486205816268921"
"62","","","","","","","","","","","","","1413","1413","1413","0.5507708191871643","0.5507708191871643","0.5507708191871643"
