"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_rnn_block.col_norm.0.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_rnn_block.col_norm.0.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_rnn_block.col_norm.0.weight_norm__MAX"
"53","","","","","","","","","","","","","1211","1211","1211","11.341279983520508","11.341279983520508","11.341279983520508"
"54","","","","","","","","","","","","","1234","1234","1234","11.341607093811035","11.341607093811035","11.341607093811035"
"55","","","","","","","","","","","","","1256","1256","1256","11.34203052520752","11.34203052520752","11.34203052520752"
"56","","","","","","","","","","","","","1279","1279","1279","11.345005989074707","11.345005989074707","11.345005989074707"
"57","","","","","","","","","","","","","1301","1301","1301","11.345707893371582","11.345707893371582","11.345707893371582"
"58","","","","","","","","","","","","","1324","1324","1324","11.345719337463379","11.345719337463379","11.345719337463379"
"59","","","","","","","","","","","","","1346","1346","1346","11.346925735473633","11.346925735473633","11.346925735473633"
"60","","","","","","","","","","","","","1369","1369","1369","11.348432540893555","11.348432540893555","11.348432540893555"
"61","","","","","","","","","","","","","1391","1391","1391","11.347477912902832","11.347477912902832","11.347477912902832"
"62","","","","","","","","","","","","","1413","1413","1413","11.34921646118164","11.34921646118164","11.34921646118164"
"63","","","","","","","","","","","","","1436","1436","1436","11.349021911621094","11.349021911621094","11.349021911621094"
"64","","","","","","","","","","","","","1458","1458","1458","11.351226806640625","11.351226806640625","11.351226806640625"
"65","","","","","","","","","","","","","1481","1481","1481","11.350725173950195","11.350725173950195","11.350725173950195"
"66","","","","","","","","","","","","","1503","1503","1503","11.352254867553711","11.352254867553711","11.352254867553711"
"67","","","","","","","","","","","","","1526","1526","1526","11.35220718383789","11.35220718383789","11.35220718383789"
"68","","","","","","","","","","","","","1548","1548","1548","11.353776931762695","11.353776931762695","11.353776931762695"
"69","","","","","","","","","","","","","1571","1571","1571","11.355094909667969","11.355094909667969","11.355094909667969"
"70","","","","","","","","","","","","","1593","1593","1593","11.357924461364746","11.357924461364746","11.357924461364746"
"71","","","","","","","","","","","","","1616","1616","1616","11.358530044555664","11.358530044555664","11.358530044555664"
"72","","","","","","","","","","","","","1638","1638","1638","11.35925579071045","11.35925579071045","11.35925579071045"
"73","","","","","","","","","","","","","1661","1661","1661","11.359085083007812","11.359085083007812","11.359085083007812"
"74","","","","","","","","","","","","","1683","1683","1683","11.359282493591309","11.359282493591309","11.359282493591309"
"75","","","","","","","","","","","","","1705","1705","1705","11.360091209411621","11.360091209411621","11.360091209411621"
"76","","","","","","","","","","","","","1728","1728","1728","11.36224365234375","11.36224365234375","11.36224365234375"
"77","","","","","","","","","","","","","1750","1750","1750","11.36147403717041","11.36147403717041","11.36147403717041"
"78","","","","","","","","","","","","","1773","1773","1773","11.362395286560059","11.362395286560059","11.362395286560059"
"79","","","","","","","","","","","","","1795","1795","1795","11.363530158996582","11.363530158996582","11.363530158996582"
"80","","","","","","","","","","","","","1818","1818","1818","11.364405632019043","11.364405632019043","11.364405632019043"
"81","","","","","","","","","","","","","1840","1840","1840","11.36213493347168","11.36213493347168","11.36213493347168"
"82","","","","","","","","","","","","","1863","1863","1863","11.364269256591797","11.364269256591797","11.364269256591797"
"83","","","","","","","","","","","","","1885","1885","1885","11.363755226135254","11.363755226135254","11.363755226135254"
"84","","","","","","","","","","","","","1908","1908","1908","11.363250732421875","11.363250732421875","11.363250732421875"
"85","","","","","","","","","","","","","1930","1930","1930","11.366403579711914","11.366403579711914","11.366403579711914"
"86","","","","","","","","","","","","","1953","1953","1953","11.367794036865234","11.367794036865234","11.367794036865234"
"87","","","","","","","","","","","","","1975","1975","1975","11.367340087890625","11.367340087890625","11.367340087890625"
"88","","","","","","","","","","","","","1997","1997","1997","11.36870002746582","11.36870002746582","11.36870002746582"
"89","","","","","","","","","","","","","2020","2020","2020","11.369478225708008","11.369478225708008","11.369478225708008"
"90","","","","","","","","","","","","","2042","2042","2042","11.371440887451172","11.371440887451172","11.371440887451172"
"91","","","","","","","","","","","","","2065","2065","2065","11.369340896606445","11.369340896606445","11.369340896606445"
"92","","","","","","","","","","","","","2087","2087","2087","11.374565124511719","11.374565124511719","11.374565124511719"
"93","","","","","","","","","","","","","2110","2110","2110","11.375414848327637","11.375414848327637","11.375414848327637"
"94","","","","","","","","","","","","","2132","2132","2132","11.375134468078613","11.375134468078613","11.375134468078613"
"95","","","","","","","","","","","","","2155","2155","2155","11.373828887939453","11.373828887939453","11.373828887939453"
"96","","","","","","","","","","","","","2177","2177","2177","11.376001358032227","11.376001358032227","11.376001358032227"
"97","","","","","","","","","","","","","2200","2200","2200","11.377299308776855","11.377299308776855","11.377299308776855"
"98","","","","","","","","","","","","","2222","2222","2222","11.377706527709961","11.377706527709961","11.377706527709961"
"99","","","","","","","","","","","","","2245","2245","2245","11.377504348754883","11.377504348754883","11.377504348754883"
"100","","","","","","","","","","","","","2267","2267","2267","11.379257202148438","11.379257202148438","11.379257202148438"
"101","","","","","","","","","","","","","2289","2289","2289","11.375703811645508","11.375703811645508","11.375703811645508"
"102","","","","","","","","","","","","","2312","2312","2312","11.377830505371094","11.377830505371094","11.377830505371094"
"103","","","","","","","","","","","","","2334","2334","2334","11.379405975341797","11.379405975341797","11.379405975341797"
"104","","","","","","","","","","","","","2357","2357","2357","11.383398056030273","11.383398056030273","11.383398056030273"
"105","","","","","","","","","","","","","2379","2379","2379","11.38392448425293","11.38392448425293","11.38392448425293"
"106","","","","","","","","","","","","","2402","2402","2402","11.38258171081543","11.38258171081543","11.38258171081543"
"107","","","","","","","","","","","","","2424","2424","2424","11.383749008178711","11.383749008178711","11.383749008178711"
"108","","","","","","","","","","","","","2447","2447","2447","11.385844230651855","11.385844230651855","11.385844230651855"
"109","","","","","","","","","","","","","2469","2469","2469","11.386289596557617","11.386289596557617","11.386289596557617"
"110","","","","","","","","","","","","","2492","2492","2492","11.386425971984863","11.386425971984863","11.386425971984863"
"111","","","","","","","","","","","","","2514","2514","2514","11.389548301696777","11.389548301696777","11.389548301696777"
"112","","","","","","","","","","","","","2536","2536","2536","11.3897123336792","11.3897123336792","11.3897123336792"
"113","","","","","","","","","","","","","2559","2559","2559","11.389360427856445","11.389360427856445","11.389360427856445"
"114","","","","","","","","","","","","","2581","2581","2581","11.389185905456543","11.389185905456543","11.389185905456543"
"115","","","","","","","","","","","","","2604","2604","2604","11.39072036743164","11.39072036743164","11.39072036743164"
"116","","","","","","","","","","","","","2626","2626","2626","11.390645980834961","11.390645980834961","11.390645980834961"
"117","","","","","","","","","","","","","2649","2649","2649","11.391703605651855","11.391703605651855","11.391703605651855"
"118","","","","","","","","","","","","","2671","2671","2671","11.391698837280273","11.391698837280273","11.391698837280273"
"119","","","","","","","","","","","","","2694","2694","2694","11.391814231872559","11.391814231872559","11.391814231872559"
"120","","","","","","","","","","","","","2716","2716","2716","11.394168853759766","11.394168853759766","11.394168853759766"
"121","","","","","","","","","","","","","2739","2739","2739","11.391809463500977","11.391809463500977","11.391809463500977"
"122","","","","","","","","","","","","","2761","2761","2761","11.392763137817383","11.392763137817383","11.392763137817383"
"123","","","","","","","","","","","","","2784","2784","2784","11.394503593444824","11.394503593444824","11.394503593444824"
"124","","","","","","","","","","","","","2806","2806","2806","11.396591186523438","11.396591186523438","11.396591186523438"
"125","","","","","","","","","","","","","2828","2828","2828","11.395427703857422","11.395427703857422","11.395427703857422"
"126","","","","","","","","","","","","","2851","2851","2851","11.398083686828613","11.398083686828613","11.398083686828613"
