"epoch","02/05 09:08:20 - training only generator - _step","02/05 09:08:20 - training only generator - _step__MIN","02/05 09:08:20 - training only generator - _step__MAX","02/05 09:08:20 - training only generator - Fidelity Loss","02/05 09:08:20 - training only generator - Fidelity Loss__MIN","02/05 09:08:20 - training only generator - Fidelity Loss__MAX"
"116","587","587","587","764664.8125","764664.8125","764664.8125"
"117","592","592","592","764396.8125","764396.8125","764396.8125"
"118","597","597","597","762811.8125","762811.8125","762811.8125"
"119","602","602","602","764116.6875","764116.6875","764116.6875"
"120","607","607","607","763208.9375","763208.9375","763208.9375"
"121","612","612","612","762969.5","762969.5","762969.5"
"122","617","617","617","761571.75","761571.75","761571.75"
"123","622","622","622","762767.375","762767.375","762767.375"
"124","627","627","627","761926.125","761926.125","761926.125"
"125","632","632","632","762599.75","762599.75","762599.75"
"126","637","637","637","761481.1875","761481.1875","761481.1875"
"127","642","642","642","761656.9375","761656.9375","761656.9375"
"128","647","647","647","760829.375","760829.375","760829.375"
"129","652","652","652","759630.25","759630.25","759630.25"
"130","657","657","657","759577.125","759577.125","759577.125"
"131","662","662","662","760029.5625","760029.5625","760029.5625"
"132","667","667","667","759414.1875","759414.1875","759414.1875"
"133","672","672","672","758649","758649","758649"
"134","677","677","677","758616.8125","758616.8125","758616.8125"
"135","682","682","682","759538.1875","759538.1875","759538.1875"
"136","687","687","687","757784.3125","757784.3125","757784.3125"
"137","692","692","692","756821.0625","756821.0625","756821.0625"
"138","697","697","697","756449.875","756449.875","756449.875"
"139","702","702","702","756690.5","756690.5","756690.5"
"140","707","707","707","757502.3125","757502.3125","757502.3125"
"141","712","712","712","756368.5625","756368.5625","756368.5625"
"142","717","717","717","756092.4375","756092.4375","756092.4375"
"143","722","722","722","755803.0625","755803.0625","755803.0625"
"144","727","727","727","754048.375","754048.375","754048.375"
"145","732","732","732","754422.5","754422.5","754422.5"
"146","737","737","737","753676.75","753676.75","753676.75"
"147","742","742","742","755637.8125","755637.8125","755637.8125"
"148","747","747","747","753149.875","753149.875","753149.875"
"149","752","752","752","754598.625","754598.625","754598.625"
"150","757","757","757","753698.625","753698.625","753698.625"
"151","762","762","762","753589.75","753589.75","753589.75"
"152","767","767","767","753142.0625","753142.0625","753142.0625"
"153","772","772","772","752786.25","752786.25","752786.25"
"154","777","777","777","752167.75","752167.75","752167.75"
"155","782","782","782","752654.25","752654.25","752654.25"
"156","787","787","787","751344.625","751344.625","751344.625"
"157","792","792","792","751563.25","751563.25","751563.25"
"158","797","797","797","752126.3125","752126.3125","752126.3125"
"159","802","802","802","751995.6875","751995.6875","751995.6875"
"160","807","807","807","751316.625","751316.625","751316.625"
"161","812","812","812","752138.0625","752138.0625","752138.0625"
"162","817","817","817","751197.0625","751197.0625","751197.0625"
"163","822","822","822","750520.5","750520.5","750520.5"
"164","827","827","827","750505.1875","750505.1875","750505.1875"
"165","832","832","832","750692.5625","750692.5625","750692.5625"
"166","837","837","837","749453.8125","749453.8125","749453.8125"
"167","842","842","842","748431.25","748431.25","748431.25"
"168","847","847","847","749557.375","749557.375","749557.375"
"169","852","852","852","748024.75","748024.75","748024.75"
"170","857","857","857","749291.875","749291.875","749291.875"
"171","862","862","862","747650.0625","747650.0625","747650.0625"
"172","867","867","867","748354.9375","748354.9375","748354.9375"
"173","872","872","872","747915.3125","747915.3125","747915.3125"
"174","877","877","877","747756.4375","747756.4375","747756.4375"
"175","882","882","882","747880.8125","747880.8125","747880.8125"
"176","887","887","887","749867.3125","749867.3125","749867.3125"
"177","892","892","892","747750.4375","747750.4375","747750.4375"
"178","897","897","897","745986.1875","745986.1875","745986.1875"
"179","902","902","902","745676.0625","745676.0625","745676.0625"
"180","907","907","907","745827.4375","745827.4375","745827.4375"
"181","912","912","912","746315.5","746315.5","746315.5"
"182","917","917","917","745862.125","745862.125","745862.125"
"183","922","922","922","746569.625","746569.625","746569.625"
"184","927","927","927","746946.5","746946.5","746946.5"
"185","932","932","932","744931.875","744931.875","744931.875"
"186","937","937","937","745821.375","745821.375","745821.375"
"187","942","942","942","744473.0625","744473.0625","744473.0625"
"188","947","947","947","745542.3125","745542.3125","745542.3125"
"189","952","952","952","744336.3125","744336.3125","744336.3125"
"190","957","957","957","743204.9375","743204.9375","743204.9375"
"191","962","962","962","744288.5625","744288.5625","744288.5625"
"192","967","967","967","744676.9375","744676.9375","744676.9375"
"193","972","972","972","743473.5","743473.5","743473.5"
"194","977","977","977","742590.3125","742590.3125","742590.3125"
"195","982","982","982","744225.375","744225.375","744225.375"
"196","987","987","987","744053.625","744053.625","744053.625"
"197","992","992","992","743551.9375","743551.9375","743551.9375"
"198","997","997","997","741162.1875","741162.1875","741162.1875"
"199","1002","1002","1002","743271.6875","743271.6875","743271.6875"
"200","1007","1007","1007","745683.0625","745683.0625","745683.0625"
"201","1012","1012","1012","742102.6875","742102.6875","742102.6875"
"202","1017","1017","1017","742234.0625","742234.0625","742234.0625"
"203","1022","1022","1022","741689.875","741689.875","741689.875"
"204","1027","1027","1027","740801.6875","740801.6875","740801.6875"
"205","1032","1032","1032","741294.5","741294.5","741294.5"
"206","1037","1037","1037","740241.75","740241.75","740241.75"
"207","1042","1042","1042","740449","740449","740449"
"208","1047","1047","1047","740636.3125","740636.3125","740636.3125"
"209","1052","1052","1052","740179.375","740179.375","740179.375"
"210","1057","1057","1057","740442.5625","740442.5625","740442.5625"
"211","1062","1062","1062","738740.125","738740.125","738740.125"
"212","1067","1067","1067","739592.4375","739592.4375","739592.4375"
"213","1072","1072","1072","739017.375","739017.375","739017.375"
"214","1077","1077","1077","740671.0625","740671.0625","740671.0625"
"215","1082","1082","1082","737827.375","737827.375","737827.375"
"216","1087","1087","1087","739298.1875","739298.1875","739298.1875"
"217","1092","1092","1092","739319","739319","739319"
"218","1097","1097","1097","738632.625","738632.625","738632.625"
"219","1102","1102","1102","737633.8125","737633.8125","737633.8125"
"220","1107","1107","1107","737938.75","737938.75","737938.75"
"221","1112","1112","1112","738225.375","738225.375","738225.375"
"222","1117","1117","1117","737714.9375","737714.9375","737714.9375"
"223","1122","1122","1122","737807.875","737807.875","737807.875"
"224","1127","1127","1127","736695.375","736695.375","736695.375"
"225","1132","1132","1132","738450.375","738450.375","738450.375"
"226","1137","1137","1137","737533.625","737533.625","737533.625"
"227","1142","1142","1142","735784.5","735784.5","735784.5"
"228","1147","1147","1147","737256.375","737256.375","737256.375"
"229","1152","1152","1152","737469.1875","737469.1875","737469.1875"
"230","1157","1157","1157","737991.0625","737991.0625","737991.0625"
"231","1162","1162","1162","736883.875","736883.875","736883.875"
"232","1167","1167","1167","735304.3125","735304.3125","735304.3125"
"233","1172","1172","1172","736134.4375","736134.4375","736134.4375"
"234","1177","1177","1177","736606.8125","736606.8125","736606.8125"
"235","1182","1182","1182","735195.4375","735195.4375","735195.4375"
"236","1187","1187","1187","734861.4375","734861.4375","734861.4375"
"237","1192","1192","1192","735804.25","735804.25","735804.25"
"238","1197","1197","1197","735205.4375","735205.4375","735205.4375"
"239","1202","1202","1202","734855.25","734855.25","734855.25"
"240","1207","1207","1207","735904.375","735904.375","735904.375"
"241","1212","1212","1212","734307.125","734307.125","734307.125"
"242","1217","1217","1217","734782.625","734782.625","734782.625"
"243","1222","1222","1222","733343.5625","733343.5625","733343.5625"
"244","1227","1227","1227","734394.8125","734394.8125","734394.8125"
"245","1232","1232","1232","734581.875","734581.875","734581.875"
"246","1237","1237","1237","733392.0625","733392.0625","733392.0625"
"247","1242","1242","1242","733764.3125","733764.3125","733764.3125"
"248","1247","1247","1247","733789.75","733789.75","733789.75"
"249","1252","1252","1252","733959.125","733959.125","733959.125"
"250","1257","1257","1257","733095.6875","733095.6875","733095.6875"
"251","1262","1262","1262","733377.5625","733377.5625","733377.5625"
"252","1267","1267","1267","733815.5625","733815.5625","733815.5625"
"253","1272","1272","1272","732594.5","732594.5","732594.5"
"254","1277","1277","1277","733802","733802","733802"
"255","1282","1282","1282","731855.0625","731855.0625","731855.0625"
"256","1287","1287","1287","733295.125","733295.125","733295.125"
"257","1292","1292","1292","731992.125","731992.125","731992.125"
"258","1297","1297","1297","733070.6875","733070.6875","733070.6875"
"259","1302","1302","1302","731849.9375","731849.9375","731849.9375"
"260","1307","1307","1307","732930.375","732930.375","732930.375"
"261","1312","1312","1312","732654","732654","732654"
"262","1317","1317","1317","732428.1875","732428.1875","732428.1875"
"263","1322","1322","1322","732417.5625","732417.5625","732417.5625"
"264","1327","1327","1327","732505.9375","732505.9375","732505.9375"
"265","1332","1332","1332","732124","732124","732124"
"266","1337","1337","1337","732307.8125","732307.8125","732307.8125"
"267","1342","1342","1342","731613.3125","731613.3125","731613.3125"
"268","1347","1347","1347","732168.5","732168.5","732168.5"
"269","1352","1352","1352","731842.3125","731842.3125","731842.3125"
"270","1357","1357","1357","731381","731381","731381"
"271","1362","1362","1362","730714.375","730714.375","730714.375"
"272","1367","1367","1367","731156.1875","731156.1875","731156.1875"
"273","1372","1372","1372","731598.8125","731598.8125","731598.8125"
"274","1377","1377","1377","730630.0625","730630.0625","730630.0625"
"275","1382","1382","1382","729356.875","729356.875","729356.875"
"276","1387","1387","1387","731116.4375","731116.4375","731116.4375"
"277","1392","1392","1392","730048.875","730048.875","730048.875"
"278","1397","1397","1397","729850.875","729850.875","729850.875"
"279","1402","1402","1402","731160.5625","731160.5625","731160.5625"
"280","1407","1407","1407","730108.875","730108.875","730108.875"
