"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Fake","18/04 13:01:40 - training only discriminator - D_Fake__MIN","18/04 13:01:40 - training only discriminator - D_Fake__MAX"
"84","169","169","169","-600.1090698242188","-600.1090698242188","-600.1090698242188"
"85","171","171","171","-598.4873046875","-598.4873046875","-598.4873046875"
"86","173","173","173","-598.0694580078125","-598.0694580078125","-598.0694580078125"
"87","175","175","175","-599.6246337890625","-599.6246337890625","-599.6246337890625"
"88","177","177","177","-599.1453857421875","-599.1453857421875","-599.1453857421875"
"89","179","179","179","-600.1257934570312","-600.1257934570312","-600.1257934570312"
"90","181","181","181","-599.7997436523438","-599.7997436523438","-599.7997436523438"
"91","183","183","183","-599.4992065429688","-599.4992065429688","-599.4992065429688"
"92","185","185","185","-599.6969604492188","-599.6969604492188","-599.6969604492188"
"93","187","187","187","-600.3198852539062","-600.3198852539062","-600.3198852539062"
"94","189","189","189","-600.1563720703125","-600.1563720703125","-600.1563720703125"
"95","191","191","191","-600.0999755859375","-600.0999755859375","-600.0999755859375"
"96","193","193","193","-601.3177490234375","-601.3177490234375","-601.3177490234375"
"97","195","195","195","-601.49853515625","-601.49853515625","-601.49853515625"
"98","197","197","197","-599.3290405273438","-599.3290405273438","-599.3290405273438"
"99","199","199","199","-599.5982666015625","-599.5982666015625","-599.5982666015625"
"100","201","201","201","-600.9140625","-600.9140625","-600.9140625"
"101","203","203","203","-600.6441650390625","-600.6441650390625","-600.6441650390625"
"102","205","205","205","-601.2908325195312","-601.2908325195312","-601.2908325195312"
"103","207","207","207","-600.343017578125","-600.343017578125","-600.343017578125"
"104","209","209","209","-600.8031005859375","-600.8031005859375","-600.8031005859375"
"105","211","211","211","-600.0350952148438","-600.0350952148438","-600.0350952148438"
"106","213","213","213","-601.9134521484375","-601.9134521484375","-601.9134521484375"
"107","215","215","215","-601.770263671875","-601.770263671875","-601.770263671875"
"108","217","217","217","-604.0428466796875","-604.0428466796875","-604.0428466796875"
"109","219","219","219","-603.076416015625","-603.076416015625","-603.076416015625"
