"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Real","18/04 13:01:40 - training only discriminator - D_Real__MIN","18/04 13:01:40 - training only discriminator - D_Real__MAX"
"366","733","733","733","-290.07965087890625","-290.07965087890625","-290.07965087890625"
"367","735","735","735","-289.860595703125","-289.860595703125","-289.860595703125"
"368","737","737","737","-289.6171875","-289.6171875","-289.6171875"
"369","739","739","739","-290.4657897949219","-290.4657897949219","-290.4657897949219"
"370","741","741","741","-289.9010925292969","-289.9010925292969","-289.9010925292969"
"371","743","743","743","-290.4373779296875","-290.4373779296875","-290.4373779296875"
"372","745","745","745","-289.58660888671875","-289.58660888671875","-289.58660888671875"
"373","747","747","747","-290.77978515625","-290.77978515625","-290.77978515625"
"374","749","749","749","-289.09674072265625","-289.09674072265625","-289.09674072265625"
"375","751","751","751","-291.29498291015625","-291.29498291015625","-291.29498291015625"
"376","753","753","753","-291.2738037109375","-291.2738037109375","-291.2738037109375"
"377","755","755","755","-290.366455078125","-290.366455078125","-290.366455078125"
"378","757","757","757","-289.515869140625","-289.515869140625","-289.515869140625"
"379","759","759","759","-290.6431579589844","-290.6431579589844","-290.6431579589844"
"380","761","761","761","-290.54559326171875","-290.54559326171875","-290.54559326171875"
"381","763","763","763","-290.7080383300781","-290.7080383300781","-290.7080383300781"
"382","765","765","765","-290.2691650390625","-290.2691650390625","-290.2691650390625"
"383","767","767","767","-289.9273681640625","-289.9273681640625","-289.9273681640625"
"384","769","769","769","-290.0162353515625","-290.0162353515625","-290.0162353515625"
"385","771","771","771","-290.53717041015625","-290.53717041015625","-290.53717041015625"
"386","773","773","773","-291.11328125","-291.11328125","-291.11328125"
"387","775","775","775","-289.5152893066406","-289.5152893066406","-289.5152893066406"
"388","777","777","777","-289.6277160644531","-289.6277160644531","-289.6277160644531"
"389","779","779","779","-290.26434326171875","-290.26434326171875","-290.26434326171875"
"390","781","781","781","-290.6583251953125","-290.6583251953125","-290.6583251953125"
"391","783","783","783","-289.6423645019531","-289.6423645019531","-289.6423645019531"
"392","785","785","785","-289.7843933105469","-289.7843933105469","-289.7843933105469"
"393","787","787","787","-291.5978088378906","-291.5978088378906","-291.5978088378906"
"394","789","789","789","-290.5061950683594","-290.5061950683594","-290.5061950683594"
"395","791","791","791","-291.4501647949219","-291.4501647949219","-291.4501647949219"
"396","793","793","793","-289.8126220703125","-289.8126220703125","-289.8126220703125"
"397","795","795","795","-291.5069885253906","-291.5069885253906","-291.5069885253906"
"398","797","797","797","-290.1589660644531","-290.1589660644531","-290.1589660644531"
"399","799","799","799","-290.266357421875","-290.266357421875","-290.266357421875"
"400","801","801","801","-289.306396484375","-289.306396484375","-289.306396484375"
"401","803","803","803","-290.82196044921875","-290.82196044921875","-290.82196044921875"
"402","805","805","805","-290.8409423828125","-290.8409423828125","-290.8409423828125"
"403","807","807","807","-290.9294128417969","-290.9294128417969","-290.9294128417969"
"404","809","809","809","-290.0857849121094","-290.0857849121094","-290.0857849121094"
"405","811","811","811","-291.1717529296875","-291.1717529296875","-291.1717529296875"
"406","813","813","813","-290.1850891113281","-290.1850891113281","-290.1850891113281"
"407","815","815","815","-291.1710510253906","-291.1710510253906","-291.1710510253906"
"408","817","817","817","-291.4640808105469","-291.4640808105469","-291.4640808105469"
"409","819","819","819","-289.70770263671875","-289.70770263671875","-289.70770263671875"
"410","821","821","821","-290.4089050292969","-290.4089050292969","-290.4089050292969"
"411","823","823","823","-290.300048828125","-290.300048828125","-290.300048828125"
"412","825","825","825","-289.5557861328125","-289.5557861328125","-289.5557861328125"
"413","827","827","827","-289.5851135253906","-289.5851135253906","-289.5851135253906"
"414","829","829","829","-290.5536193847656","-290.5536193847656","-290.5536193847656"
"415","831","831","831","-290.1473388671875","-290.1473388671875","-290.1473388671875"
"416","833","833","833","-290.06231689453125","-290.06231689453125","-290.06231689453125"
"417","835","835","835","-289.9903259277344","-289.9903259277344","-289.9903259277344"
"418","837","837","837","-290.4861755371094","-290.4861755371094","-290.4861755371094"
"419","839","839","839","-290.4722900390625","-290.4722900390625","-290.4722900390625"
"420","841","841","841","-289.548095703125","-289.548095703125","-289.548095703125"
"421","843","843","843","-290.4880065917969","-290.4880065917969","-290.4880065917969"
"422","845","845","845","-291.2563171386719","-291.2563171386719","-291.2563171386719"
"423","847","847","847","-289.3775329589844","-289.3775329589844","-289.3775329589844"
"424","849","849","849","-289.9701232910156","-289.9701232910156","-289.9701232910156"
"425","851","851","851","-289.8132019042969","-289.8132019042969","-289.8132019042969"
"426","853","853","853","-290.2079162597656","-290.2079162597656","-290.2079162597656"
"427","855","855","855","-290.7591552734375","-290.7591552734375","-290.7591552734375"
"428","857","857","857","-289.6720275878906","-289.6720275878906","-289.6720275878906"
"429","859","859","859","-291.08612060546875","-291.08612060546875","-291.08612060546875"
"430","861","861","861","-290.8696594238281","-290.8696594238281","-290.8696594238281"
"431","863","863","863","-289.7121276855469","-289.7121276855469","-289.7121276855469"
"432","865","865","865","-290.2898864746094","-290.2898864746094","-290.2898864746094"
"433","867","867","867","-290.0048522949219","-290.0048522949219","-290.0048522949219"
"434","869","869","869","-289.8708190917969","-289.8708190917969","-289.8708190917969"
"435","871","871","871","-290.36016845703125","-290.36016845703125","-290.36016845703125"
"436","873","873","873","-290.3484191894531","-290.3484191894531","-290.3484191894531"
"437","875","875","875","-290.1285400390625","-290.1285400390625","-290.1285400390625"
"438","877","877","877","-289.8876953125","-289.8876953125","-289.8876953125"
"439","879","879","879","-290.7699279785156","-290.7699279785156","-290.7699279785156"
"440","881","881","881","-290.50299072265625","-290.50299072265625","-290.50299072265625"
"441","883","883","883","-289.2530517578125","-289.2530517578125","-289.2530517578125"
"442","885","885","885","-290.4792175292969","-290.4792175292969","-290.4792175292969"
"443","887","887","887","-291.0010681152344","-291.0010681152344","-291.0010681152344"
"444","889","889","889","-289.1130676269531","-289.1130676269531","-289.1130676269531"
"445","891","891","891","-290.96807861328125","-290.96807861328125","-290.96807861328125"
"446","893","893","893","-290.01239013671875","-290.01239013671875","-290.01239013671875"
"447","895","895","895","-289.8928527832031","-289.8928527832031","-289.8928527832031"
"448","897","897","897","-290.4156799316406","-290.4156799316406","-290.4156799316406"
"449","899","899","899","-289.8769836425781","-289.8769836425781","-289.8769836425781"
"450","901","901","901","-291.47515869140625","-291.47515869140625","-291.47515869140625"
"451","903","903","903","-289.5577697753906","-289.5577697753906","-289.5577697753906"
"452","905","905","905","-291.45672607421875","-291.45672607421875","-291.45672607421875"
"453","907","907","907","-290.020263671875","-290.020263671875","-290.020263671875"
"454","909","909","909","-291.0184631347656","-291.0184631347656","-291.0184631347656"
"455","911","911","911","-289.85845947265625","-289.85845947265625","-289.85845947265625"
"456","913","913","913","-289.3062744140625","-289.3062744140625","-289.3062744140625"
"457","915","915","915","-289.24017333984375","-289.24017333984375","-289.24017333984375"
"458","917","917","917","-289.9158630371094","-289.9158630371094","-289.9158630371094"
"459","919","919","919","-290.130615234375","-290.130615234375","-290.130615234375"
"460","921","921","921","-289.1692810058594","-289.1692810058594","-289.1692810058594"
"461","923","923","923","-289.6483459472656","-289.6483459472656","-289.6483459472656"
"462","925","925","925","-289.1554870605469","-289.1554870605469","-289.1554870605469"
"463","927","927","927","-290.4212646484375","-290.4212646484375","-290.4212646484375"
"464","929","929","929","-288.7237548828125","-288.7237548828125","-288.7237548828125"
"465","931","931","931","-289.0917053222656","-289.0917053222656","-289.0917053222656"
"466","933","933","933","-289.7247009277344","-289.7247009277344","-289.7247009277344"
"467","935","935","935","-289.2768859863281","-289.2768859863281","-289.2768859863281"
"468","937","937","937","-289.8187561035156","-289.8187561035156","-289.8187561035156"
"469","939","939","939","-289.5836181640625","-289.5836181640625","-289.5836181640625"
"470","941","941","941","-289.27545166015625","-289.27545166015625","-289.27545166015625"
"471","943","943","943","-289.3930358886719","-289.3930358886719","-289.3930358886719"
"472","945","945","945","-290.2311096191406","-290.2311096191406","-290.2311096191406"
"473","947","947","947","-289.6549377441406","-289.6549377441406","-289.6549377441406"
"474","949","949","949","-289.8877868652344","-289.8877868652344","-289.8877868652344"
"475","951","951","951","-289.0615234375","-289.0615234375","-289.0615234375"
"476","953","953","953","-289.7804870605469","-289.7804870605469","-289.7804870605469"
"477","955","955","955","-289.638427734375","-289.638427734375","-289.638427734375"
"478","957","957","957","-289.1138916015625","-289.1138916015625","-289.1138916015625"
"479","959","959","959","-289.5050354003906","-289.5050354003906","-289.5050354003906"
"480","961","961","961","-289.19219970703125","-289.19219970703125","-289.19219970703125"
"481","963","963","963","-288.6159973144531","-288.6159973144531","-288.6159973144531"
"482","965","965","965","-289.0929870605469","-289.0929870605469","-289.0929870605469"
"483","967","967","967","-290.16717529296875","-290.16717529296875","-290.16717529296875"
"484","969","969","969","-289.7227478027344","-289.7227478027344","-289.7227478027344"
"485","971","971","971","-289.1937561035156","-289.1937561035156","-289.1937561035156"
"486","973","973","973","-288.3177795410156","-288.3177795410156","-288.3177795410156"
"487","975","975","975","-289.2318115234375","-289.2318115234375","-289.2318115234375"
"488","977","977","977","-287.7681884765625","-287.7681884765625","-287.7681884765625"
"489","979","979","979","-289.6643981933594","-289.6643981933594","-289.6643981933594"
"490","981","981","981","-287.89013671875","-287.89013671875","-287.89013671875"
"491","983","983","983","-288.54876708984375","-288.54876708984375","-288.54876708984375"
"492","985","985","985","-288.15802001953125","-288.15802001953125","-288.15802001953125"
"493","987","987","987","-288.34503173828125","-288.34503173828125","-288.34503173828125"
"494","989","989","989","-289.3554382324219","-289.3554382324219","-289.3554382324219"
"495","991","991","991","-287.8172912597656","-287.8172912597656","-287.8172912597656"
"496","993","993","993","-287.52850341796875","-287.52850341796875","-287.52850341796875"
"497","995","995","995","-287.78070068359375","-287.78070068359375","-287.78070068359375"
"498","997","997","997","-288.0555725097656","-288.0555725097656","-288.0555725097656"
"499","999","999","999","-288.650146484375","-288.650146484375","-288.650146484375"
"500","1001","1001","1001","-288.31341552734375","-288.31341552734375","-288.31341552734375"
"501","1003","1003","1003","-288.0399475097656","-288.0399475097656","-288.0399475097656"
"502","1005","1005","1005","-288.542236328125","-288.542236328125","-288.542236328125"
"503","1007","1007","1007","-288.107421875","-288.107421875","-288.107421875"
"504","1009","1009","1009","-288.801025390625","-288.801025390625","-288.801025390625"
"505","1011","1011","1011","-288.21875","-288.21875","-288.21875"
"506","1013","1013","1013","-288.02789306640625","-288.02789306640625","-288.02789306640625"
"507","1015","1015","1015","-287.8033142089844","-287.8033142089844","-287.8033142089844"
"508","1017","1017","1017","-288.0841979980469","-288.0841979980469","-288.0841979980469"
"509","1019","1019","1019","-289.0093994140625","-289.0093994140625","-289.0093994140625"
"510","1021","1021","1021","-288.1915283203125","-288.1915283203125","-288.1915283203125"
"511","1023","1023","1023","-287.95831298828125","-287.95831298828125","-287.95831298828125"
"512","1025","1025","1025","-288.7412109375","-288.7412109375","-288.7412109375"
"513","1027","1027","1027","-288.8387451171875","-288.8387451171875","-288.8387451171875"
"514","1029","1029","1029","-287.7818298339844","-287.7818298339844","-287.7818298339844"
"515","1031","1031","1031","-288.41815185546875","-288.41815185546875","-288.41815185546875"
"516","1033","1033","1033","-287.8316955566406","-287.8316955566406","-287.8316955566406"
"517","1035","1035","1035","-287.8769226074219","-287.8769226074219","-287.8769226074219"
"518","1037","1037","1037","-288.22003173828125","-288.22003173828125","-288.22003173828125"
"519","1039","1039","1039","-287.9891662597656","-287.9891662597656","-287.9891662597656"
"520","1041","1041","1041","-288.146728515625","-288.146728515625","-288.146728515625"
"521","1043","1043","1043","-287.8608093261719","-287.8608093261719","-287.8608093261719"
"522","1045","1045","1045","-288.9635925292969","-288.9635925292969","-288.9635925292969"
"523","1047","1047","1047","-288.5189514160156","-288.5189514160156","-288.5189514160156"
"524","1049","1049","1049","-287.5411071777344","-287.5411071777344","-287.5411071777344"
"525","1051","1051","1051","-288.633544921875","-288.633544921875","-288.633544921875"
"526","1053","1053","1053","-288.6648864746094","-288.6648864746094","-288.6648864746094"
"527","1055","1055","1055","-288.12213134765625","-288.12213134765625","-288.12213134765625"
"528","1057","1057","1057","-289.7469482421875","-289.7469482421875","-289.7469482421875"
"529","1059","1059","1059","-288.2344665527344","-288.2344665527344","-288.2344665527344"
"530","1061","1061","1061","-288.4817199707031","-288.4817199707031","-288.4817199707031"
"531","1063","1063","1063","-288.8628234863281","-288.8628234863281","-288.8628234863281"
"532","1065","1065","1065","-287.969970703125","-287.969970703125","-287.969970703125"
"533","1067","1067","1067","-290.0648193359375","-290.0648193359375","-290.0648193359375"
"534","1069","1069","1069","-288.63458251953125","-288.63458251953125","-288.63458251953125"
"535","1071","1071","1071","-287.84259033203125","-287.84259033203125","-287.84259033203125"
"536","1073","1073","1073","-289.7479553222656","-289.7479553222656","-289.7479553222656"
"537","1075","1075","1075","-289.2216796875","-289.2216796875","-289.2216796875"
"538","1077","1077","1077","-289.3996887207031","-289.3996887207031","-289.3996887207031"
"539","1079","1079","1079","-288.9360656738281","-288.9360656738281","-288.9360656738281"
"540","1081","1081","1081","-289.77886962890625","-289.77886962890625","-289.77886962890625"
"541","1083","1083","1083","-288.9324645996094","-288.9324645996094","-288.9324645996094"
"542","1085","1085","1085","-289.0798034667969","-289.0798034667969","-289.0798034667969"
"543","1087","1087","1087","-288.537841796875","-288.537841796875","-288.537841796875"
"544","1089","1089","1089","-289.7773742675781","-289.7773742675781","-289.7773742675781"
"545","1091","1091","1091","-289.1067810058594","-289.1067810058594","-289.1067810058594"
"546","1093","1093","1093","-289.3246154785156","-289.3246154785156","-289.3246154785156"
"547","1095","1095","1095","-288.504150390625","-288.504150390625","-288.504150390625"
"548","1097","1097","1097","-289.2787780761719","-289.2787780761719","-289.2787780761719"
"549","1099","1099","1099","-289.088134765625","-289.088134765625","-289.088134765625"
"550","1101","1101","1101","-289.5621337890625","-289.5621337890625","-289.5621337890625"
"551","1103","1103","1103","-288.4743957519531","-288.4743957519531","-288.4743957519531"
"552","1105","1105","1105","-289.6836853027344","-289.6836853027344","-289.6836853027344"
"553","1107","1107","1107","-288.3647766113281","-288.3647766113281","-288.3647766113281"
"554","1109","1109","1109","-288.1531677246094","-288.1531677246094","-288.1531677246094"
"555","1111","1111","1111","-289.84283447265625","-289.84283447265625","-289.84283447265625"
"556","1113","1113","1113","-289.6351623535156","-289.6351623535156","-289.6351623535156"
"557","1115","1115","1115","-288.3080139160156","-288.3080139160156","-288.3080139160156"
"558","1117","1117","1117","-289.5390625","-289.5390625","-289.5390625"
"559","1119","1119","1119","-288.8007507324219","-288.8007507324219","-288.8007507324219"
"560","1121","1121","1121","-289.00372314453125","-289.00372314453125","-289.00372314453125"
"561","1123","1123","1123","-289.0736389160156","-289.0736389160156","-289.0736389160156"
"562","1125","1125","1125","-289.10009765625","-289.10009765625","-289.10009765625"
"563","1127","1127","1127","-289.16644287109375","-289.16644287109375","-289.16644287109375"
"564","1129","1129","1129","-288.0577697753906","-288.0577697753906","-288.0577697753906"
"565","1131","1131","1131","-289.9564208984375","-289.9564208984375","-289.9564208984375"
"566","1133","1133","1133","-288.3891906738281","-288.3891906738281","-288.3891906738281"
"567","1135","1135","1135","-289.57843017578125","-289.57843017578125","-289.57843017578125"
"568","1137","1137","1137","-288.7988586425781","-288.7988586425781","-288.7988586425781"
"569","1139","1139","1139","-288.66754150390625","-288.66754150390625","-288.66754150390625"
"570","1141","1141","1141","-289.40777587890625","-289.40777587890625","-289.40777587890625"
"571","1143","1143","1143","-287.9044494628906","-287.9044494628906","-287.9044494628906"
"572","1145","1145","1145","-288.3543701171875","-288.3543701171875","-288.3543701171875"
"573","1147","1147","1147","-289.467529296875","-289.467529296875","-289.467529296875"
"574","1149","1149","1149","-288.2703552246094","-288.2703552246094","-288.2703552246094"
"575","1151","1151","1151","-288.5634460449219","-288.5634460449219","-288.5634460449219"
"576","1153","1153","1153","-288.1717224121094","-288.1717224121094","-288.1717224121094"
"577","1155","1155","1155","-288.3912658691406","-288.3912658691406","-288.3912658691406"
"578","1157","1157","1157","-289.31781005859375","-289.31781005859375","-289.31781005859375"
"579","1159","1159","1159","-288.427490234375","-288.427490234375","-288.427490234375"
"580","1161","1161","1161","-288.8583679199219","-288.8583679199219","-288.8583679199219"
"581","1163","1163","1163","-289.9927673339844","-289.9927673339844","-289.9927673339844"
"582","1165","1165","1165","-288.9215393066406","-288.9215393066406","-288.9215393066406"
"583","1167","1167","1167","-289.01214599609375","-289.01214599609375","-289.01214599609375"
"584","1169","1169","1169","-288.7135009765625","-288.7135009765625","-288.7135009765625"
"585","1171","1171","1171","-289.47723388671875","-289.47723388671875","-289.47723388671875"
"586","1173","1173","1173","-288.569580078125","-288.569580078125","-288.569580078125"
"587","1175","1175","1175","-289.9692077636719","-289.9692077636719","-289.9692077636719"
"588","1177","1177","1177","-290.2223205566406","-290.2223205566406","-290.2223205566406"
"589","1179","1179","1179","-289.3309020996094","-289.3309020996094","-289.3309020996094"
"590","1181","1181","1181","-290.0215759277344","-290.0215759277344","-290.0215759277344"
"591","1183","1183","1183","-289.4433898925781","-289.4433898925781","-289.4433898925781"
"592","1185","1185","1185","-290.8720703125","-290.8720703125","-290.8720703125"
"593","1187","1187","1187","-290.33209228515625","-290.33209228515625","-290.33209228515625"
"594","1189","1189","1189","-291.0952453613281","-291.0952453613281","-291.0952453613281"
"595","1191","1191","1191","-290.2398376464844","-290.2398376464844","-290.2398376464844"
"596","1193","1193","1193","-291.9007263183594","-291.9007263183594","-291.9007263183594"
"597","1195","1195","1195","-291.0514221191406","-291.0514221191406","-291.0514221191406"
"598","1197","1197","1197","-290.98028564453125","-290.98028564453125","-290.98028564453125"
"599","1199","1199","1199","-291.8706970214844","-291.8706970214844","-291.8706970214844"
"600","1201","1201","1201","-291.31201171875","-291.31201171875","-291.31201171875"
"601","1203","1203","1203","-291.1172180175781","-291.1172180175781","-291.1172180175781"
"602","1205","1205","1205","-291.3280334472656","-291.3280334472656","-291.3280334472656"
"603","1207","1207","1207","-290.55645751953125","-290.55645751953125","-290.55645751953125"
"604","1209","1209","1209","-291.7781677246094","-291.7781677246094","-291.7781677246094"
"605","1211","1211","1211","-291.03973388671875","-291.03973388671875","-291.03973388671875"
"606","1213","1213","1213","-292.4834289550781","-292.4834289550781","-292.4834289550781"
"607","1215","1215","1215","-291.4182434082031","-291.4182434082031","-291.4182434082031"
"608","1217","1217","1217","-291.9491271972656","-291.9491271972656","-291.9491271972656"
"609","1219","1219","1219","-291.1183776855469","-291.1183776855469","-291.1183776855469"
"610","1221","1221","1221","-292.26690673828125","-292.26690673828125","-292.26690673828125"
"611","1223","1223","1223","-290.94366455078125","-290.94366455078125","-290.94366455078125"
"612","1225","1225","1225","-291.75396728515625","-291.75396728515625","-291.75396728515625"
"613","1227","1227","1227","-292.1510314941406","-292.1510314941406","-292.1510314941406"
"614","1229","1229","1229","-291.981689453125","-291.981689453125","-291.981689453125"
"615","1231","1231","1231","-291.948486328125","-291.948486328125","-291.948486328125"
"616","1233","1233","1233","-291.7297058105469","-291.7297058105469","-291.7297058105469"
"617","1235","1235","1235","-292.5565490722656","-292.5565490722656","-292.5565490722656"
"618","1237","1237","1237","-293.0135803222656","-293.0135803222656","-293.0135803222656"
"619","1239","1239","1239","-292.47393798828125","-292.47393798828125","-292.47393798828125"
"620","1241","1241","1241","-292.48797607421875","-292.48797607421875","-292.48797607421875"
"621","1243","1243","1243","-292.3000183105469","-292.3000183105469","-292.3000183105469"
"622","1245","1245","1245","-293.0343017578125","-293.0343017578125","-293.0343017578125"
"623","1247","1247","1247","-292.75537109375","-292.75537109375","-292.75537109375"
"624","1249","1249","1249","-292.64251708984375","-292.64251708984375","-292.64251708984375"
"625","1251","1251","1251","-293.72528076171875","-293.72528076171875","-293.72528076171875"
"626","1253","1253","1253","-292.0850524902344","-292.0850524902344","-292.0850524902344"
"627","1255","1255","1255","-294.6439208984375","-294.6439208984375","-294.6439208984375"
"628","1257","1257","1257","-293.2112731933594","-293.2112731933594","-293.2112731933594"
"629","1259","1259","1259","-294.2347106933594","-294.2347106933594","-294.2347106933594"
"630","1261","1261","1261","-294.0380554199219","-294.0380554199219","-294.0380554199219"
"631","1263","1263","1263","-293.8854675292969","-293.8854675292969","-293.8854675292969"
"632","1265","1265","1265","-293.45428466796875","-293.45428466796875","-293.45428466796875"
"633","1267","1267","1267","-292.51129150390625","-292.51129150390625","-292.51129150390625"
"634","1269","1269","1269","-293.8139343261719","-293.8139343261719","-293.8139343261719"
"635","1271","1271","1271","-294.0091552734375","-294.0091552734375","-294.0091552734375"
"636","1273","1273","1273","-292.92169189453125","-292.92169189453125","-292.92169189453125"
"637","1275","1275","1275","-292.8812561035156","-292.8812561035156","-292.8812561035156"
"638","1277","1277","1277","-293.3170166015625","-293.3170166015625","-293.3170166015625"
"639","1279","1279","1279","-292.97723388671875","-292.97723388671875","-292.97723388671875"
"640","1281","1281","1281","-293.0304870605469","-293.0304870605469","-293.0304870605469"
"641","1283","1283","1283","-292.97247314453125","-292.97247314453125","-292.97247314453125"
"642","1285","1285","1285","-292.95977783203125","-292.95977783203125","-292.95977783203125"
"643","1287","1287","1287","-293.6712341308594","-293.6712341308594","-293.6712341308594"
"644","1289","1289","1289","-292.8224792480469","-292.8224792480469","-292.8224792480469"
"645","1291","1291","1291","-293.2744445800781","-293.2744445800781","-293.2744445800781"
"646","1293","1293","1293","-293.0127258300781","-293.0127258300781","-293.0127258300781"
"647","1295","1295","1295","-293.1044921875","-293.1044921875","-293.1044921875"
"648","1297","1297","1297","-293.2797546386719","-293.2797546386719","-293.2797546386719"
"649","1299","1299","1299","-292.1605224609375","-292.1605224609375","-292.1605224609375"
"650","1301","1301","1301","-293.78497314453125","-293.78497314453125","-293.78497314453125"
"651","1303","1303","1303","-292.7996826171875","-292.7996826171875","-292.7996826171875"
"652","1305","1305","1305","-292.9909362792969","-292.9909362792969","-292.9909362792969"
"653","1307","1307","1307","-292.0666198730469","-292.0666198730469","-292.0666198730469"
"654","1309","1309","1309","-294.1458740234375","-294.1458740234375","-294.1458740234375"
"655","1311","1311","1311","-292.4669189453125","-292.4669189453125","-292.4669189453125"
"656","1313","1313","1313","-293.33941650390625","-293.33941650390625","-293.33941650390625"
"657","1315","1315","1315","-292.5835266113281","-292.5835266113281","-292.5835266113281"
"658","1317","1317","1317","-293.08599853515625","-293.08599853515625","-293.08599853515625"
"659","1319","1319","1319","-293.6410217285156","-293.6410217285156","-293.6410217285156"
"660","1321","1321","1321","-293.9595642089844","-293.9595642089844","-293.9595642089844"
"661","1323","1323","1323","-293.1502990722656","-293.1502990722656","-293.1502990722656"
"662","1325","1325","1325","-291.9597473144531","-291.9597473144531","-291.9597473144531"
"663","1327","1327","1327","-293.9819641113281","-293.9819641113281","-293.9819641113281"
"664","1329","1329","1329","-292.26885986328125","-292.26885986328125","-292.26885986328125"
"665","1331","1331","1331","-293.5546569824219","-293.5546569824219","-293.5546569824219"
"666","1333","1333","1333","-292.91925048828125","-292.91925048828125","-292.91925048828125"
"667","1335","1335","1335","-292.3048400878906","-292.3048400878906","-292.3048400878906"
"668","1337","1337","1337","-292.3906555175781","-292.3906555175781","-292.3906555175781"
"669","1339","1339","1339","-293.2041931152344","-293.2041931152344","-293.2041931152344"
"670","1341","1341","1341","-293.3954162597656","-293.3954162597656","-293.3954162597656"
"671","1343","1343","1343","-293.06195068359375","-293.06195068359375","-293.06195068359375"
"672","1345","1345","1345","-293.82879638671875","-293.82879638671875","-293.82879638671875"
"673","1347","1347","1347","-293.78594970703125","-293.78594970703125","-293.78594970703125"
"674","1349","1349","1349","-292.9332275390625","-292.9332275390625","-292.9332275390625"
"675","1351","1351","1351","-293.1032409667969","-293.1032409667969","-293.1032409667969"
"676","1353","1353","1353","-294.3341979980469","-294.3341979980469","-294.3341979980469"
"677","1355","1355","1355","-293.0547790527344","-293.0547790527344","-293.0547790527344"
"678","1357","1357","1357","-293.365478515625","-293.365478515625","-293.365478515625"
"679","1359","1359","1359","-293.268798828125","-293.268798828125","-293.268798828125"
"680","1361","1361","1361","-293.4158630371094","-293.4158630371094","-293.4158630371094"
"681","1363","1363","1363","-293.17724609375","-293.17724609375","-293.17724609375"
"682","1365","1365","1365","-293.25823974609375","-293.25823974609375","-293.25823974609375"
"683","1367","1367","1367","-292.5023498535156","-292.5023498535156","-292.5023498535156"
"684","1369","1369","1369","-294.0333251953125","-294.0333251953125","-294.0333251953125"
"685","1371","1371","1371","-293.0730895996094","-293.0730895996094","-293.0730895996094"
"686","1373","1373","1373","-293.5247802734375","-293.5247802734375","-293.5247802734375"
"687","1375","1375","1375","-292.80889892578125","-292.80889892578125","-292.80889892578125"
"688","1377","1377","1377","-293.58587646484375","-293.58587646484375","-293.58587646484375"
"689","1379","1379","1379","-293.7547912597656","-293.7547912597656","-293.7547912597656"
"690","1381","1381","1381","-293.63232421875","-293.63232421875","-293.63232421875"
"691","1383","1383","1383","-292.79034423828125","-292.79034423828125","-292.79034423828125"
"692","1385","1385","1385","-293.51959228515625","-293.51959228515625","-293.51959228515625"
"693","1387","1387","1387","-294.1859436035156","-294.1859436035156","-294.1859436035156"
"694","1389","1389","1389","-293.9151916503906","-293.9151916503906","-293.9151916503906"
"695","1391","1391","1391","-295.1228942871094","-295.1228942871094","-295.1228942871094"
"696","1393","1393","1393","-293.5856018066406","-293.5856018066406","-293.5856018066406"
"697","1395","1395","1395","-293.8052673339844","-293.8052673339844","-293.8052673339844"
"698","1397","1397","1397","-294.8361511230469","-294.8361511230469","-294.8361511230469"
"699","1399","1399","1399","-294.21978759765625","-294.21978759765625","-294.21978759765625"
"700","1401","1401","1401","-294.884521484375","-294.884521484375","-294.884521484375"
"701","1403","1403","1403","-293.5998840332031","-293.5998840332031","-293.5998840332031"
"702","1405","1405","1405","-293.8982238769531","-293.8982238769531","-293.8982238769531"
"703","1407","1407","1407","-294.3409423828125","-294.3409423828125","-294.3409423828125"
"704","1409","1409","1409","-295.87744140625","-295.87744140625","-295.87744140625"
"705","1411","1411","1411","-294.2748718261719","-294.2748718261719","-294.2748718261719"
"706","1413","1413","1413","-294.0290222167969","-294.0290222167969","-294.0290222167969"
"707","1415","1415","1415","-294.8656921386719","-294.8656921386719","-294.8656921386719"
"708","1417","1417","1417","-294.3481140136719","-294.3481140136719","-294.3481140136719"
"709","1419","1419","1419","-295.54315185546875","-295.54315185546875","-295.54315185546875"
"710","1421","1421","1421","-293.69000244140625","-293.69000244140625","-293.69000244140625"
"711","1423","1423","1423","-294.4595642089844","-294.4595642089844","-294.4595642089844"
"712","1425","1425","1425","-295.0896301269531","-295.0896301269531","-295.0896301269531"
"713","1427","1427","1427","-294.1324768066406","-294.1324768066406","-294.1324768066406"
"714","1429","1429","1429","-294.7065734863281","-294.7065734863281","-294.7065734863281"
"715","1431","1431","1431","-294.5069885253906","-294.5069885253906","-294.5069885253906"
"716","1433","1433","1433","-294.0691223144531","-294.0691223144531","-294.0691223144531"
"717","1435","1435","1435","-294.5041198730469","-294.5041198730469","-294.5041198730469"
"718","1437","1437","1437","-295.5213623046875","-295.5213623046875","-295.5213623046875"
"719","1439","1439","1439","-295.5839538574219","-295.5839538574219","-295.5839538574219"
"720","1441","1441","1441","-293.7527160644531","-293.7527160644531","-293.7527160644531"
"721","1443","1443","1443","-295.1693420410156","-295.1693420410156","-295.1693420410156"
"722","1445","1445","1445","-294.2433166503906","-294.2433166503906","-294.2433166503906"
"723","1447","1447","1447","-294.3770446777344","-294.3770446777344","-294.3770446777344"
"724","1449","1449","1449","-294.2474670410156","-294.2474670410156","-294.2474670410156"
"725","1451","1451","1451","-295.2885437011719","-295.2885437011719","-295.2885437011719"
