"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Real","18/04 13:01:40 - training only discriminator - D_Real__MIN","18/04 13:01:40 - training only discriminator - D_Real__MAX"
"83","167","167","167","-283.3603515625","-283.3603515625","-283.3603515625"
"84","169","169","169","-283.85870361328125","-283.85870361328125","-283.85870361328125"
"85","171","171","171","-282.9615173339844","-282.9615173339844","-282.9615173339844"
"86","173","173","173","-282.6026611328125","-282.6026611328125","-282.6026611328125"
"87","175","175","175","-283.6044006347656","-283.6044006347656","-283.6044006347656"
"88","177","177","177","-283.1715393066406","-283.1715393066406","-283.1715393066406"
"89","179","179","179","-284.2086486816406","-284.2086486816406","-284.2086486816406"
"90","181","181","181","-283.4720153808594","-283.4720153808594","-283.4720153808594"
"91","183","183","183","-282.86505126953125","-282.86505126953125","-282.86505126953125"
"92","185","185","185","-282.9193115234375","-282.9193115234375","-282.9193115234375"
"93","187","187","187","-282.8258361816406","-282.8258361816406","-282.8258361816406"
"94","189","189","189","-283.55657958984375","-283.55657958984375","-283.55657958984375"
"95","191","191","191","-282.8789367675781","-282.8789367675781","-282.8789367675781"
"96","193","193","193","-283.1092529296875","-283.1092529296875","-283.1092529296875"
"97","195","195","195","-283.5963439941406","-283.5963439941406","-283.5963439941406"
"98","197","197","197","-282.3265380859375","-282.3265380859375","-282.3265380859375"
"99","199","199","199","-282.4357604980469","-282.4357604980469","-282.4357604980469"
"100","201","201","201","-282.6953125","-282.6953125","-282.6953125"
"101","203","203","203","-283.4864807128906","-283.4864807128906","-283.4864807128906"
"102","205","205","205","-283.6014099121094","-283.6014099121094","-283.6014099121094"
"103","207","207","207","-282.3973083496094","-282.3973083496094","-282.3973083496094"
"104","209","209","209","-283.08953857421875","-283.08953857421875","-283.08953857421875"
"105","211","211","211","-282.0617370605469","-282.0617370605469","-282.0617370605469"
"106","213","213","213","-283.6174011230469","-283.6174011230469","-283.6174011230469"
"107","215","215","215","-281.9717102050781","-281.9717102050781","-281.9717102050781"
"108","217","217","217","-283.6239929199219","-283.6239929199219","-283.6239929199219"
"109","219","219","219","-283.8208923339844","-283.8208923339844","-283.8208923339844"
"110","221","221","221","-283.3948974609375","-283.3948974609375","-283.3948974609375"
"111","223","223","223","-283.7906188964844","-283.7906188964844","-283.7906188964844"
"112","225","225","225","-282.56610107421875","-282.56610107421875","-282.56610107421875"
"113","227","227","227","-283.7060852050781","-283.7060852050781","-283.7060852050781"
"114","229","229","229","-282.95819091796875","-282.95819091796875","-282.95819091796875"
"115","231","231","231","-283.85565185546875","-283.85565185546875","-283.85565185546875"
"116","233","233","233","-283.87347412109375","-283.87347412109375","-283.87347412109375"
"117","235","235","235","-283.0728454589844","-283.0728454589844","-283.0728454589844"
"118","237","237","237","-283.33135986328125","-283.33135986328125","-283.33135986328125"
"119","239","239","239","-284.8778381347656","-284.8778381347656","-284.8778381347656"
"120","241","241","241","-283.6250305175781","-283.6250305175781","-283.6250305175781"
"121","243","243","243","-283.8861083984375","-283.8861083984375","-283.8861083984375"
"122","245","245","245","-283.2944030761719","-283.2944030761719","-283.2944030761719"
"123","247","247","247","-283.7372131347656","-283.7372131347656","-283.7372131347656"
"124","249","249","249","-283.7889404296875","-283.7889404296875","-283.7889404296875"
"125","251","251","251","-283.7590637207031","-283.7590637207031","-283.7590637207031"
"126","253","253","253","-284.0898742675781","-284.0898742675781","-284.0898742675781"
"127","255","255","255","-284.45294189453125","-284.45294189453125","-284.45294189453125"
"128","257","257","257","-283.230224609375","-283.230224609375","-283.230224609375"
"129","259","259","259","-283.86822509765625","-283.86822509765625","-283.86822509765625"
"130","261","261","261","-285.308837890625","-285.308837890625","-285.308837890625"
"131","263","263","263","-283.1474914550781","-283.1474914550781","-283.1474914550781"
"132","265","265","265","-284.32196044921875","-284.32196044921875","-284.32196044921875"
"133","267","267","267","-283.337646484375","-283.337646484375","-283.337646484375"
"134","269","269","269","-283.12530517578125","-283.12530517578125","-283.12530517578125"
"135","271","271","271","-283.37103271484375","-283.37103271484375","-283.37103271484375"
"136","273","273","273","-283.1353759765625","-283.1353759765625","-283.1353759765625"
"137","275","275","275","-283.9605712890625","-283.9605712890625","-283.9605712890625"
"138","277","277","277","-283.8927001953125","-283.8927001953125","-283.8927001953125"
"139","279","279","279","-283.1916198730469","-283.1916198730469","-283.1916198730469"
"140","281","281","281","-283.705078125","-283.705078125","-283.705078125"
"141","283","283","283","-283.9160461425781","-283.9160461425781","-283.9160461425781"
"142","285","285","285","-283.8827819824219","-283.8827819824219","-283.8827819824219"
"143","287","287","287","-284.4771423339844","-284.4771423339844","-284.4771423339844"
"144","289","289","289","-283.996826171875","-283.996826171875","-283.996826171875"
"145","291","291","291","-284.4559631347656","-284.4559631347656","-284.4559631347656"
"146","293","293","293","-283.8125915527344","-283.8125915527344","-283.8125915527344"
"147","295","295","295","-284.99041748046875","-284.99041748046875","-284.99041748046875"
"148","297","297","297","-283.3536071777344","-283.3536071777344","-283.3536071777344"
"149","299","299","299","-284.7094421386719","-284.7094421386719","-284.7094421386719"
"150","301","301","301","-284.4959716796875","-284.4959716796875","-284.4959716796875"
"151","303","303","303","-284.5795593261719","-284.5795593261719","-284.5795593261719"
"152","305","305","305","-284.1986389160156","-284.1986389160156","-284.1986389160156"
"153","307","307","307","-284.8581237792969","-284.8581237792969","-284.8581237792969"
"154","309","309","309","-284.492919921875","-284.492919921875","-284.492919921875"
"155","311","311","311","-285.4239196777344","-285.4239196777344","-285.4239196777344"
"156","313","313","313","-284.2045593261719","-284.2045593261719","-284.2045593261719"
"157","315","315","315","-284.8233337402344","-284.8233337402344","-284.8233337402344"
"158","317","317","317","-283.7988586425781","-283.7988586425781","-283.7988586425781"
"159","319","319","319","-285.532958984375","-285.532958984375","-285.532958984375"
"160","321","321","321","-284.6048278808594","-284.6048278808594","-284.6048278808594"
"161","323","323","323","-284.3194885253906","-284.3194885253906","-284.3194885253906"
"162","325","325","325","-284.81201171875","-284.81201171875","-284.81201171875"
"163","327","327","327","-284.5097961425781","-284.5097961425781","-284.5097961425781"
"164","329","329","329","-285.0569152832031","-285.0569152832031","-285.0569152832031"
"165","331","331","331","-284.1024169921875","-284.1024169921875","-284.1024169921875"
"166","333","333","333","-285.42974853515625","-285.42974853515625","-285.42974853515625"
"167","335","335","335","-285.4049377441406","-285.4049377441406","-285.4049377441406"
"168","337","337","337","-284.3768310546875","-284.3768310546875","-284.3768310546875"
"169","339","339","339","-285.12652587890625","-285.12652587890625","-285.12652587890625"
"170","341","341","341","-285.0914306640625","-285.0914306640625","-285.0914306640625"
"171","343","343","343","-284.36083984375","-284.36083984375","-284.36083984375"
"172","345","345","345","-285.2309265136719","-285.2309265136719","-285.2309265136719"
"173","347","347","347","-285.7747497558594","-285.7747497558594","-285.7747497558594"
"174","349","349","349","-285.8603820800781","-285.8603820800781","-285.8603820800781"
"175","351","351","351","-286.0927429199219","-286.0927429199219","-286.0927429199219"
"176","353","353","353","-285.4486999511719","-285.4486999511719","-285.4486999511719"
"177","355","355","355","-285.2890930175781","-285.2890930175781","-285.2890930175781"
"178","357","357","357","-285.8101806640625","-285.8101806640625","-285.8101806640625"
"179","359","359","359","-284.8121337890625","-284.8121337890625","-284.8121337890625"
"180","361","361","361","-286.48907470703125","-286.48907470703125","-286.48907470703125"
"181","363","363","363","-285.652099609375","-285.652099609375","-285.652099609375"
"182","365","365","365","-285.6253662109375","-285.6253662109375","-285.6253662109375"
"183","367","367","367","-285.9584045410156","-285.9584045410156","-285.9584045410156"
"184","369","369","369","-286.51251220703125","-286.51251220703125","-286.51251220703125"
"185","371","371","371","-285.6600036621094","-285.6600036621094","-285.6600036621094"
"186","373","373","373","-286.28033447265625","-286.28033447265625","-286.28033447265625"
"187","375","375","375","-285.605712890625","-285.605712890625","-285.605712890625"
"188","377","377","377","-285.7228698730469","-285.7228698730469","-285.7228698730469"
"189","379","379","379","-285.4370422363281","-285.4370422363281","-285.4370422363281"
"190","381","381","381","-287.0613708496094","-287.0613708496094","-287.0613708496094"
"191","383","383","383","-285.94598388671875","-285.94598388671875","-285.94598388671875"
"192","385","385","385","-285.71923828125","-285.71923828125","-285.71923828125"
"193","387","387","387","-286.0277404785156","-286.0277404785156","-286.0277404785156"
"194","389","389","389","-284.7176818847656","-284.7176818847656","-284.7176818847656"
"195","391","391","391","-286.1974182128906","-286.1974182128906","-286.1974182128906"
"196","393","393","393","-286.0487976074219","-286.0487976074219","-286.0487976074219"
