"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Loss","18/04 13:01:40 - training only discriminator - D_Loss__MIN","18/04 13:01:40 - training only discriminator - D_Loss__MAX"
"363","727","727","727","-236.73431396484375","-236.73431396484375","-236.73431396484375"
"364","729","729","729","-236.37454223632812","-236.37454223632812","-236.37454223632812"
"365","731","731","731","-236.5232391357422","-236.5232391357422","-236.5232391357422"
"366","733","733","733","-236.60740661621094","-236.60740661621094","-236.60740661621094"
"367","735","735","735","-236.75009155273438","-236.75009155273438","-236.75009155273438"
"368","737","737","737","-236.49278259277344","-236.49278259277344","-236.49278259277344"
"369","739","739","739","-236.99594116210938","-236.99594116210938","-236.99594116210938"
"370","741","741","741","-236.15663146972656","-236.15663146972656","-236.15663146972656"
"371","743","743","743","-236.037841796875","-236.037841796875","-236.037841796875"
"372","745","745","745","-237.31390380859375","-237.31390380859375","-237.31390380859375"
"373","747","747","747","-237.08082580566406","-237.08082580566406","-237.08082580566406"
"374","749","749","749","-236.68951416015625","-236.68951416015625","-236.68951416015625"
"375","751","751","751","-236.7057647705078","-236.7057647705078","-236.7057647705078"
"376","753","753","753","-236.68362426757812","-236.68362426757812","-236.68362426757812"
"377","755","755","755","-236.8575439453125","-236.8575439453125","-236.8575439453125"
"378","757","757","757","-236.66615295410156","-236.66615295410156","-236.66615295410156"
"379","759","759","759","-237.00401306152344","-237.00401306152344","-237.00401306152344"
"380","761","761","761","-236.9684295654297","-236.9684295654297","-236.9684295654297"
"381","763","763","763","-237.33384704589844","-237.33384704589844","-237.33384704589844"
"382","765","765","765","-236.51097106933594","-236.51097106933594","-236.51097106933594"
"383","767","767","767","-236.44314575195312","-236.44314575195312","-236.44314575195312"
"384","769","769","769","-236.99034118652344","-236.99034118652344","-236.99034118652344"
"385","771","771","771","-237.0475616455078","-237.0475616455078","-237.0475616455078"
"386","773","773","773","-237.2780303955078","-237.2780303955078","-237.2780303955078"
"387","775","775","775","-237.1597442626953","-237.1597442626953","-237.1597442626953"
"388","777","777","777","-237.3838653564453","-237.3838653564453","-237.3838653564453"
"389","779","779","779","-237.15589904785156","-237.15589904785156","-237.15589904785156"
"390","781","781","781","-237.3475799560547","-237.3475799560547","-237.3475799560547"
"391","783","783","783","-237.0832977294922","-237.0832977294922","-237.0832977294922"
"392","785","785","785","-237.09312438964844","-237.09312438964844","-237.09312438964844"
"393","787","787","787","-237.98646545410156","-237.98646545410156","-237.98646545410156"
"394","789","789","789","-237.40283203125","-237.40283203125","-237.40283203125"
"395","791","791","791","-237.46510314941406","-237.46510314941406","-237.46510314941406"
"396","793","793","793","-236.96527099609375","-236.96527099609375","-236.96527099609375"
"397","795","795","795","-236.77020263671875","-236.77020263671875","-236.77020263671875"
"398","797","797","797","-237.55294799804688","-237.55294799804688","-237.55294799804688"
"399","799","799","799","-236.9188995361328","-236.9188995361328","-236.9188995361328"
"400","801","801","801","-237.00172424316406","-237.00172424316406","-237.00172424316406"
"401","803","803","803","-237.734375","-237.734375","-237.734375"
"402","805","805","805","-236.84820556640625","-236.84820556640625","-236.84820556640625"
"403","807","807","807","-237.75343322753906","-237.75343322753906","-237.75343322753906"
"404","809","809","809","-237.7394561767578","-237.7394561767578","-237.7394561767578"
"405","811","811","811","-237.3046112060547","-237.3046112060547","-237.3046112060547"
"406","813","813","813","-237.50352478027344","-237.50352478027344","-237.50352478027344"
"407","815","815","815","-238.06300354003906","-238.06300354003906","-238.06300354003906"
"408","817","817","817","-237.4940185546875","-237.4940185546875","-237.4940185546875"
"409","819","819","819","-236.6697998046875","-236.6697998046875","-236.6697998046875"
"410","821","821","821","-237.60557556152344","-237.60557556152344","-237.60557556152344"
"411","823","823","823","-237.6844482421875","-237.6844482421875","-237.6844482421875"
"412","825","825","825","-237.3930206298828","-237.3930206298828","-237.3930206298828"
"413","827","827","827","-237.24534606933594","-237.24534606933594","-237.24534606933594"
"414","829","829","829","-237.3291473388672","-237.3291473388672","-237.3291473388672"
"415","831","831","831","-237.6295623779297","-237.6295623779297","-237.6295623779297"
"416","833","833","833","-238.27243041992188","-238.27243041992188","-238.27243041992188"
"417","835","835","835","-237.95977783203125","-237.95977783203125","-237.95977783203125"
"418","837","837","837","-237.5284881591797","-237.5284881591797","-237.5284881591797"
"419","839","839","839","-237.6048126220703","-237.6048126220703","-237.6048126220703"
"420","841","841","841","-237.17111206054688","-237.17111206054688","-237.17111206054688"
"421","843","843","843","-237.91537475585938","-237.91537475585938","-237.91537475585938"
"422","845","845","845","-237.44825744628906","-237.44825744628906","-237.44825744628906"
"423","847","847","847","-238.0465087890625","-238.0465087890625","-238.0465087890625"
"424","849","849","849","-237.57740783691406","-237.57740783691406","-237.57740783691406"
"425","851","851","851","-237.75706481933594","-237.75706481933594","-237.75706481933594"
"426","853","853","853","-238.549560546875","-238.549560546875","-238.549560546875"
"427","855","855","855","-238.22998046875","-238.22998046875","-238.22998046875"
"428","857","857","857","-237.6787109375","-237.6787109375","-237.6787109375"
"429","859","859","859","-237.50271606445312","-237.50271606445312","-237.50271606445312"
"430","861","861","861","-238.0926513671875","-238.0926513671875","-238.0926513671875"
"431","863","863","863","-237.77557373046875","-237.77557373046875","-237.77557373046875"
"432","865","865","865","-237.5102081298828","-237.5102081298828","-237.5102081298828"
"433","867","867","867","-237.71075439453125","-237.71075439453125","-237.71075439453125"
"434","869","869","869","-238.10699462890625","-238.10699462890625","-238.10699462890625"
"435","871","871","871","-238.22415161132812","-238.22415161132812","-238.22415161132812"
"436","873","873","873","-237.75375366210938","-237.75375366210938","-237.75375366210938"
"437","875","875","875","-237.5305633544922","-237.5305633544922","-237.5305633544922"
"438","877","877","877","-237.48309326171875","-237.48309326171875","-237.48309326171875"
"439","879","879","879","-237.81617736816406","-237.81617736816406","-237.81617736816406"
"440","881","881","881","-238.14068603515625","-238.14068603515625","-238.14068603515625"
"441","883","883","883","-237.49142456054688","-237.49142456054688","-237.49142456054688"
"442","885","885","885","-238.2522430419922","-238.2522430419922","-238.2522430419922"
"443","887","887","887","-238.59820556640625","-238.59820556640625","-238.59820556640625"
"444","889","889","889","-237.94964599609375","-237.94964599609375","-237.94964599609375"
"445","891","891","891","-238.0371856689453","-238.0371856689453","-238.0371856689453"
"446","893","893","893","-237.8185577392578","-237.8185577392578","-237.8185577392578"
"447","895","895","895","-238.52349853515625","-238.52349853515625","-238.52349853515625"
"448","897","897","897","-238.1432342529297","-238.1432342529297","-238.1432342529297"
"449","899","899","899","-237.80767822265625","-237.80767822265625","-237.80767822265625"
"450","901","901","901","-237.9427490234375","-237.9427490234375","-237.9427490234375"
"451","903","903","903","-238.0498809814453","-238.0498809814453","-238.0498809814453"
"452","905","905","905","-238.51683044433594","-238.51683044433594","-238.51683044433594"
"453","907","907","907","-238.08380126953125","-238.08380126953125","-238.08380126953125"
"454","909","909","909","-238.0516357421875","-238.0516357421875","-238.0516357421875"
"455","911","911","911","-237.9305877685547","-237.9305877685547","-237.9305877685547"
"456","913","913","913","-237.333740234375","-237.333740234375","-237.333740234375"
"457","915","915","915","-237.7029266357422","-237.7029266357422","-237.7029266357422"
"458","917","917","917","-238.2251434326172","-238.2251434326172","-238.2251434326172"
"459","919","919","919","-238.16893005371094","-238.16893005371094","-238.16893005371094"
"460","921","921","921","-237.77967834472656","-237.77967834472656","-237.77967834472656"
"461","923","923","923","-238.2332305908203","-238.2332305908203","-238.2332305908203"
"462","925","925","925","-238.35494995117188","-238.35494995117188","-238.35494995117188"
"463","927","927","927","-237.6444091796875","-237.6444091796875","-237.6444091796875"
"464","929","929","929","-238.58517456054688","-238.58517456054688","-238.58517456054688"
"465","931","931","931","-237.92811584472656","-237.92811584472656","-237.92811584472656"
"466","933","933","933","-238.0186309814453","-238.0186309814453","-238.0186309814453"
"467","935","935","935","-238.64068603515625","-238.64068603515625","-238.64068603515625"
"468","937","937","937","-238.62982177734375","-238.62982177734375","-238.62982177734375"
"469","939","939","939","-238.20909118652344","-238.20909118652344","-238.20909118652344"
"470","941","941","941","-238.8187255859375","-238.8187255859375","-238.8187255859375"
"471","943","943","943","-238.7403564453125","-238.7403564453125","-238.7403564453125"
"472","945","945","945","-238.57473754882812","-238.57473754882812","-238.57473754882812"
"473","947","947","947","-238.23370361328125","-238.23370361328125","-238.23370361328125"
"474","949","949","949","-237.97592163085938","-237.97592163085938","-237.97592163085938"
"475","951","951","951","-238.6218719482422","-238.6218719482422","-238.6218719482422"
"476","953","953","953","-238.3037109375","-238.3037109375","-238.3037109375"
"477","955","955","955","-238.60791015625","-238.60791015625","-238.60791015625"
"478","957","957","957","-238.2811279296875","-238.2811279296875","-238.2811279296875"
"479","959","959","959","-238.4641876220703","-238.4641876220703","-238.4641876220703"
"480","961","961","961","-238.11019897460938","-238.11019897460938","-238.11019897460938"
"481","963","963","963","-238.3015899658203","-238.3015899658203","-238.3015899658203"
"482","965","965","965","-238.41708374023438","-238.41708374023438","-238.41708374023438"
"483","967","967","967","-238.31004333496094","-238.31004333496094","-238.31004333496094"
"484","969","969","969","-238.05787658691406","-238.05787658691406","-238.05787658691406"
"485","971","971","971","-237.71258544921875","-237.71258544921875","-237.71258544921875"
"486","973","973","973","-238.2065887451172","-238.2065887451172","-238.2065887451172"
"487","975","975","975","-238.060302734375","-238.060302734375","-238.060302734375"
"488","977","977","977","-237.95799255371094","-237.95799255371094","-237.95799255371094"
"489","979","979","979","-238.7048797607422","-238.7048797607422","-238.7048797607422"
"490","981","981","981","-238.52621459960938","-238.52621459960938","-238.52621459960938"
"491","983","983","983","-238.17955017089844","-238.17955017089844","-238.17955017089844"
"492","985","985","985","-238.54635620117188","-238.54635620117188","-238.54635620117188"
"493","987","987","987","-238.84532165527344","-238.84532165527344","-238.84532165527344"
"494","989","989","989","-238.11129760742188","-238.11129760742188","-238.11129760742188"
"495","991","991","991","-238.23239135742188","-238.23239135742188","-238.23239135742188"
"496","993","993","993","-238.3960723876953","-238.3960723876953","-238.3960723876953"
"497","995","995","995","-238.99508666992188","-238.99508666992188","-238.99508666992188"
"498","997","997","997","-239.07843017578125","-239.07843017578125","-239.07843017578125"
"499","999","999","999","-238.37164306640625","-238.37164306640625","-238.37164306640625"
"500","1001","1001","1001","-238.60475158691406","-238.60475158691406","-238.60475158691406"
"501","1003","1003","1003","-238.6378631591797","-238.6378631591797","-238.6378631591797"
"502","1005","1005","1005","-238.5434112548828","-238.5434112548828","-238.5434112548828"
"503","1007","1007","1007","-238.44320678710938","-238.44320678710938","-238.44320678710938"
"504","1009","1009","1009","-239.02377319335938","-239.02377319335938","-239.02377319335938"
"505","1011","1011","1011","-238.55929565429688","-238.55929565429688","-238.55929565429688"
"506","1013","1013","1013","-238.54067993164062","-238.54067993164062","-238.54067993164062"
"507","1015","1015","1015","-239.14068603515625","-239.14068603515625","-239.14068603515625"
"508","1017","1017","1017","-237.8352508544922","-237.8352508544922","-237.8352508544922"
"509","1019","1019","1019","-238.8477325439453","-238.8477325439453","-238.8477325439453"
"510","1021","1021","1021","-238.97328186035156","-238.97328186035156","-238.97328186035156"
"511","1023","1023","1023","-238.57351684570312","-238.57351684570312","-238.57351684570312"
"512","1025","1025","1025","-237.93551635742188","-237.93551635742188","-237.93551635742188"
"513","1027","1027","1027","-238.3104705810547","-238.3104705810547","-238.3104705810547"
"514","1029","1029","1029","-238.5943603515625","-238.5943603515625","-238.5943603515625"
"515","1031","1031","1031","-238.5142364501953","-238.5142364501953","-238.5142364501953"
"516","1033","1033","1033","-238.55807495117188","-238.55807495117188","-238.55807495117188"
"517","1035","1035","1035","-239.12379455566406","-239.12379455566406","-239.12379455566406"
"518","1037","1037","1037","-239.10879516601562","-239.10879516601562","-239.10879516601562"
"519","1039","1039","1039","-238.80104064941406","-238.80104064941406","-238.80104064941406"
"520","1041","1041","1041","-238.5818634033203","-238.5818634033203","-238.5818634033203"
"521","1043","1043","1043","-238.92581176757812","-238.92581176757812","-238.92581176757812"
"522","1045","1045","1045","-238.52389526367188","-238.52389526367188","-238.52389526367188"
"523","1047","1047","1047","-238.976318359375","-238.976318359375","-238.976318359375"
"524","1049","1049","1049","-239.2422637939453","-239.2422637939453","-239.2422637939453"
"525","1051","1051","1051","-238.6082763671875","-238.6082763671875","-238.6082763671875"
"526","1053","1053","1053","-238.67877197265625","-238.67877197265625","-238.67877197265625"
"527","1055","1055","1055","-238.42518615722656","-238.42518615722656","-238.42518615722656"
"528","1057","1057","1057","-238.20433044433594","-238.20433044433594","-238.20433044433594"
"529","1059","1059","1059","-238.54945373535156","-238.54945373535156","-238.54945373535156"
"530","1061","1061","1061","-238.70077514648438","-238.70077514648438","-238.70077514648438"
"531","1063","1063","1063","-238.791748046875","-238.791748046875","-238.791748046875"
"532","1065","1065","1065","-238.59234619140625","-238.59234619140625","-238.59234619140625"
"533","1067","1067","1067","-238.5722198486328","-238.5722198486328","-238.5722198486328"
"534","1069","1069","1069","-239.01426696777344","-239.01426696777344","-239.01426696777344"
"535","1071","1071","1071","-238.59710693359375","-238.59710693359375","-238.59710693359375"
"536","1073","1073","1073","-239.72698974609375","-239.72698974609375","-239.72698974609375"
"537","1075","1075","1075","-239.33248901367188","-239.33248901367188","-239.33248901367188"
"538","1077","1077","1077","-239.36944580078125","-239.36944580078125","-239.36944580078125"
"539","1079","1079","1079","-239.07444763183594","-239.07444763183594","-239.07444763183594"
"540","1081","1081","1081","-239.55990600585938","-239.55990600585938","-239.55990600585938"
"541","1083","1083","1083","-239.23011779785156","-239.23011779785156","-239.23011779785156"
"542","1085","1085","1085","-238.70742797851562","-238.70742797851562","-238.70742797851562"
"543","1087","1087","1087","-238.55316162109375","-238.55316162109375","-238.55316162109375"
"544","1089","1089","1089","-239.6311798095703","-239.6311798095703","-239.6311798095703"
"545","1091","1091","1091","-239.87889099121094","-239.87889099121094","-239.87889099121094"
"546","1093","1093","1093","-239.2183837890625","-239.2183837890625","-239.2183837890625"
"547","1095","1095","1095","-238.52589416503906","-238.52589416503906","-238.52589416503906"
"548","1097","1097","1097","-239.48721313476562","-239.48721313476562","-239.48721313476562"
"549","1099","1099","1099","-239.45826721191406","-239.45826721191406","-239.45826721191406"
"550","1101","1101","1101","-239.3663330078125","-239.3663330078125","-239.3663330078125"
"551","1103","1103","1103","-239.44113159179688","-239.44113159179688","-239.44113159179688"
"552","1105","1105","1105","-239.1458740234375","-239.1458740234375","-239.1458740234375"
"553","1107","1107","1107","-239.677490234375","-239.677490234375","-239.677490234375"
"554","1109","1109","1109","-239.6925506591797","-239.6925506591797","-239.6925506591797"
"555","1111","1111","1111","-239.1902618408203","-239.1902618408203","-239.1902618408203"
"556","1113","1113","1113","-239.4718780517578","-239.4718780517578","-239.4718780517578"
"557","1115","1115","1115","-239.30345153808594","-239.30345153808594","-239.30345153808594"
"558","1117","1117","1117","-239.65289306640625","-239.65289306640625","-239.65289306640625"
"559","1119","1119","1119","-239.27072143554688","-239.27072143554688","-239.27072143554688"
"560","1121","1121","1121","-239.26583862304688","-239.26583862304688","-239.26583862304688"
"561","1123","1123","1123","-238.81700134277344","-238.81700134277344","-238.81700134277344"
"562","1125","1125","1125","-239.26187133789062","-239.26187133789062","-239.26187133789062"
"563","1127","1127","1127","-239.57958984375","-239.57958984375","-239.57958984375"
"564","1129","1129","1129","-239.4301300048828","-239.4301300048828","-239.4301300048828"
"565","1131","1131","1131","-239.82188415527344","-239.82188415527344","-239.82188415527344"
"566","1133","1133","1133","-239.21438598632812","-239.21438598632812","-239.21438598632812"
"567","1135","1135","1135","-238.85775756835938","-238.85775756835938","-238.85775756835938"
"568","1137","1137","1137","-238.903076171875","-238.903076171875","-238.903076171875"
"569","1139","1139","1139","-239.31544494628906","-239.31544494628906","-239.31544494628906"
"570","1141","1141","1141","-239.37461853027344","-239.37461853027344","-239.37461853027344"
"571","1143","1143","1143","-239.39686584472656","-239.39686584472656","-239.39686584472656"
"572","1145","1145","1145","-239.5323944091797","-239.5323944091797","-239.5323944091797"
"573","1147","1147","1147","-239.65737915039062","-239.65737915039062","-239.65737915039062"
"574","1149","1149","1149","-239.14788818359375","-239.14788818359375","-239.14788818359375"
"575","1151","1151","1151","-239.47384643554688","-239.47384643554688","-239.47384643554688"
"576","1153","1153","1153","-239.04733276367188","-239.04733276367188","-239.04733276367188"
"577","1155","1155","1155","-239.5211181640625","-239.5211181640625","-239.5211181640625"
"578","1157","1157","1157","-239.23609924316406","-239.23609924316406","-239.23609924316406"
"579","1159","1159","1159","-239.588134765625","-239.588134765625","-239.588134765625"
"580","1161","1161","1161","-239.48184204101562","-239.48184204101562","-239.48184204101562"
"581","1163","1163","1163","-239.5542449951172","-239.5542449951172","-239.5542449951172"
"582","1165","1165","1165","-239.66824340820312","-239.66824340820312","-239.66824340820312"
"583","1167","1167","1167","-240.3201141357422","-240.3201141357422","-240.3201141357422"
"584","1169","1169","1169","-239.8452606201172","-239.8452606201172","-239.8452606201172"
"585","1171","1171","1171","-239.4359588623047","-239.4359588623047","-239.4359588623047"
"586","1173","1173","1173","-239.46873474121094","-239.46873474121094","-239.46873474121094"
"587","1175","1175","1175","-239.8331756591797","-239.8331756591797","-239.8331756591797"
"588","1177","1177","1177","-239.78872680664062","-239.78872680664062","-239.78872680664062"
"589","1179","1179","1179","-239.1508026123047","-239.1508026123047","-239.1508026123047"
"590","1181","1181","1181","-239.15740966796875","-239.15740966796875","-239.15740966796875"
"591","1183","1183","1183","-239.46397399902344","-239.46397399902344","-239.46397399902344"
"592","1185","1185","1185","-239.64508056640625","-239.64508056640625","-239.64508056640625"
"593","1187","1187","1187","-239.61968994140625","-239.61968994140625","-239.61968994140625"
"594","1189","1189","1189","-240.2108154296875","-240.2108154296875","-240.2108154296875"
"595","1191","1191","1191","-240.16294860839844","-240.16294860839844","-240.16294860839844"
"596","1193","1193","1193","-239.77793884277344","-239.77793884277344","-239.77793884277344"
"597","1195","1195","1195","-238.98475646972656","-238.98475646972656","-238.98475646972656"
"598","1197","1197","1197","-239.69821166992188","-239.69821166992188","-239.69821166992188"
"599","1199","1199","1199","-239.43142700195312","-239.43142700195312","-239.43142700195312"
"600","1201","1201","1201","-239.2552032470703","-239.2552032470703","-239.2552032470703"
"601","1203","1203","1203","-239.88357543945312","-239.88357543945312","-239.88357543945312"
"602","1205","1205","1205","-238.67544555664062","-238.67544555664062","-238.67544555664062"
"603","1207","1207","1207","-239.57330322265625","-239.57330322265625","-239.57330322265625"
"604","1209","1209","1209","-239.58050537109375","-239.58050537109375","-239.58050537109375"
"605","1211","1211","1211","-240.0851287841797","-240.0851287841797","-240.0851287841797"
"606","1213","1213","1213","-239.9279022216797","-239.9279022216797","-239.9279022216797"
"607","1215","1215","1215","-239.74349975585938","-239.74349975585938","-239.74349975585938"
"608","1217","1217","1217","-240.63282775878906","-240.63282775878906","-240.63282775878906"
"609","1219","1219","1219","-239.52059936523438","-239.52059936523438","-239.52059936523438"
"610","1221","1221","1221","-239.79443359375","-239.79443359375","-239.79443359375"
"611","1223","1223","1223","-239.64146423339844","-239.64146423339844","-239.64146423339844"
"612","1225","1225","1225","-239.77801513671875","-239.77801513671875","-239.77801513671875"
"613","1227","1227","1227","-239.62179565429688","-239.62179565429688","-239.62179565429688"
"614","1229","1229","1229","-240.1309356689453","-240.1309356689453","-240.1309356689453"
"615","1231","1231","1231","-239.6705780029297","-239.6705780029297","-239.6705780029297"
"616","1233","1233","1233","-240.50181579589844","-240.50181579589844","-240.50181579589844"
"617","1235","1235","1235","-239.527099609375","-239.527099609375","-239.527099609375"
"618","1237","1237","1237","-239.09906005859375","-239.09906005859375","-239.09906005859375"
"619","1239","1239","1239","-239.85946655273438","-239.85946655273438","-239.85946655273438"
"620","1241","1241","1241","-239.87501525878906","-239.87501525878906","-239.87501525878906"
"621","1243","1243","1243","-240.7698211669922","-240.7698211669922","-240.7698211669922"
"622","1245","1245","1245","-239.78086853027344","-239.78086853027344","-239.78086853027344"
"623","1247","1247","1247","-239.91409301757812","-239.91409301757812","-239.91409301757812"
"624","1249","1249","1249","-240.0732421875","-240.0732421875","-240.0732421875"
"625","1251","1251","1251","-240.24107360839844","-240.24107360839844","-240.24107360839844"
"626","1253","1253","1253","-241.07952880859375","-241.07952880859375","-241.07952880859375"
"627","1255","1255","1255","-239.6046142578125","-239.6046142578125","-239.6046142578125"
"628","1257","1257","1257","-239.18106079101562","-239.18106079101562","-239.18106079101562"
"629","1259","1259","1259","-239.69720458984375","-239.69720458984375","-239.69720458984375"
"630","1261","1261","1261","-240.05796813964844","-240.05796813964844","-240.05796813964844"
"631","1263","1263","1263","-239.8941650390625","-239.8941650390625","-239.8941650390625"
"632","1265","1265","1265","-240.1409454345703","-240.1409454345703","-240.1409454345703"
"633","1267","1267","1267","-239.56256103515625","-239.56256103515625","-239.56256103515625"
"634","1269","1269","1269","-240.2300262451172","-240.2300262451172","-240.2300262451172"
"635","1271","1271","1271","-239.60691833496094","-239.60691833496094","-239.60691833496094"
"636","1273","1273","1273","-239.69781494140625","-239.69781494140625","-239.69781494140625"
"637","1275","1275","1275","-239.46224975585938","-239.46224975585938","-239.46224975585938"
"638","1277","1277","1277","-240.01272583007812","-240.01272583007812","-240.01272583007812"
"639","1279","1279","1279","-240.21087646484375","-240.21087646484375","-240.21087646484375"
"640","1281","1281","1281","-240.34010314941406","-240.34010314941406","-240.34010314941406"
"641","1283","1283","1283","-240.00274658203125","-240.00274658203125","-240.00274658203125"
"642","1285","1285","1285","-240.0528564453125","-240.0528564453125","-240.0528564453125"
"643","1287","1287","1287","-240.37705993652344","-240.37705993652344","-240.37705993652344"
"644","1289","1289","1289","-240.30892944335938","-240.30892944335938","-240.30892944335938"
"645","1291","1291","1291","-240.24574279785156","-240.24574279785156","-240.24574279785156"
"646","1293","1293","1293","-240.53131103515625","-240.53131103515625","-240.53131103515625"
"647","1295","1295","1295","-240.12307739257812","-240.12307739257812","-240.12307739257812"
"648","1297","1297","1297","-240.23062133789062","-240.23062133789062","-240.23062133789062"
"649","1299","1299","1299","-240.20126342773438","-240.20126342773438","-240.20126342773438"
"650","1301","1301","1301","-240.1865997314453","-240.1865997314453","-240.1865997314453"
"651","1303","1303","1303","-240.68922424316406","-240.68922424316406","-240.68922424316406"
"652","1305","1305","1305","-239.6153564453125","-239.6153564453125","-239.6153564453125"
"653","1307","1307","1307","-240.67529296875","-240.67529296875","-240.67529296875"
"654","1309","1309","1309","-240.04708862304688","-240.04708862304688","-240.04708862304688"
"655","1311","1311","1311","-240.75234985351562","-240.75234985351562","-240.75234985351562"
"656","1313","1313","1313","-240.4195556640625","-240.4195556640625","-240.4195556640625"
"657","1315","1315","1315","-239.7126922607422","-239.7126922607422","-239.7126922607422"
"658","1317","1317","1317","-240.0840606689453","-240.0840606689453","-240.0840606689453"
"659","1319","1319","1319","-240.8805694580078","-240.8805694580078","-240.8805694580078"
"660","1321","1321","1321","-239.95436096191406","-239.95436096191406","-239.95436096191406"
"661","1323","1323","1323","-240.20919799804688","-240.20919799804688","-240.20919799804688"
"662","1325","1325","1325","-240.3362579345703","-240.3362579345703","-240.3362579345703"
"663","1327","1327","1327","-240.320068359375","-240.320068359375","-240.320068359375"
"664","1329","1329","1329","-240.76148986816406","-240.76148986816406","-240.76148986816406"
"665","1331","1331","1331","-239.7700958251953","-239.7700958251953","-239.7700958251953"
"666","1333","1333","1333","-240.00732421875","-240.00732421875","-240.00732421875"
"667","1335","1335","1335","-240.2916259765625","-240.2916259765625","-240.2916259765625"
"668","1337","1337","1337","-240.946533203125","-240.946533203125","-240.946533203125"
"669","1339","1339","1339","-240.89785766601562","-240.89785766601562","-240.89785766601562"
"670","1341","1341","1341","-240.3604736328125","-240.3604736328125","-240.3604736328125"
"671","1343","1343","1343","-241.08445739746094","-241.08445739746094","-241.08445739746094"
"672","1345","1345","1345","-240.27626037597656","-240.27626037597656","-240.27626037597656"
"673","1347","1347","1347","-240.68756103515625","-240.68756103515625","-240.68756103515625"
"674","1349","1349","1349","-240.43170166015625","-240.43170166015625","-240.43170166015625"
"675","1351","1351","1351","-240.46539306640625","-240.46539306640625","-240.46539306640625"
"676","1353","1353","1353","-240.67103576660156","-240.67103576660156","-240.67103576660156"
"677","1355","1355","1355","-240.4055633544922","-240.4055633544922","-240.4055633544922"
"678","1357","1357","1357","-240.45509338378906","-240.45509338378906","-240.45509338378906"
"679","1359","1359","1359","-241.07656860351562","-241.07656860351562","-241.07656860351562"
"680","1361","1361","1361","-240.3846435546875","-240.3846435546875","-240.3846435546875"
"681","1363","1363","1363","-240.32972717285156","-240.32972717285156","-240.32972717285156"
"682","1365","1365","1365","-240.4162139892578","-240.4162139892578","-240.4162139892578"
"683","1367","1367","1367","-240.8945770263672","-240.8945770263672","-240.8945770263672"
"684","1369","1369","1369","-241.0440673828125","-241.0440673828125","-241.0440673828125"
"685","1371","1371","1371","-240.6688232421875","-240.6688232421875","-240.6688232421875"
"686","1373","1373","1373","-240.0540008544922","-240.0540008544922","-240.0540008544922"
"687","1375","1375","1375","-241.11216735839844","-241.11216735839844","-241.11216735839844"
"688","1377","1377","1377","-240.7334442138672","-240.7334442138672","-240.7334442138672"
"689","1379","1379","1379","-240.68637084960938","-240.68637084960938","-240.68637084960938"
"690","1381","1381","1381","-240.96255493164062","-240.96255493164062","-240.96255493164062"
"691","1383","1383","1383","-240.89794921875","-240.89794921875","-240.89794921875"
"692","1385","1385","1385","-240.9828643798828","-240.9828643798828","-240.9828643798828"
"693","1387","1387","1387","-240.7323455810547","-240.7323455810547","-240.7323455810547"
"694","1389","1389","1389","-241.02944946289062","-241.02944946289062","-241.02944946289062"
"695","1391","1391","1391","-240.66378784179688","-240.66378784179688","-240.66378784179688"
"696","1393","1393","1393","-240.58724975585938","-240.58724975585938","-240.58724975585938"
"697","1395","1395","1395","-240.7893829345703","-240.7893829345703","-240.7893829345703"
"698","1397","1397","1397","-241.26199340820312","-241.26199340820312","-241.26199340820312"
"699","1399","1399","1399","-240.56466674804688","-240.56466674804688","-240.56466674804688"
"700","1401","1401","1401","-240.97756958007812","-240.97756958007812","-240.97756958007812"
"701","1403","1403","1403","-241.02980041503906","-241.02980041503906","-241.02980041503906"
"702","1405","1405","1405","-240.47767639160156","-240.47767639160156","-240.47767639160156"
"703","1407","1407","1407","-240.14024353027344","-240.14024353027344","-240.14024353027344"
"704","1409","1409","1409","-241.01986694335938","-241.01986694335938","-241.01986694335938"
"705","1411","1411","1411","-240.83384704589844","-240.83384704589844","-240.83384704589844"
"706","1413","1413","1413","-241.20562744140625","-241.20562744140625","-241.20562744140625"
"707","1415","1415","1415","-240.51390075683594","-240.51390075683594","-240.51390075683594"
"708","1417","1417","1417","-241.01177978515625","-241.01177978515625","-241.01177978515625"
"709","1419","1419","1419","-240.94973754882812","-240.94973754882812","-240.94973754882812"
"710","1421","1421","1421","-240.64846801757812","-240.64846801757812","-240.64846801757812"
"711","1423","1423","1423","-240.9685516357422","-240.9685516357422","-240.9685516357422"
"712","1425","1425","1425","-240.9253692626953","-240.9253692626953","-240.9253692626953"
"713","1427","1427","1427","-241.05197143554688","-241.05197143554688","-241.05197143554688"
"714","1429","1429","1429","-241.07125854492188","-241.07125854492188","-241.07125854492188"
"715","1431","1431","1431","-241.33206176757812","-241.33206176757812","-241.33206176757812"
"716","1433","1433","1433","-240.68231201171875","-240.68231201171875","-240.68231201171875"
"717","1435","1435","1435","-240.5566864013672","-240.5566864013672","-240.5566864013672"
"718","1437","1437","1437","-241.06796264648438","-241.06796264648438","-241.06796264648438"
"719","1439","1439","1439","-240.654052734375","-240.654052734375","-240.654052734375"
"720","1441","1441","1441","-240.9728546142578","-240.9728546142578","-240.9728546142578"
